TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
1.313,0.5148,0.5247,Missouri,0.392,0.421,0.813,5.4,Georgia Tech,0.477,0.63,1.107,4.2,1.8671,0.6624,0.5177
1.443,0.5949,0.5371,South Carolina,0.339,0.442,0.781,4.7,Florida St,0.391,0.465,0.856,4.6,1.6396,0.6269,0.6167
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
1.6185,0.5104,0.5991,Oregon,0.403,0.526,0.929,4.2,Arizona State,0.421,0.572,0.993,5.7,1.5388,0.5867,0.5291
1.6216,0.5228,0.6418,USC,0.374,0.443,0.817,3.6,West Virginia,0.423,0.461,0.884,4.5,1.5591,0.6136,0.5115
1.2831,0.5538,0.5263,Iowa,0.408,0.465,0.873,6.7,Houston,0.388,0.445,0.833,6.7,1.245,0.5195,0.5626
1.881,0.5493,0.7055,UCLA,0.436,0.520,0.956,3.3,Kansas,0.399,0.482,0.881,5.9,1.3972,0.5976,0.5086
1.430,0.4904,0.5376,Minnesota,0.401,0.471,0.872,4.7,Cincinnati,0.408,0.498,0.906,5.7,1.4809,0.5775,0.5674
1.109,0.5727,0.4923,Northwestern,0.347,0.457,0.804,7.6,Kansas State,0.434,0.567,1.001,6.4,1.4813,0.5778,0.5425
1.2238,0.5215,0.5383,Ohio State,0.378,0.446,0.824,6.6,Utah,0.4,0.473,0.873,7.7,1.1489,0.5258,0.5201
1.4153,0.5431,0.5622,Michigan,0.371,0.399,0.77,4.6,Baylor,0.383,0.412,0.795,5.6,1.3825,0.5675,0.58
1.4995,0.4937,0.5978,Nebraska,0.408,0.48,0.888,4.8,Oklahoma State,0.393,0.526,0.919,6.6,1.3517,0.5635,0.5292
1.3942,0.4761,0.5801,Purdue,0.411,0.497,0.908,5.7,Texas Tech,0.452,0.555,1.007,7.9,1.281,0.5427,0.5217
1.225,0.5116,0.5054,Rutgers,0.365,0.403,0.768,5.6,UCF,0.382,0.404,0.786,4.6,1.4874,0.5828,0.5786
1.362,0.5409,0.5411,Illinois,0.381,0.409,0.790,5.1,BYU,0.36,0.479,0.839,6.6,1.2929,0.5432,0.5707
1.2632,0.5922,0.528,Maryland,0.417,0.496,0.913,7.7,TCU,0.4,0.43,0.83,6.1,1.3399,0.5674,0.5525
1.2043,0.5665,0.4908,Indiana,0.371,0.416,0.787,6.4,Arizona,0.351,0.389,0.74,6.1,1.17,0.4854,0.5546
1.2073,0.5734,0.4679,Michigan State,0.344,0.412,0.756,5.9,,,,,,,,
0.9422,0.5646,0.4546,Penn State,0.366,0.437,0.803,8.8,,,,,,,,
1.1888,0.4984,0.4764,Washington,0.361,0.443,0.804,5.9,,,,,,,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
1.5923,0.5763,0.616,Southern Miss,0.378,0.442,0.82,4.2,UC Santa Barbara,0.371,0.398,0.769,3.3,1.5774,0.5915,0.5469
1.4976,0.5254,0.5922,UTSA,0.427,0.493,0.92,5.4,Coastal Carolina,0.404,0.427,0.831,5.3,1.5157,0.6345,0.5802
1.1675,0.5368,0.5017,UC Irvine,0.365,0.324,0.689,5.6,Louisiana Tech,0.379,0.44,0.819,5.2,1.3522,0.5372,0.516
1.3492,0.5429,0.5333,Cal Poly,0.373,0.46,0.833,5.6,Kent State,0.412,0.459,0.871,5.8,1.3662,0.5879,0.4873
1.114,0.5313,0.4754,San Diego,0.373,0.414,0.787,6.8,Utah Valley,0.401,0.467,0.868,7.1,0.9939,0.4258,0.4101
1.4429,0.4717,0.5802,South Florida,0.385,0.416,0.801,4.1,Dallas Baptist,0.403,0.53,0.933,6.2,1.3941,0.551,0.5301
1.5062,0.5347,0.6025,Missouri State,0.421,0.558,0.979,6.1,Mercer,0.447,0.579,1.026,6.3,1.4128,0.564,0.4528
1.3875,0.5622,0.5353,Charlotte,0.402,0.478,0.88,5.9,Xavier,0.34,0.42,0.76,6.9,1.1436,0.5025,0.5711
1.5303,0.5724,0.5779,East Carolina,0.4,0.46,0.86,4.8,Liberty,0.392,0.409,0.801,4.7,1.4732,0.6075,0.5347
1.1091,0.4,0.4871,Murray St.,0.395,0.427,0.822,6,Troy,0.392,0.441,0.833,5.9,1.3605,0.5372,0.5803
1.2891,0.5243,0.5258,Hawaii,0.34,0.319,0.659,4.2,Louisiana,0.359,0.369,0.728,5.2,1.3568,0.5722,0.5766
1.226,0.5226,0.5274,Creighton,0.373,0.413,0.786,6.1,South Alabama,0.386,0.458,0.844,5.1,1.4013,0.5481,0.5192
1.3166,0.5439,0.5777,UAB,0.405,0.47,0.875,6.8,Fullerton,0.348,0.389,0.737,4.1,1.3566,0.5095,0.5201
1.4891,0.5028,0.5833,High Point,0.397,0.496,0.893,4.9,Oregon St.,0.387,0.426,0.813,3.8,1.6149,0.6425,0.5394
1.5472,0.488,0.6142,Jacksonville st,0.391,0.444,0.835,3.9,UNCW,0.392,0.418,0.81,4.4,1.3889,0.5276,0.4913
