TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
1.5461,0.5581,0.594,Arkansas,0.369,0.465,0.834,4.4,Wake Forest,0.411,0.465,0.876,4.8,1.5604,0.5939,0.5705
1.5808,0.5765,0.6003,Tenessee,0.366,0.478,0.844,4.4,Clemson,0.395,0.468,0.863,5,1.5139,0.5795,0.5714
1.650,0.6056,0.6443,Florida,0.379,0.451,0.830,4.3,NC State,0.416,0.518,0.934,4.4,1.6064,0.5835,0.5289
1.419,0.5157,0.5399,Vanderbilt,0.405,0.548,0.953,5.9,North Carolina,0.413,0.464,0.877,4,1.670,0.6547,0.5382
1.454,0.5415,0.5596,LSU,0.41,0.493,0.903,5.5,Pittsburgh,0.451,0.57,1.021,6.4,1.445,0.5631,0.5004
1.748,0.5561,0.6213,Texas A&M,0.452,0.589,1.041,4.7,Louisville,0.43,0.518,0.948,6.5,1.3487,0.5328,0.5179
1.811,0.5674,0.6812,Texas,0.419,0.523,0.942,3.8,Miami,0.424,0.544,0.968,4.9,1.609,0.6219,0.5093
1.677,0.6033,0.6295,Ole Miss,0.396,0.458,0.854,4.1,California,0.358,0.479,0.837,5.2,1.418,0.5409,0.5601
1.744,0.5588,0.6155,Mississippi St,0.42,0.54,0.960,3.9,Stanford,0.388,0.513,0.901,7.3,1.2223,0.5171,0.5342
1.590,0.5817,0.6132,Oklahoma,0.398,0.457,0.855,4.6,Virginia,0.41,0.505,0.915,5.9,1.5036,0.6132,0.5654
1.713,0.6273,0.632,Auburn,0.401,0.433,0.834,3.8,Virginia Tech,0.373,0.425,0.798,7.8,1.182,0.5415,0.6229
1.656,0.6069,0.6316,Alabama,0.399,0.448,0.847,4.3,Duke,0.386,0.473,0.859,6.1,1.2864,0.5389,0.4985
1.770,0.5185,0.6313,Georgia,0.447,0.623,1.070,4.5,Boston College,0.394,0.422,0.816,4.4,1.499,0.5913,0.5314
1.481,0.5371,0.6105,Kentucky,0.408,0.435,0.843,5.1,Notre Dame,0.396,0.478,0.874,6.4,1.327,0.5348,0.5582
