TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
0.415,,,Arkansas,0.382,0.483,0.865,4.5,Wake Forest,0.423,0.478,0.901,4.8,0.421,,
0.438,,,Tenessee,0.377,0.481,0.858,4.2,Clemson,0.397,0.473,0.870,4.8,0.390,,
0.418,,,Florida,0.39,0.468,0.858,4.4,NC State,0.414,0.506,0.92,4.5,0.47,,
0.404,,,Vanderbilt,0.412,0.562,0.974,5.7,North Carolina,0.416,0.473,0.889,3.7,0.519,,
0.411,,,LSU,0.426,0.495,0.921,5.1,Pittsburgh,0.469,0.598,1.067,5.4,0.527,,
0.584,,,Texas A&M,0.46,0.584,1.044,4.6,Louisville,0.446,0.55,0.996,6.6,0.336,,
0.603,,,Texas,0.429,0.524,0.953,3.5,Miami,0.437,0.548,0.985,5.2,0.465,,
0.414,,,Ole Miss,0.388,0.466,0.854,4.4,California,0.348,0.469,0.817,5.5,0.267,,
0.647,,,Mississippi St,0.443,0.564,1.007,3.6,Stanford,0.391,0.537,0.928,7.4,0.188,,
0.420,,,Oklahoma,0.404,0.446,0.850,4.3,Virginia,0.419,0.508,0.927,5.9,0.337,,
0.475,,,Auburn,0.399,0.426,0.825,3.5,Virginia Tech,0.379,0.419,0.798,7.5,0.048,,
0.453,,,Alabama,0.407,0.456,0.863,4.1,Duke,0.397,0.49,0.887,5.5,0.337,,
0.665,,,Georgia,0.456,0.649,1.105,4.4,Boston College,0.387,0.428,0.815,4.3,0.385,,
0.380,,,Kentucky,0.419,0.451,0.870,4.9,Notre Dame,0.411,0.512,0.923,5.9,0.333,,
0.302,,,Missouri,0.415,0.457,0.872,5.7,Georgia Tech,0.486,0.633,1.119,4.4,0.679,,
0.314,,,South Carolina,0.355,0.449,0.804,4.9,Florida St,0.411,0.484,0.895,4.2,0.475,,
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
0.568,,,Oregon,0.406,0.532,0.938,3.7,Arizona State,0.425,0.571,0.996,5.3,0.466,,
0.537,,,USC,0.383,0.454,0.837,3,West Virginia,0.434,0.471,0.905,4.3,0.475,,
0.232,,,Iowa,0.429,0.493,0.922,6.9,Houston,0.399,0.462,0.861,6.8,0.181,,
0.633,,,UCLA,0.443,0.520,0.963,3.3,Kansas,0.396,0.479,0.875,6.3,0.245,,
0.431,,,Minnesota,0.405,0.466,0.871,4.4,Cincinnati,0.418,0.519,0.937,5.6,0.377,,
0.01,,,Northwestern,0.347,0.443,0.79,7.8,Kansas State,0.438,0.593,1.031,6.1,0.421,,
0.155,,,Ohio State,0.371,0.424,0.795,6.4,Utah,0.397,0.468,0.865,7.5,0.115,,
0.297,,,Michigan,0.365,0.392,0.757,4.6,Baylor,0.385,0.418,0.803,5.7,0.233,,
0.42,,,Nebraska,0.409,0.471,0.88,4.6,Oklahom State,0.392,0.507,0.899,6.2,0.279,,
0.313,,,Purdue,0.407,0.506,0.913,6,Texas Tech,0.459,0.59,1.049,8.2,0.229,,
0.296,,,Rutgers,0.386,0.44,0.826,5.3,UCF,0.398,0.426,0.824,4.7,0.354,,
0.283,,,Illinois,0.373,0.420,0.793,5.1,BYU,0.397,0.493,0.89,7.2,0.17,,
0.093,,,Maryland,0.408,0.485,0.893,8,TCU,0.41,0.432,0.842,6.7,0.172,,
0.116,,,Indiana,0.363,0.383,0.746,6.3,Arizona,0.347,0.395,0.742,6.3,0.112,,
0.154,,,Michigan State,0.336,0.398,0.734,5.8,,,,,,,,
-0.089,,,Penn State,0.372,0.429,0.801,8.9,,,,,,,,
0.246,,,Washington,0.365,0.461,0.826,5.8,,,,,,,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
0.4,,,Southern Miss,0.374,0.436,0.81,4.1,UC Santa Barbara,0.373,0.39,0.763,3.2,0.443,,
0.337,,,UTSA,0.431,0.506,0.937,6,Coastal Carolina,0.405,0.425,0.83,5,0.33,,
0.089,,,UC Irvine,0.351,0.308,0.659,5.7,Louisiana Tech,0.377,0.454,0.831,5.9,0.241,,
0.316,,,Cal Poly,0.385,0.471,0.856,5.4,Kent State,0.4,0.444,0.844,5.7,0.274,,
0.045,,,San Diego,0.367,0.378,0.745,7,Utah Valley,0.406,0.483,0.889,7.3,0.159,,
0.427,,,South Florida,0.4,0.417,0.817,3.9,Dallas Baptist,0.412,0.532,0.944,6.5,0.294,,
0.378,,,Missouri State,0.408,0.56,0.968,5.9,Mercer,0.457,0.569,1.026,6.1,0.416,,
0.369,,,Charlotte,0.416,0.493,0.909,5.4,Xavier,0.325,0.403,0.728,7.1,0.018,,
0.372,,,East Carolina,0.393,0.439,0.832,4.6,Liberty,0.387,0.406,0.793,4.6,0.333,,
0.252,,,Murray St.,0.407,0.435,0.842,5.9,Troy,0.379,0.422,0.801,5.9,0.211,,
0.225,,,Hawaii,0.336,0.309,0.645,4.2,Louisiana,0.357,0.372,0.729,5.2,0.209,,
0.105,,,Creighton,0.368,0.387,0.755,6.5,South Alabama,0.383,0.449,0.832,4.9,0.342,,
0.208,,,UAB,0.413,0.485,0.898,6.9,Fullerton,,0.378,0.378,4.4,-0.062,,
0.396,,,High Point,0.401,0.505,0.906,5.1,Oregon St.,0.382,0.411,0.793,4,0.393,,
