TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
1.626,0.4774,0.5806,Arkansas,0.385,0.473,0.858,2.9,Wake Forest,0.457,0.518,0.975,4.3,0.545,,
0.513,,,Tenessee,0.374,0.479,0.853,3.4,Clemson,0.435,0.536,0.971,2.4,0.731,,
0.495,,,Florida,0.409,0.536,0.945,4.5,NC State,0.47,0.653,1.123,3.1,1.713,0.5762,0.3238
0.655,,,Vanderbilt,0.428,0.617,1.045,3.9,North Carolina,0.413,0.495,0.908,3.8,0.528,,
0.463,,,LSU,0.418,0.505,0.923,4.6,Pittsburgh,0.485,0.607,1.092,3.6,0.732,,
0.770,,,Texas A&M,0.47,0.600,1.070,3,Louisville,0.43,0.51,0.94,5.9,0.35,,
0.793,,,Texas,0.45,0.583,1.033,2.4,Miami,0.446,0.590,1.036,5.2,0.516,,
0.651,,,Ole Miss,0.438,0.553,0.991,3.4,California,0.38,0.54,0.92,4.2,0.5,,
0.686,,,Mississippi St,0.465,0.601,1.066,3.8,Stanford,0.351,0.482,0.833,7.3,0.103,,
0.656,,,Oklahoma,0.454,0.512,0.966,3.1,Virginia,0.428,0.519,0.947,5.4,0.407,,
0.570,,,Auburn,0.422,0.458,0.880,3.1,Virginia Tech,0.383,0.430,0.813,8.3,-0.017,,
0.496,,,Alabama,0.425,0.481,0.906,4.1,Duke,0.41,0.476,0.886,4.1,0.476,,
0.918,,,Georgia,0.487,0.731,1.218,3,Boston College,0.35,0.398,0.748,4.6,0.288,,
0.548,,,Kentucky,0.423,0.485,0.908,3.6,Notre Dame,0.41,0.478,0.888,3.5,0.538,,
0.601,,,Missouri,0.468,0.523,0.991,3.9,Georgia Tech,0.529,0.675,1.204,4.2,0.784,,
0.542,,,South Carolina,0.384,0.508,0.892,3.5,Florida St,0.431,0.503,0.934,3.9,0.544,,
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
0.602,,,Oregon,0.417,0.555,0.972,3.7,Arizona State,0.433,0.603,1.036,4.3,1.6872,0.5936,0.4876
0.635,,,USC,0.378,0.447,0.825,1.9,West Virginia,0.428,0.473,0.901,3.8,0.521,,
0.315,,,Iowa,0.441,0.504,0.945,6.3,Houston,0.413,0.467,0.88,4.4,0.44,,
0.563,,,UCLA,0.429,0.544,0.973,4.1,Kansas,0.384,0.411,0.795,5.7,0.225,,
0.596,,,Minnesota,0.421,0.535,0.956,3.6,Cincinnati,0.418,0.499,0.917,4.2,0.497,,
0.164,,,Northwestern,0.475,0.459,0.934,7.7,Kansas State,0.42,0.534,0.954,4.5,0.504,,
-0.036,,,Ohio State,0.346,0.368,0.714,7.5,Utah,0.376,0.374,0.75,4.8,0.27,,
0.331,,,Michigan,0.386,0.435,0.821,4.9,Baylor,0.407,0.416,0.823,4.3,0.393,,
0.335,,,Nebraska,0.388,0.477,0.865,5.3,Oklahom State,0.397,0.549,0.946,5.2,0.426,,
0.303,,,Purdue,0.396,0.447,0.843,5.4,Texas Tech,0.493,0.641,1.134,6.8,0.454,,
0.453,,,Rutgers,0.395,0.468,0.863,4.1,UCF,0.384,0.384,0.768,4.1,0.358,,
0.265,,,Illinois,0.363,0.442,0.805,5.4,BYU,0.36,0.452,0.812,6.8,0.132,,
0.292,,,Maryland,0.413,0.489,0.902,6.1,TCU,0.414,0.407,0.821,6.3,0.191,,
0.066,,,Indiana,0.368,0.378,0.746,6.8,Arizona,0.346,0.379,0.725,4.9,0.235,,
0.057,,,Michigan State,0.298,0.319,0.617,5.6,,,,0,,0,,
-0.1,,,Penn State,0.381,0.439,0.82,9.2,,,,0,,0,,
0.185,,,Washington,0.354,0.441,0.795,6.1,,,,0,,0,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
1.9727,0.6942,0.7205,Southern Miss,0.397,0.481,0.878,3.2,UC Santa Barbara,0.392,0.442,0.834,2.6,1.7819,0.6693,0.5386
0.515,,,UTSA,0.452,0.543,0.995,4.8,Coastal Carolina,0.384,0.407,0.791,5.5,0.241,,
0.192,,,UC Irvine,0.355,0.297,0.652,4.6,Louisiana Tech,0.366,0.469,0.835,5,0.335,,
0.208,,,Cal Poly,0.331,0.387,0.718,5.1,Kent State,0.387,0.415,0.802,4.6,0.342,,
0.074,,,San Diego,0.39,0.404,0.794,7.2,Utah Valley,0.408,0.471,0.879,5.8,0.299,,
0.505,,,South Florida,0.413,0.432,0.845,3.4,Dallas Baptist,0.413,0.536,0.949,6.1,0.339,,
0.375,,,Missouri State,0.419,0.546,0.965,5.9,Mercer,0.479,0.543,1.022,5.7,0.452,,
0.462,,,Charlotte,0.416,0.476,0.892,4.3,Xavier,0.311,0.403,0.714,8.3,-0.116,,
0.305,,,East Carolina,0.384,0.411,0.795,4.9,Liberty,0.391,0.388,0.779,3.9,0.389,,
0.26,,,Murray St.,0.397,0.453,0.85,5.9,Troy,0.36,0.415,0.775,6.3,0.145,,
0.186,,,Hawaii,0.329,0.307,0.636,4.5,Louisiana,0.358,0.381,0.739,4.8,0.259,,
0.067,,,Creighton,0.38,0.407,0.787,7.2,South Alabama,0.397,0.464,0.861,5.2,0.341,,
0.21,,,UAB,0.4,0.53,0.93,7.2,Fullerton,0.343,0.36,0.703,4.5,0.253,,
0.827,,,High Point,0.379,0.448,0.827,,Oregon St.,0.373,0.376,0.749,4,0.349,,
