TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
0.524,,,Arkansas,0.392,0.492,0.884,3.6,Wake Forest,0.433,0.484,0.917,5.5,0.367,,
0.515,,,Tenessee,0.377,0.498,0.875,3.6,Clemson,0.4,0.471,0.871,3.8,0.491,,
0.404,,,Florida,0.387,0.467,0.854,4.5,NC State,0.43,0.546,0.976,4.1,0.566,,
0.460,,,Vanderbilt,0.419,0.581,1.000,5.4,North Carolina,0.418,0.469,0.887,3.4,0.547,,
0.395,,,LSU,0.418,0.477,0.895,5,Pittsburgh,0.465,0.58,1.045,5.2,0.525,,
0.576,,,Texas A&M,0.451,0.555,1.006,4.3,Louisville,0.445,0.555,1,6.4,0.36,,
0.669,,,Texas,0.433,0.536,0.969,3,Miami,0.44,0.547,0.987,5.2,0.467,,
0.474,,,Ole Miss,0.397,0.487,0.884,4.1,California,0.36,0.482,0.842,5,0.342,,
0.633,,,Mississippi St,0.452,0.571,1.023,3.9,Stanford,0.388,0.542,0.93,7.5,0.18,,
0.499,,,Oklahoma,0.420,0.469,0.889,3.9,Virginia,0.425,0.521,0.946,6,0.346,,
0.568,,,Auburn,0.413,0.455,0.868,3,Virginia Tech,0.373,0.404,0.777,7.8,-0.003,,
0.431,,,Alabama,0.415,0.456,0.871,4.4,Duke,0.392,0.477,0.869,5.3,0.339,,
0.736,,,Georgia,0.46,0.676,1.136,4,Boston College,0.386,0.427,0.813,5,0.313,,
0.478,,,Kentucky,0.413,0.465,0.878,4,Notre Dame,0.421,0.498,0.919,5.2,0.399,,
0.421,,,Missouri,0.419,0.452,0.871,4.5,Georgia Tech,0.495,0.644,1.139,5,0.639,,
0.303,,,South Carolina,0.349,0.454,0.803,5,Florida St,0.417,0.506,0.923,3.8,0.543,,
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
0.604,,,Oregon,0.422,0.572,0.994,3.9,Arizona State,0.427,0.569,0.996,5.1,0.486,,
0.619,,,USC,0.373,0.446,0.819,2,West Virginia,0.437,0.479,0.916,3.8,0.536,,
0.302,,,Iowa,0.431,0.491,0.922,6.2,Houston,0.411,0.476,0.887,6.3,0.257,,
0.596,,,UCLA,0.439,0.517,0.956,3.6,Kansas,0.397,0.476,0.873,6.3,0.243,,
0.499,,,Minnesota,0.409,0.480,0.889,3.9,Cincinnati,0.425,0.527,0.952,5.2,0.432,,
-0.01,,,Northwestern,0.35,0.43,0.78,7.9,Kansas State,0.438,0.555,0.993,5.2,0.473,,
0.135,,,Ohio State,0.372,0.413,0.785,6.5,Utah,0.384,0.411,0.795,6.4,0.155,,
0.248,,,Michigan,0.37,0.378,0.748,5,Baylor,0.396,0.412,0.808,5.7,0.238,,
0.444,,,Nebraska,0.405,0.469,0.874,4.3,Oklahom State,0.39,0.503,0.893,5.8,0.313,,
0.353,,,Purdue,0.414,0.509,0.923,5.7,Texas Tech,0.466,0.598,1.064,8,0.264,,
0.314,,,Rutgers,0.393,0.451,0.844,5.3,UCF,0.397,0.414,0.811,4.6,0.351,,
0.281,,,Illinois,0.369,0.422,0.791,5.1,BYU,0.368,0.495,0.863,6.9,0.173,,
0.107,,,Maryland,0.397,0.47,0.867,7.6,TCU,0.404,0.392,0.796,6.7,0.126,,
0.119,,,Indiana,0.361,0.388,0.749,6.3,Arizona,0.363,0.412,0.775,6,0.175,,
0.191,,,Michigan State,0.334,0.397,0.731,5.4,,,,0,,0,,
-0.08,,,Penn State,0.376,0.434,0.81,8.9,,,,0,,0,,
0.153,,,Washington,0.353,0.44,0.793,6.4,,,,0,,0,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
0.482,,,Southern Miss,0.376,0.446,0.822,3.4,UC Santa Barbara,0.385,0.414,0.799,2.9,0.509,,
0.336,,,UTSA,0.439,0.527,0.966,6.3,Coastal Carolina,0.406,0.433,0.839,5,0.339,,
0.092,,,UC Irvine,0.347,0.305,0.652,5.6,Louisiana Tech,0.385,0.47,0.855,5.2,0.335,,
0.292,,,Cal Poly,0.366,0.426,0.792,5,Kent State,0.394,0.44,0.834,4.7,0.364,,
0.005,,,San Diego,0.377,0.388,0.765,7.6,Utah Valley,0.393,0.45,0.843,7.1,0.133,,
0.502,,,South Florida,0.407,0.425,0.832,3.3,Dallas Baptist,0.417,0.542,0.959,6.1,0.349,,
0.349,,,Missouri State,0.415,0.574,0.989,6.4,Mercer,0.471,0.584,1.055,5.6,0.495,,
0.36,,,Charlotte,0.418,0.482,0.9,5.4,Xavier,0.318,0.389,0.707,7.8,-0.073,,
0.421,,,East Carolina,0.402,0.459,0.861,4.4,Liberty,0.388,0.415,0.803,5.1,0.293,,
0.291,,,Murray St.,0.397,0.434,0.831,5.4,Troy,0.376,0.429,0.805,6.2,0.185,,
0.244,,,Hawaii,0.339,0.305,0.644,4,Louisiana,0.353,0.376,0.729,5.2,0.209,,
0.071,,,Creighton,0.378,0.403,0.781,7.1,South Alabama,0.384,0.447,0.831,4.8,0.351,,
0.149,,,UAB,0.404,0.495,0.899,7.5,Fullerton,0.348,0.381,0.729,4.5,0.279,,
0.271,,,High Point,0.393,0.478,0.871,6,Oregon St.,0.379,0.418,0.797,3.8,0.417,,
