TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
1.548,0.5352,0.5858,Arkansas,0.381,0.476,0.857,4.3,Wake Forest,0.424,0.475,0.899,5,1.5353,0.6054,0.5309
1.5882,0.5667,0.5855,Tenessee,0.374,0.472,0.846,4.1,Clemson,0.397,0.475,0.872,4.4,1.595,0.5905,0.5722
1.695,0.5936,0.6648,Florida,0.395,0.472,0.867,4.3,NC State,0.418,0.515,0.933,4.6,1.561,0.5695,0.5185
1.468,0.504,0.5417,Vanderbilt,0.41,0.562,0.972,5.5,North Carolina,0.42,0.478,0.898,3.7,1.698,0.6554,0.5142
1.484,0.5159,0.5727,LSU,0.422,0.483,0.905,5.1,Pittsburgh,0.462,0.566,1.028,5.3,1.601,0.5988,0.5046
1.766,0.5267,0.6417,Texas A&M,0.455,0.573,1.028,4.3,Louisville,0.439,0.54,0.979,6.6,1.4341,0.566,0.5491
1.871,0.569,0.684,Texas,0.43,0.518,0.948,3.3,Miami,0.434,0.544,0.978,5.2,1.717,0.75,0.5086
1.651,0.6225,0.6184,Ole Miss,0.387,0.463,0.850,4.4,California,0.35,0.474,0.824,5,1.3707,0.5235,0.5232
1.860,0.5349,0.662,Mississippi St,0.439,0.564,1.003,3.4,Stanford,0.391,0.537,0.928,7.4,1.2477,0.5189,0.5408
1.640,0.574,0.6163,Oklahoma,0.409,0.451,0.860,4.1,Virginia,0.415,0.494,0.909,6,1.5341,0.6406,0.5845
1.759,0.6329,0.656,Auburn,0.402,0.428,0.830,3.6,Virginia Tech,0.376,0.405,0.781,7.5,1.215,0.5533,0.6306
1.710,0.5926,0.6483,Alabama,0.41,0.459,0.869,4,Duke,0.392,0.478,0.87,5.6,1.329,0.542,0.477
1.760,0.4702,0.6166,Georgia,0.454,0.649,1.103,4.3,Boston College,0.386,0.431,0.817,4.4,1.506,0.5937,0.5348
1.491,0.5023,0.6238,Kentucky,0.41,0.445,0.855,4.9,Notre Dame,0.411,0.512,0.923,5.8,1.4827,0.5792,0.5605
1.308,0.4768,0.527,Missouri,0.416,0.458,0.874,5.7,Georgia Tech,0.488,0.628,1.116,4.5,1.772,0.6294,0.4766
1.392,0.5947,0.5197,South Carolina,0.348,0.44,0.788,5.1,Florida St,0.413,0.486,0.899,4.2,1.737,0.6549,0.6031
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
1.6718,0.4552,0.6226,Oregon,0.409,0.545,0.954,3.6,Arizona State,0.425,0.571,0.996,5.3,1.6036,0.5946,0.543
1.6563,0.4657,0.6536,USC,0.384,0.453,0.837,3,West Virginia,0.437,0.484,0.921,4.3,1.6165,0.6277,0.4978
1.2612,0.5215,0.5237,Iowa,0.419,0.477,0.896,6.8,Houston,0.399,0.462,0.861,6.7,1.309,0.5311,0.587
1.852,0.5207,0.6897,UCLA,0.443,0.529,0.972,3.3,Kansas,0.394,0.474,0.868,6,1.3165,0.5572,0.4913
1.428,0.4642,0.5324,Minnesota,0.405,0.466,0.871,4.4,Cincinnati,0.415,0.512,0.927,5.4,1.541,0.5929,0.5611
1.0917,0.6174,0.4933,Northwestern,0.342,0.429,0.771,7.9,Kansas State,0.436,0.576,1.012,6.1,1.5134,0.5768,0.5346
1.1969,0.5297,0.5142,Ohio State,0.368,0.425,0.793,6.4,Utah,0.391,0.463,0.854,7,1.1631,0.5367,0.4724
1.3863,0.5699,0.5394,Michigan,0.365,0.392,0.757,4.8,Baylor,0.39,0.421,0.811,5.6,1.4157,0.578,0.5867
1.5157,0.4736,0.6161,Nebraska,0.412,0.474,0.886,4.6,Oklahom State,0.389,0.501,0.89,6.1,1.3564,0.5581,0.5183
1.379,0.4966,0.5814,Purdue,0.41,0.511,0.921,6.2,Texas Tech,0.458,0.58,1.038,8,1.245,0.5313,0.4761
1.307,0.4681,0.5174,Rutgers,0.387,0.444,0.831,5.1,UCF,0.398,0.426,0.824,4.7,1.5249,0.6045,0.5664
1.388,0.549,0.5342,Illinois,0.377,0.428,0.805,5,BYU,0.368,0.494,0.862,7.2,1.278,0.5384,0.5976
1.2391,0.6378,0.5343,Maryland,0.399,0.468,0.867,8,TCU,0.406,0.431,0.837,6.7,1.3136,0.581,0.5656
1.1947,0.6148,0.4949,Indiana,0.362,0.383,0.745,6.6,Arizona,0.349,0.397,0.746,6.3,0.116,,
1.2317,0.6116,0.4861,Michigan State,0.336,0.398,0.734,6,,,,,,0,,
0.8625,0.521,0.4305,Penn State,0.372,0.429,0.801,8.9,,,,,,0,,
1.1671,0.4791,0.469,Washington,0.359,0.45,0.809,5.9,,,,,,0,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
1.654,0.5822,0.6418,Southern Miss,0.377,0.443,0.82,3.9,UC Santa Barbara,0.375,0.389,0.764,3.3,1.5802,0.5841,0.5621
1.3903,0.4836,0.5857,UTSA,0.428,0.503,0.931,6.1,Coastal Carolina,0.407,0.431,0.838,5.1,1.5206,0.625,0.5676
1.0864,0.5347,0.4777,UC Irvine,0.355,0.309,0.664,5.9,Louisiana Tech,0.379,0.45,0.829,5.9,1.3193,0.5308,0.5495
1.3806,0.5112,0.5564,Cal Poly,0.384,0.469,0.853,5.4,Kent State,0.392,0.434,0.826,5.8,1.2843,0.5806,0.4577
1.019,0.5431,0.4611,San Diego,0.367,0.378,0.745,7.3,Utah Valley,0.407,0.468,0.875,7.4,0.9841,0.4317,0.4174
1.4843,0.4609,0.6054,South Florida,0.401,0.417,0.818,4,Dallas Baptist,0.413,0.534,0.947,6.5,1.3763,0.5475,0.5318
1.5062,0.5849,0.6003,Missouri State,0.409,0.552,0.961,6.4,Mercer,0.453,0.56,1.013,6.1,1.39,0.5742,0.4128
1.5,0.5279,0.5731,Charlotte,0.416,0.493,0.909,5.1,Xavier,0.319,0.385,0.704,7.4,1.0056,0.4608,0.5808
1.4798,0.5653,0.5595,East Carolina,0.39,0.435,0.825,4.7,Liberty,0.388,0.41,0.798,4.8,1.398,0.578,0.502
1.1722,0.373,0.5162,Murray St.,0.411,0.442,0.853,5.7,Troy,0.371,0.422,0.793,6,1.288,0.5092,0.5858
1.3236,0.5395,0.5311,Hawaii,0.335,0.308,0.643,3.9,Louisiana,0.357,0.378,0.735,5.2,1.3964,0.5998,0.5816
1.142,0.5231,0.5176,Creighton,0.369,0.392,0.761,6.6,South Alabama,0.385,0.457,0.842,4.6,1.4584,0.5682,0.5082
1.3218,0.5546,0.5822,UAB,0.409,0.486,0.895,7.1,Fullerton,0.346,0.378,0.724,4.5,1.2968,0.4906,0.5322
1.411,0.4759,0.5661,High Point,0.406,0.513,0.919,5.5,Oregon St.,0.385,0.42,0.805,4.2,1.5602,0.6423,0.5329
