TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
1.5109,0.5475,0.5724,Arkansas,0.372,0.469,0.841,4.5,Wake Forest,0.425,0.49,0.915,4.9,1.594,0.6099,0.5591
1.5623,0.5806,0.5847,Tenessee,0.368,0.469,0.837,4.4,Clemson,0.397,0.472,0.869,4.7,1.524,0.5792,0.5457
1.640,0.5939,0.639,Florida,0.383,0.454,0.837,4.3,NC State,0.413,0.509,0.922,4.5,1.5912,0.5829,0.5363
1.446,0.52,0.5437,Vanderbilt,0.409,0.563,0.972,5.9,North Carolina,0.413,0.468,0.881,3.8,1.689,0.6567,0.5314
1.499,0.5129,0.5775,LSU,0.416,0.503,0.919,5.1,Pittsburgh,0.457,0.585,1.042,5.8,1.568,0.59,0.5158
1.776,0.5332,0.6417,Texas A&M,0.458,0.593,1.051,4.5,Louisville,0.439,0.549,0.988,6.6,1.4132,0.5535,0.5317
1.817,0.552,0.671,Texas,0.42,0.514,0.934,3.4,Miami,0.437,0.561,0.998,5.1,1.607,0.6115,0.5079
1.666,0.626,0.6238,Ole Miss,0.384,0.452,0.836,4.2,California,0.341,0.452,0.793,5.5,1.3233,0.522,0.5583
1.795,0.5525,0.6363,Mississippi St,0.434,0.552,0.986,3.8,Stanford,0.384,0.523,0.907,7.5,1.2253,0.5162,0.5521
1.635,0.5969,0.6185,Oklahoma,0.399,0.441,0.840,4.2,Virginia,0.41,0.497,0.907,6,1.5142,0.6283,0.5789
1.750,0.6327,0.6426,Auburn,0.395,0.430,0.825,3.5,Virginia Tech,0.373,0.417,0.790,7.7,1.194,0.552,0.6222
1.703,0.602,0.6519,Alabama,0.4,0.449,0.849,4,Duke,0.398,0.492,0.89,5.7,1.355,0.5506,0.4844
1.792,0.5016,0.6393,Georgia,0.448,0.633,1.081,4.3,Boston College,0.387,0.419,0.806,4.5,1.501,0.592,0.5529
1.524,0.529,0.6176,Kentucky,0.416,0.441,0.857,4.8,Notre Dame,0.404,0.502,0.906,6,1.4188,0.5512,0.5616
1.324,0.5012,0.5329,Missouri,0.407,0.443,0.850,5.6,Georgia Tech,0.48,0.633,1.113,4.3,1.8381,0.6496,0.5055
1.426,0.5979,0.5246,South Carolina,0.347,0.446,0.793,4.9,Florida St,0.402,0.47,0.872,4.1,1.7215,0.6563,0.6032
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
1.6155,0.482,0.6005,Oregon,0.399,0.514,0.913,3.8,Arizona State,0.422,0.568,0.99,5.4,1.5792,0.5948,0.5344
1.6239,0.5205,0.6434,USC,0.377,0.443,0.82,3.6,West Virginia,0.421,0.455,0.876,4.5,1.5483,0.6143,0.508
1.2902,0.5126,0.5346,Iowa,0.421,0.482,0.903,6.6,Houston,0.395,0.461,0.856,6.9,1.275,0.5341,0.5744
1.905,0.5645,0.7096,UCLA,0.442,0.539,0.981,3.5,Kansas,0.403,0.498,0.901,6.4,1.33,0.576,0.493
1.438,0.4892,0.5302,Minnesota,0.398,0.461,0.859,4.4,Cincinnati,0.41,0.503,0.913,5.9,1.4761,0.5768,0.5763
1.084,0.565,0.499,Northwestern,0.347,0.453,0.8,7.8,Kansas State,0.432,0.576,1.008,6.3,1.4862,0.5709,0.5373
1.2548,0.5293,0.5445,Ohio State,0.378,0.443,0.821,6.4,Utah,0.398,0.478,0.876,7.7,1.1209,0.5227,0.4922
1.4395,0.5835,0.556,Michigan,0.362,0.388,0.75,4.5,Baylor,0.388,0.421,0.809,5.5,1.409,0.5701,0.5799
1.5011,0.456,0.6091,Nebraska,0.414,0.482,0.896,4.6,Oklahom State,0.4,0.521,0.921,6,1.4185,0.5789,0.5186
1.3576,0.484,0.5666,Purdue,0.407,0.5,0.907,6,Texas Tech,0.461,0.576,1.037,8,1.258,0.5338,0.4869
1.215,0.4592,0.4992,Rutgers,0.379,0.428,0.807,5.5,UCF,0.395,0.423,0.818,4.6,1.5492,0.6098,0.5814
1.349,0.5495,0.5336,Illinois,0.374,0.412,0.786,5.2,BYU,0.361,0.488,0.849,7.1,1.2479,0.5232,0.5857
1.189,0.6063,0.5127,Maryland,0.406,0.484,0.89,8.2,TCU,0.412,0.441,0.853,6.5,1.3679,0.5925,0.5724
1.2184,0.5875,0.4909,Indiana,0.368,0.402,0.77,6.3,Arizona,0.348,0.393,0.741,6.5,1.1246,0.4694,0.5642
1.2223,0.5886,0.4757,Michigan State,0.349,0.409,0.758,6,,,,,,,,
0.9001,0.5687,0.4444,Penn State,0.364,0.423,0.787,9,,,,,,,,
1.2259,0.4903,0.4846,Washington,0.363,0.448,0.811,5.6,,,,,,,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
1.5982,0.5685,0.6227,Southern Miss,0.38,0.447,0.827,4.2,UC Santa Barbara,0.374,0.391,0.765,3.2,1.5825,0.586,0.5515
1.449,0.4974,0.5796,UTSA,0.432,0.5,0.932,5.6,Coastal Carolina,0.407,0.433,0.84,5.4,1.5075,0.6315,0.576
1.1687,0.5358,0.4989,UC Irvine,0.359,0.325,0.684,5.5,Louisiana Tech,0.376,0.439,0.815,5.7,1.2865,0.5184,0.5231
1.3194,0.5113,0.5361,Cal Poly,0.373,0.459,0.832,5.6,Kent State,0.414,0.46,0.874,5.4,1.3814,0.5921,0.4553
1.109,0.5278,0.4835,San Diego,0.37,0.408,0.778,6.8,Utah Valley,0.404,0.473,0.877,7.2,0.9779,0.4281,0.3928
1.4696,0.4464,0.5862,South Florida,0.395,0.422,0.817,3.8,Dallas Baptist,0.41,0.528,0.938,6.5,1.375,0.5416,0.5454
