TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
0.366,,,Arkansas,0.378,0.468,0.846,4.8,Wake Forest,0.421,0.511,0.932,4.8,0.452,,
0.424,,,Tenessee,0.371,0.493,0.864,4.4,Clemson,0.392,0.463,0.855,4.9,0.365,,
0.356,,,Florida,0.373,0.443,0.816,4.6,NC State,0.415,0.51,0.925,5.2,0.405,,
0.375,,,Vanderbilt,0.409,0.546,0.955,5.8,North Carolina,0.414,0.468,0.882,4,0.482,,
0.322,,,LSU,0.401,0.481,0.882,5.6,Pittsburgh,0.457,0.573,1.030,6.3,0.400,,
0.585,,,Texas A&M,0.444,0.581,1.025,4.4,Louisville,0.427,0.518,0.945,6.4,0.305,,
0.567,,,Texas,0.419,0.518,0.937,3.7,Miami,0.413,0.525,0.938,5,0.438,,
0.449,,,Ole Miss,0.396,0.473,0.869,4.2,California,0.359,0.477,0.836,5.4,0.296,,
0.563,,,Mississippi St,0.396,0.537,0.933,3.7,Stanford,0.386,0.497,0.883,7,0.183,,
0.416,,,Oklahoma,0.396,0.47,0.866,4.5,Virginia,0.406,0.501,0.907,5.8,0.327,,
0.479,,,Auburn,0.402,0.457,0.859,3.8,Virginia Tech,0.379,0.440,0.819,7.4,0.079,,
0.378,,,Alabama,0.386,0.432,0.818,4.4,Duke,0.383,0.468,0.851,6.6,0.191,,
0.580,,,Georgia,0.442,0.628,1.070,4.9,Boston College,0.396,0.422,0.818,4.3,0.388,,
0.319,,,Kentucky,0.41,0.439,0.849,5.3,Notre Dame,0.395,0.471,0.866,6.5,0.216,,
0.252,,,Missouri,0.385,0.417,0.802,5.5,Georgia Tech,0.472,0.624,1.096,4.5,0.646,,
0.290,,,South Carolina,0.335,0.435,0.770,4.8,Florida St,0.39,0.471,0.861,4.5,0.411,,
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
0.497,,,Oregon,0.411,0.546,0.957,4.6,Arizona State,0.423,0.567,0.99,6,0.39,,
0.386,,,USC,0.373,0.443,0.816,4.3,West Virginia,0.412,0.452,0.864,4.4,0.424,,
0.252,,,Iowa,0.419,0.493,0.912,6.6,Houston,0.379,0.429,0.808,6.8,0.128,,
0.609,,,UCLA,0.428,0.511,0.939,3.3,Kansas,0.399,0.497,0.896,6,0.296,,
0.411,,,Minnesota,0.399,0.472,0.871,4.6,Cincinnati,0.41,0.505,0.915,5.7,0.345,,
0.052,,,Northwestern,0.346,0.456,0.802,7.5,Kansas State,0.424,0.548,0.972,6.4,0.332,,
0.17,,,Ohio State,0.384,0.476,0.86,6.9,Utah,0.41,0.485,0.895,7.3,0.165,,
0.331,,,Michigan,0.375,0.406,0.781,4.5,Baylor,0.38,0.41,0.79,5.7,0.22,,
0.418,,,Nebraska,0.411,0.487,0.898,4.8,Oklahoma State,0.392,0.53,0.922,6.6,0.262,,
0.337,,,Purdue,0.409,0.498,0.907,5.7,Texas Tech,0.447,0.544,0.991,8.1,0.181,,
0.215,,,Rutgers,0.367,0.428,0.795,5.8,UCF,0.376,0.404,0.78,4.8,0.3,,
0.253,,,Illinois,0.386,0.437,0.823,5.7,BYU,0.364,0.485,0.849,6.8,0.169,,
0.156,,,Maryland,0.422,0.504,0.926,7.7,TCU,0.4,0.435,0.835,6.1,0.225,,
0.205,,,Indiana,0.391,0.454,0.845,6.4,Arizona,0.346,0.395,0.741,6.1,0.131,,
0.152,,,Michigan State,0.346,0.416,0.762,6.1,,,,,,,,
-0.042,,,Penn State,0.373,0.455,0.828,8.7,,,,,,,,
0.207,,,Washington,0.368,0.449,0.817,6.1,,,,,,,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
0.395,,,Southern Miss,0.376,0.449,0.825,4.3,UC Santa Barbara,0.372,0.403,0.775,3.3,0.445,,
0.366,,,UTSA,0.428,0.488,0.916,5.5,Coastal Carolina,0.397,0.425,0.822,5.5,0.272,,
0.13,,,UC Irvine,0.363,0.327,0.69,5.6,Louisiana Tech,0.38,0.437,0.817,5.1,0.307,,
0.282,,,Cal Poly,0.379,0.473,0.852,5.7,Kent State,0.415,0.464,0.879,5.6,0.319,,
0.048,,,San Diego,0.367,0.411,0.778,7.3,Utah Valley,0.397,0.477,0.874,7.5,0.124,,
0.365,,,South Florida,0.377,0.408,0.785,4.2,Dallas Baptist,0.396,0.52,0.916,6.5,0.266,,
0.339,,,Missouri State,0.418,0.551,0.969,6.3,Mercer,0.452,0.583,1.035,6.2,0.415,,
0.249,,,Charlotte,0.397,0.462,0.859,6.1,Xavier,0.345,0.415,0.76,6.8,0.08,,
0.349,,,East Carolina,0.398,0.451,0.849,5,Liberty,0.399,0.427,0.826,4.8,0.346,,
0.211,,,Murray St.,0.386,0.415,0.801,5.9,Troy,0.397,0.454,0.851,6.2,0.231,,
0.265,,,Hawaii,0.346,0.329,0.675,4.1,Louisiana,0.367,0.389,0.756,5.6,0.196,,
0.232,,,Creighton,0.383,0.429,0.812,5.8,South Alabama,0.383,0.452,0.835,5,0.335,,
0.199,,,UAB,0.403,0.456,0.859,6.6,Fullerton,0.344,0.382,0.726,4.1,0.316,,
0.386,,,High Point,0.4,0.496,0.896,5.1,Oregon St.,0.383,0.424,0.807,3.7,0.437,,
0.446,,,Jacksonville st,0.4,0.446,0.846,4,UNCW,0.39,0.411,0.801,4.7,0.331,,
