TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
1.615,0.5352,0.5858,Arkansas,0.392,0.492,0.884,3.9,Wake Forest,0.433,0.484,0.917,5.1,1.5433,0.6054,0.5309
1.6172,0.5667,0.5855,Tenessee,0.377,0.498,0.875,4.1,Clemson,0.4,0.471,0.871,4.4,1.594,0.5905,0.5722
1.682,0.5936,0.6648,Florida,0.387,0.467,0.854,4.3,NC State,0.43,0.546,0.976,4.5,1.614,0.5695,0.5185
1.486,0.504,0.5417,Vanderbilt,0.419,0.581,1.000,5.6,North Carolina,0.418,0.469,0.887,3.7,1.687,0.6554,0.5142
1.474,0.5159,0.5727,LSU,0.418,0.477,0.895,5.1,Pittsburgh,0.465,0.58,1.045,5.3,1.618,0.5988,0.5046
1.734,0.5267,0.6417,Texas A&M,0.451,0.555,1.006,4.4,Louisville,0.445,0.555,1,6.6,1.4551,0.566,0.5491
1.912,0.569,0.684,Texas,0.433,0.536,0.969,3.1,Miami,0.44,0.547,0.987,5.2,1.726,0.75,0.5086
1.685,0.6225,0.6184,Ole Miss,0.397,0.487,0.884,4.4,California,0.36,0.482,0.842,5,1.3887,0.5235,0.5232
1.870,0.5349,0.662,Mississippi St,0.452,0.571,1.023,3.5,Stanford,0.388,0.542,0.93,7.4,1.2497,0.5189,0.5408
1.649,0.574,0.6163,Oklahoma,0.420,0.469,0.889,4.3,Virginia,0.425,0.521,0.946,6.1,1.5611,0.6406,0.5845
1.837,0.6329,0.656,Auburn,0.413,0.455,0.868,3.2,Virginia Tech,0.373,0.404,0.777,7.6,1.201,0.5533,0.6306
1.712,0.5926,0.6483,Alabama,0.415,0.456,0.871,4,Duke,0.392,0.477,0.869,5.5,1.338,0.542,0.477
1.813,0.4702,0.6166,Georgia,0.46,0.676,1.136,4.1,Boston College,0.386,0.427,0.813,4.4,1.502,0.5937,0.5348
1.544,0.5023,0.6238,Kentucky,0.413,0.465,0.878,4.6,Notre Dame,0.421,0.498,0.919,5.8,1.4787,0.5792,0.5605
1.325,0.4768,0.527,Missouri,0.419,0.452,0.871,5.5,Georgia Tech,0.495,0.644,1.139,4.6,1.785,0.6294,0.4766
1.397,0.5947,0.5197,South Carolina,0.349,0.454,0.803,5.2,Florida St,0.417,0.506,0.923,4.3,1.751,0.6549,0.6031
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
1.7118,0.4552,0.6226,Oregon,0.422,0.572,0.994,3.6,Arizona State,0.427,0.569,0.996,5.5,1.5836,0.5946,0.543
1.6483,0.4657,0.6536,USC,0.373,0.446,0.819,2.9,West Virginia,0.437,0.479,0.916,4.3,1.6115,0.6277,0.4978
1.2972,0.5215,0.5237,Iowa,0.431,0.491,0.922,6.7,Houston,0.411,0.476,0.887,6.7,1.3351,0.5311,0.587
1.826,0.5207,0.6897,UCLA,0.439,0.517,0.956,3.4,Kansas,0.397,0.476,0.873,5.9,1.3315,0.5572,0.4913
1.446,0.4642,0.5324,Minnesota,0.409,0.480,0.889,4.4,Cincinnati,0.425,0.527,0.952,5.4,1.566,0.5929,0.5611
1.1107,0.6174,0.4933,Northwestern,0.35,0.43,0.78,7.8,Kansas State,0.438,0.555,0.993,6.3,1.4744,0.5768,0.5346
1.1789,0.5297,0.5142,Ohio State,0.372,0.413,0.785,6.5,Utah,0.384,0.411,0.795,7,1.1041,0.5367,0.4724
1.3773,0.5699,0.5394,Michigan,0.37,0.378,0.748,4.8,Baylor,0.396,0.412,0.808,5.6,1.4127,0.578,0.5867
1.5037,0.4736,0.6161,Nebraska,0.405,0.469,0.874,4.6,Oklahom State,0.39,0.503,0.893,6.1,1.3594,0.5581,0.5183
1.401,0.4966,0.5814,Purdue,0.414,0.509,0.923,6,Texas Tech,0.466,0.598,1.064,8.1,1.261,0.5313,0.4761
1.310,0.4681,0.5174,Rutgers,0.393,0.451,0.844,5.2,UCF,0.397,0.414,0.811,4.7,1.5119,0.6045,0.5664
1.364,0.549,0.5342,Illinois,0.369,0.422,0.791,5.1,BYU,0.368,0.495,0.863,6.8,1.319,0.5384,0.5976
1.2291,0.6378,0.5343,Maryland,0.397,0.47,0.867,8.1,TCU,0.404,0.392,0.796,6.7,1.2726,0.581,0.5656
1.1987,0.6148,0.4949,Indiana,0.361,0.388,0.749,6.6,Arizona,0.363,0.412,0.775,6.3,0.145,,
1.2287,0.6116,0.4861,Michigan State,0.334,0.397,0.731,6,,,,0,,0,,
0.8715,0.521,0.4305,Penn State,0.376,0.434,0.81,8.9,,,,0,,0,,
1.1411,0.4791,0.469,Washington,0.353,0.44,0.793,6,,,,0,,0,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
1.656,0.5822,0.6418,Southern Miss,0.376,0.446,0.822,3.9,UC Santa Barbara,0.385,0.414,0.799,3.2,1.6252,0.5841,0.5621
1.4453,0.4836,0.5857,UTSA,0.439,0.527,0.966,5.9,Coastal Carolina,0.406,0.433,0.839,5.3,1.5016,0.625,0.5676
1.0844,0.5347,0.4777,UC Irvine,0.347,0.305,0.652,5.8,Louisiana Tech,0.385,0.47,0.855,5.6,1.3753,0.5308,0.5495
1.3196,0.5112,0.5564,Cal Poly,0.366,0.426,0.792,5.4,Kent State,0.394,0.44,0.834,5.8,1.2923,0.5806,0.4577
1.039,0.5431,0.4611,San Diego,0.377,0.388,0.765,7.3,Utah Valley,0.393,0.45,0.843,7.1,0.9821,0.4317,0.4174
1.5083,0.4609,0.6054,South Florida,0.407,0.425,0.832,3.9,Dallas Baptist,0.417,0.542,0.959,6.2,1.4183,0.5475,0.5318
1.5642,0.5849,0.6003,Missouri State,0.415,0.574,0.989,6.1,Mercer,0.471,0.584,1.055,6.2,1.422,0.5742,0.4128
1.491,0.5279,0.5731,Charlotte,0.418,0.482,0.9,5.1,Xavier,0.318,0.389,0.707,7.2,1.0286,0.4608,0.5808
1.5258,0.5653,0.5595,East Carolina,0.402,0.459,0.861,4.6,Liberty,0.388,0.415,0.803,4.7,1.413,0.578,0.502
1.1602,0.373,0.5162,Murray St.,0.397,0.434,0.831,5.6,Troy,0.376,0.429,0.805,6.1,1.29,0.5092,0.5858
1.3246,0.5395,0.5311,Hawaii,0.339,0.305,0.644,3.9,Louisiana,0.353,0.376,0.729,5,1.4104,0.5998,0.5816
1.162,0.5231,0.5176,Creighton,0.378,0.403,0.781,6.6,South Alabama,0.384,0.447,0.831,4.7,1.4374,0.5682,0.5082
