TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
0.543,,,Arkansas,0.382,0.471,0.853,3.1,Wake Forest,0.454,0.508,0.962,4.9,0.472,,
0.568,,,Tenessee,0.391,0.517,0.908,3.4,Clemson,0.424,0.519,0.943,3.1,0.633,,
0.514,,,Florida,0.409,0.525,0.934,4.2,NC State,0.457,0.625,1.082,3,0.782,,
0.657,,,Vanderbilt,0.433,0.624,1.057,4,North Carolina,0.422,0.494,0.916,3.8,0.536,,
0.466,,,LSU,0.42,0.506,0.926,4.6,Pittsburgh,0.476,0.589,1.065,3.6,0.705,,
0.796,,,Texas A&M,0.474,0.612,1.086,2.9,Louisville,0.449,0.571,1.02,5.9,0.43,,
0.805,,,Texas,0.457,0.598,1.055,2.5,Miami,0.444,0.584,1.028,5.1,0.518,,
0.633,,,Ole Miss,0.426,0.537,0.963,3.3,California,0.382,0.531,0.913,4.2,0.493,,
0.657,,,Mississippi St,0.462,0.595,1.057,4,Stanford,0.362,0.49,0.852,7.3,0.122,,
0.663,,,Oklahoma,0.452,0.511,0.963,3,Virginia,0.432,0.521,0.953,5.5,0.403,,
0.622,,,Auburn,0.432,0.490,0.922,3,Virginia Tech,0.383,0.430,0.813,8.4,-0.027,,
0.481,,,Alabama,0.424,0.477,0.901,4.2,Duke,0.409,0.481,0.89,4.2,0.47,,
0.898,,,Georgia,0.487,0.731,1.218,3.2,Boston College,0.367,0.430,0.797,5.4,0.257,,
0.546,,,Kentucky,0.423,0.483,0.906,3.6,Notre Dame,0.415,0.476,0.891,3.7,0.521,,
0.588,,,Missouri,0.467,0.531,0.998,4.1,Georgia Tech,0.534,0.697,1.231,3.7,0.861,,
0.514,,,South Carolina,0.376,0.498,0.874,3.6,Florida St,0.425,0.486,0.911,3.8,0.531,,
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
0.627,,,Oregon,0.416,0.551,0.967,3.4,Arizona State,0.433,0.599,1.032,4.2,0.612,,
0.627,,,USC,0.378,0.449,0.827,2,West Virginia,0.435,0.473,0.908,3.8,0.528,,
0.308,,,Iowa,0.444,0.504,0.948,6.4,Houston,0.418,0.486,0.904,4.2,0.484,,
0.591,,,UCLA,0.432,0.549,0.981,3.9,Kansas,0.378,0.398,0.776,5.9,0.186,,
0.556,,,Minnesota,0.416,0.520,0.936,3.8,Cincinnati,0.42,0.514,0.934,4.8,0.454,,
0.05,,,Northwestern,0.373,0.467,0.84,7.9,Kansas State,0.425,0.524,0.949,4.3,0.519,,
-0.026,,,Ohio State,0.343,0.381,0.724,7.5,Utah,0.376,0.374,0.75,4.6,0.29,,
0.356,,,Michigan,0.39,0.436,0.826,4.7,Baylor,0.411,0.437,0.848,4.4,0.408,,
0.371,,,Nebraska,0.397,0.474,0.871,5,Oklahom State,0.394,0.552,0.946,5.2,0.426,,
0.349,,,Purdue,0.406,0.453,0.859,5.1,Texas Tech,0.486,0.627,1.113,6.8,0.433,,
0.407,,,Rutgers,0.397,0.45,0.847,4.4,UCF,0.387,0.4,0.787,4.4,0.347,,
0.285,,,Illinois,0.38,0.465,0.845,5.6,BYU,0.374,0.496,0.87,6.4,0.23,,
0.194,,,Maryland,0.407,0.477,0.884,6.9,TCU,0.417,0.412,0.829,6.2,0.209,,
0.129,,,Indiana,0.378,0.391,0.769,6.4,Arizona,0.344,0.376,0.72,5.2,0.2,,
0.037,,,Michigan State,0.298,0.319,0.617,5.8,,,,0,,0,,
-0.051,,,Penn State,0.368,0.441,0.809,8.6,,,,0,,0,,
0.203,,,Washington,0.358,0.445,0.803,6,,,,0,,0,,
,,,,,,,,,,,,,,,
,,,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g,,,
0.535,,,Southern Miss,0.393,0.472,0.865,3.3,UC Santa Barbara,0.402,0.458,0.86,2.7,0.59,,
0.457,,,UTSA,0.447,0.54,0.987,5.3,Coastal Carolina,0.387,0.404,0.791,5.5,0.241,,
0.151,,,UC Irvine,0.349,0.292,0.641,4.9,Louisiana Tech,0.361,0.449,0.81,4.8,0.33,,
0.248,,,Cal Poly,0.34,0.398,0.738,4.9,Kent State,0.388,0.416,0.804,4.9,0.314,,
0.074,,,San Diego,0.39,0.404,0.794,7.2,Utah Valley,0.405,0.464,0.869,5.5,0.319,,
0.484,,,South Florida,0.412,0.432,0.844,3.6,Dallas Baptist,0.405,0.523,0.928,6.1,0.318,,
0.362,,,Missouri State,0.416,0.556,0.972,6.1,Mercer,0.485,0.561,1.046,5.7,0.476,,
0.445,,,Charlotte,0.418,0.477,0.895,4.5,Xavier,0.31,0.391,0.701,8,-0.099,,
0.407,,,East Carolina,0.41,0.437,0.847,4.4,Liberty,0.397,0.42,0.817,4.2,0.397,,
0.315,,,Murray St.,0.42,0.475,0.895,5.8,Troy,0.356,0.408,0.764,6.3,0.134,,
0.202,,,Hawaii,0.34,0.312,0.652,4.5,Louisiana,0.365,0.383,0.748,4.8,0.268,,
0.050,,,Creighton,0.376,0.394,0.770,7.2,South Alabama,0.398,0.463,0.861,4.9,0.371,,
0.146,,,UAB,0.393,0.513,0.906,7.6,Fullerton,0.343,0.355,0.698,4.4,0.258,,
0.248,,,High Point,0.388,0.45,0.838,5.9,Oregon St.,0.373,0.376,0.749,3.9,0.359,,
