Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-10,Texas,Texas A&M,Away,53.2%,46.8%,Texas -0.55,9.7,2,9,Texas A&M 9-8
2026-04-10,Florida,Georgia,Away,42.2%,57.8%,Georgia -0.86,9.5,4,11,Florida 8-2
2026-04-10,Florida St.,Georgia Tech,Away,36.2%,63.8%,Georgia Tech -1.79,9.3,13,3,Georgia Tech 8-3
2026-04-10,Wake Forest,Miami (FL),Home,44.0%,56.0%,Miami (FL) -0.82,9.2,30,19,Miami (FL) 3-1
2026-04-10,Arkansas,Alabama,Home,42.7%,57.3%,Alabama -0.93,9.2,31,10,Arkansas 7-5
2026-04-10,Kentucky,Auburn,Home,40.2%,59.8%,Auburn -1.2,9.2,24,6,Auburn 12-5
2026-04-10,Oklahoma,Vanderbilt,Away,50.6%,49.4%,Oklahoma -0.19,9.2,14,47,Oklahoma 13-11
2026-04-10,UCF,Kansas,Home,43.6%,56.4%,Kansas -0.77,9.2,25,27,Kansas 4-3
2026-04-10,Jacksonville St.,Liberty,Away,56.0%,44.0%,Jacksonville St. -0.88,9.1,20,34,Jacksonville St. 8-4
2026-04-10,Nebraska,Oregon,Away,41.4%,58.6%,Oregon -0.79,9.1,18,26,Oregon 7-6
2026-04-10,North Carolina,Clemson,Home,59.5%,40.5%,North Carolina -1.35,9.0,8,37,Clemson 9-5
2026-04-10,Tennessee,Mississippi St.,Home,34.9%,65.1%,Mississippi St. -1.89,9.0,29,5,Tennessee 6-5
2026-04-10,LSU,Ole Miss,Away,43.0%,57.0%,Ole Miss -0.81,9.0,45,16,Ole Miss 6-3
2026-04-10,Virginia Tech,Boston College,Home,45.4%,54.6%,Boston College -0.65,8.7,55,40,Virginia Tech 9-8
2026-04-10,Oklahoma St.,Kansas St.,Home,42.6%,57.4%,Kansas St. -0.88,8.7,50,38,Kansas St. 11-3
2026-04-10,Virginia,Notre Dame,Home,61.0%,39.0%,Virginia -1.43,8.6,22,57,Virginia 8-4
2026-04-10,South Fla.,UTSA,Away,37.1%,62.9%,UTSA -1.52,8.4,49,42,UTSA 11-3
2026-04-10,Portland,Gonzaga,Home,52.7%,47.3%,Portland -0.24,8.3,59,76,Gonzaga 12-6
2026-04-10,UNCW,Campbell,Home,50.9%,49.1%,UNCW -0.07,8.3,85,60,UNCW 5-3
2026-04-10,Baylor,Cincinnati,Away,35.5%,64.5%,Cincinnati -1.6,8.3,52,41,Cincinnati 11-1
2026-04-10,Duke,NC State,Away,35.6%,64.4%,NC State -1.77,8.2,64,39,NC State 10-4
2026-04-10,BYU,Houston,Away,49.4%,50.6%,BYU -0.09,8.2,66,88,BYU 6-2
2026-04-10,West Virginia,Texas Tech,Home,71.5%,28.5%,West Virginia -2.79,8.1,15,61,West Virginia 12-8
2026-04-10,Utah,Arizona St.,Home,24.1%,75.9%,Arizona St. -3.16,8.0,56,23,Utah 10-4
2026-04-10,California,Pittsburgh,Away,32.4%,67.6%,Pittsburgh -2.11,8.0,67,43,California 12-1
2026-04-10,Southern Miss.,Louisiana,Home,70.3%,29.7%,Southern Miss. -2.68,8.0,21,68,Southern Miss. 8-1
2026-04-10,South Carolina,Missouri,Home,55.3%,44.7%,South Carolina -0.67,8.0,82,78,South Carolina 1-0
2026-04-10,Iowa,Southern California,Away,26.9%,73.1%,Southern California -2.98,8.0,71,12,Southern California 9-2
2026-04-10,Stanford,Louisville,Home,38.3%,61.7%,Louisville -1.37,7.9,75,69,Stanford 12-2
2026-04-10,Coastal Carolina,Arkansas St.,Home,72.8%,27.2%,Coastal Carolina -3.12,7.9,17,70,Coastal Carolina 10-7
2026-04-10,UC San Diego,UC Santa Barbara,Away,26.1%,73.9%,UC Santa Barbara -2.84,7.8,65,35,UC San Diego 4-3
2026-04-10,Rice,Charlotte,Home,32.7%,67.3%,Charlotte -1.82,7.7,62,80,Rice 7-5
2026-04-10,Troy,Texas St.,Home,38.7%,61.3%,Texas St. -1.44,7.6,109,44,Texas St. 8-5
2026-04-10,UC Irvine,Hawaii,Home,51.0%,49.0%,UC Irvine -0.04,7.6,106,103,Hawaii 14-6
2026-04-10,Wichita St.,UAB,Home,36.5%,63.5%,UAB -1.83,7.5,115,33,UAB 4-3
2026-04-10,Purdue,Northwestern,Home,64.2%,35.8%,Purdue -1.79,7.5,53,107,Purdue 11-3
2026-04-10,Cal Poly,Oregon St.,Away,19.8%,80.2%,Oregon St. -4.19,7.5,83,7,Oregon St. 6-3
2026-04-10,Abilene Christian,Tarleton St.,Away,47.1%,52.9%,Tarleton St. -0.36,7.4,130,72,Abilene Christian 11-4
2026-04-10,San Diego St.,New Mexico,Home,47.9%,52.1%,New Mexico -0.27,7.4,102,116,New Mexico 5-3
2026-04-10,Mercer,Western Caro.,Away,65.8%,34.2%,Mercer -1.88,7.3,54,112,Western Caro. 10-6
2026-04-10,The Citadel,Wofford,Away,36.5%,63.5%,Wofford -1.45,7.3,98,97,Wofford 2-0
2026-04-10,Indiana,Maryland,Away,55.3%,44.7%,Indiana -0.71,7.3,90,123,Indiana 11-3
2026-04-10,Arizona,TCU,Away,32.4%,67.6%,TCU -2.28,7.1,137,28,Arizona 4-3
2026-04-10,East Carolina,Tulane,Away,68.3%,31.7%,East Carolina -2.34,7.1,46,126,Tulane 4-1
2026-04-10,Kent St.,NIU,Away,70.7%,29.3%,Kent St. -2.6,7.1,51,117,NIU 12-2
2026-04-10,Charleston So.,USC Upstate,Away,47.3%,52.7%,USC Upstate -0.42,7.0,129,121,USC Upstate 9-1
2026-04-10,Washington,Minnesota,Home,39.0%,61.0%,Minnesota -1.2,6.8,147,81,Washington 11-7
2026-04-10,VMI,Samford,Home,39.5%,60.5%,Samford -1.2,6.8,93,139,Samford 10-4
2026-04-10,Michigan,Michigan St.,Away,67.2%,32.8%,Michigan -2.26,6.8,48,143,Michigan 4-2
2026-04-10,Washington,Minnesota,Home,39.0%,61.0%,Minnesota -1.2,6.8,147,81,Minnesota 12-6
2026-04-10,Indiana St.,Illinois St.,Home,51.1%,48.9%,Indiana St. -0.1,6.7,146,135,Indiana St. 11-1
2026-04-10,UCLA,Rutgers,Home,92.2%,7.8%,UCLA -7.2,6.6,1,119,UCLA 4-1
2026-04-10,ULM,App State,Home,41.0%,59.0%,App State -1.07,6.6,148,114,App State 13-5
2026-04-10,Lamar University,Nicholls,Away,57.2%,42.8%,Lamar University -0.89,6.6,118,145,Nicholls 3-0
2026-04-10,James Madison,Georgia St.,Home,56.9%,43.1%,James Madison -0.85,6.5,124,151,Georgia St. 10-5
2026-04-10,South Alabama,Ga. Southern,Home,60.4%,39.6%,South Alabama -1.17,6.4,87,168,Ga. Southern 5-3
2026-04-10,Saint Joseph's,Dayton,Home,52.7%,47.3%,Saint Joseph's -0.67,6.4,91,186,Saint Joseph's 5-3
2026-04-10,UT Arlington,California Baptist,Home,20.8%,79.2%,California Baptist -3.85,6.3,155,36,California Baptist 9-1
2026-04-10,Jacksonville,FGCU,Home,35.8%,64.2%,FGCU -1.65,6.3,158,100,Jacksonville 6-4
2026-04-10,Old Dominion,Marshall,Home,44.9%,55.1%,Marshall -0.59,6.2,162,150,Marshall 8-1
2026-04-10,Middle Tenn.,Louisiana Tech,Home,34.2%,65.8%,Louisiana Tech -1.95,6.2,157,113,Louisiana Tech 8-1
2026-04-10,Little Rock,SIUE,Away,48.3%,51.7%,SIUE -0.05,6.2,132,183,Little Rock 3-0
2026-04-10,Southern Ind.,Eastern Ill.,Home,42.9%,57.1%,Eastern Ill. -1.0,6.1,171,138,Eastern Ill. 13-3
2026-04-10,Saint Mary's (CA),Santa Clara,Away,61.0%,39.0%,Saint Mary's (CA) -1.48,6.1,111,178,Saint Mary's (CA) 8-1
2026-04-10,San Diego,San Francisco,Away,56.9%,43.1%,San Diego -0.95,6.0,140,180,San Diego 9-2
2026-04-10,DBU,Sam Houston,Away,78.5%,21.5%,DBU -3.81,6.0,79,154,DBU 6-4
2026-04-10,Radford,High Point,Home,18.9%,81.1%,High Point -4.05,6.0,156,58,Radford 7-6
2026-04-10,Houston Christian,Northwestern St.,Away,32.1%,67.9%,Northwestern St. -2.16,5.9,177,105,Houston Christian 5-2
2026-04-10,UNLV,Grand Canyon,Home,56.2%,43.8%,UNLV -0.94,5.7,125,207,UNLV 13-8
2026-04-10,UTRGV,SFA,Home,63.0%,37.0%,UTRGV -1.42,5.7,173,161,SFA 7-2
2026-04-10,San Jose St.,Nevada,Home,33.9%,66.1%,Nevada -1.96,5.7,191,108,Nevada 11-1
2026-04-10,UIW,McNeese,Home,36.6%,63.4%,McNeese -1.45,5.7,152,172,UIW 6-2
2026-04-10,Richmond,George Mason,Home,52.4%,47.6%,Richmond -0.32,5.6,175,198,Richmond 4-2
2026-04-10,Kennesaw St.,FIU,Home,65.8%,34.2%,Kennesaw St. -2.07,5.6,74,220,FIU 3-2
2026-04-10,Rider,Fairfield,Home,47.8%,52.2%,Fairfield -0.36,5.6,192,185,Fairfield 10-3
2026-04-10,Penn St.,Ohio St.,Home,35.5%,64.5%,Ohio St. -1.68,5.6,214,84,Penn St. 10-6
2026-04-10,CSU Bakersfield,UC Davis,Away,33.6%,66.4%,UC Davis -1.99,5.5,190,133,CSU Bakersfield 8-2
2026-04-10,New Mexico St.,Western Ky.,Away,21.8%,78.2%,Western Ky. -3.63,5.5,179,95,Western Ky. 7-3
2026-04-10,CSU Bakersfield,UC Davis,Away,33.6%,66.4%,UC Davis -1.99,5.5,190,133,UC Davis 5-3
2026-04-10,Oral Roberts,Omaha,Home,70.3%,29.7%,Oral Roberts -2.74,5.4,86,209,Oral Roberts 9-0
2026-04-10,Cal St. Fullerton,Long Beach St.,Away,65.2%,34.8%,Cal St. Fullerton -2.02,5.4,99,222,Cal St. Fullerton 10-0
2026-04-10,North Ala.,Austin Peay,Home,37.1%,62.9%,Austin Peay -1.46,5.4,193,160,North Ala. 9-3
2026-04-10,UMBC,Binghamton,Home,37.2%,62.8%,Binghamton -1.6,5.4,189,166,Binghamton 6-5
2026-04-10,Toledo,Western Mich.,Away,53.9%,46.1%,Toledo -0.49,5.4,204,184,Toledo 3-2
2026-04-10,Gardner-Webb,Washington St.,Away,28.1%,71.9%,Washington St. -2.8,5.4,206,94,Washington St. 7-4
2026-04-10,Central Ark.,Lipscomb,Away,43.0%,57.0%,Lipscomb -0.72,5.3,182,203,Central Ark. 12-6
2026-04-10,Holy Cross,Bucknell,Home,50.6%,49.4%,Holy Cross -0.07,5.3,219,181,Holy Cross 14-5
2026-04-10,A&M-Corpus Christi,Southeastern La.,Away,26.1%,73.9%,Southeastern La. -3.04,5.3,196,104,A&M-Corpus Christi 7-5
2026-04-10,Georgetown,St. John's (NY),Away,33.7%,66.3%,St. John's (NY) -2.18,5.2,205,141,St. John's (NY) 12-6
2026-04-10,UNC Greensboro,Northern Ky.,Home,61.2%,38.8%,UNC Greensboro -1.35,5.2,170,201,Northern Ky. 14-8
2026-04-10,VCU,Fordham,Home,62.0%,38.0%,VCU -1.51,5.2,128,228,VCU 5-3
2026-04-10,Fla. Atlantic,Memphis,Away,67.3%,32.7%,Fla. Atlantic -2.1,5.1,134,211,Fla. Atlantic 17-4
2026-04-10,Morehead St.,Southeast Mo. St.,Away,16.6%,83.4%,Southeast Mo. St. -4.67,5.1,208,63,Southeast Mo. St. 3-2
2026-04-10,Fresno St.,Air Force,Home,41.3%,58.7%,Air Force -1.06,5.0,226,167,Air Force 8-5
2026-04-10,ETSU,Belmont,Home,77.5%,22.4%,ETSU -3.74,4.9,73,233,ETSU 6-3
2026-04-10,Seton Hall,Creighton,Home,20.5%,79.5%,Creighton -3.94,4.9,218,96,Creighton 5-0
2026-04-10,Towson,Monmouth,Home,37.3%,62.7%,Monmouth -1.53,4.8,229,165,Monmouth 8-2
2026-04-10,Utah Valley,Sacramento St.,Home,39.3%,60.7%,Sacramento St. -1.25,4.8,217,195,Sacramento St. 7-2
2026-04-10,Utah Valley,Sacramento St.,Home,39.3%,60.7%,Sacramento St. -1.25,4.8,217,195,Utah Valley 11-1
2026-04-10,New Orleans,Illinois,Home,23.8%,76.3%,Illinois -3.37,4.8,234,89,Illinois 13-1
2026-04-10,William & Mary,Elon,Home,45.0%,55.0%,Elon -0.44,4.8,212,224,William & Mary 9-6
2026-04-10,Southern Ill.,Evansville,Home,46.3%,53.7%,Evansville -0.56,4.8,247,174,Evansville 6-5
2026-04-10,Central Mich.,Bowling Green,Home,36.5%,63.5%,Bowling Green -1.77,4.7,236,163,Bowling Green 5-4
2026-04-10,Tennessee Tech,UT Martin,Away,48.3%,51.7%,UT Martin -0.22,4.7,238,221,UT Martin 11-6
2026-04-10,Stony Brook,Hofstra,Home,41.4%,58.6%,Hofstra -1.0,4.6,237,197,Hofstra 11-5
2026-04-10,Murray St.,UIC,Away,66.1%,33.9%,Murray St. -2.03,4.6,142,249,UIC 3-1
2026-04-10,Missouri St.,Delaware,Home,85.8%,14.2%,Missouri St. -5.32,4.6,32,257,Missouri St. 14-1
2026-04-10,North Florida,West Ga.,Away,68.9%,31.1%,North Florida -2.47,4.5,136,251,North Florida 7-3
2026-04-10,Pacific,Pepperdine,Away,46.3%,53.7%,Pepperdine -0.45,4.4,244,230,Pacific 8-7
2026-04-10,Quinnipiac,Marist,Home,54.0%,46.0%,Quinnipiac -0.37,4.3,245,243,Marist 7-5
2026-04-10,UConn,Butler,Home,83.3%,16.7%,UConn -4.64,4.3,110,239,Butler 5-4
2026-04-10,LMU (CA),Seattle U,Away,56.1%,43.9%,LMU (CA) -0.75,4.2,210,263,Seattle U 5-4
2026-04-10,UNC Asheville,Longwood,Home,27.9%,72.1%,Longwood -2.74,4.2,252,159,Longwood 8-4
2026-04-10,South Dakota St.,St. Thomas (MN),Away,51.8%,48.2%,South Dakota St. -0.17,4.0,232,276,St. Thomas (MN) 4-1
2026-04-10,South Dakota St.,St. Thomas (MN),Away,51.8%,48.2%,South Dakota St. -0.17,4.0,232,276,South Dakota St. 7-2
2026-04-10,Milwaukee,Oakland,Away,43.7%,56.3%,Oakland -0.78,4.0,269,227,Milwaukee 12-4
2026-04-10,Villanova,Xavier,Away,20.6%,79.4%,Xavier -3.98,4.0,259,127,Xavier 8-4
2026-04-10,Stonehill,FDU,Home,37.9%,62.1%,FDU -1.42,4.0,266,199,FDU 14-9
2026-04-10,CSUN,UC Riverside,Away,79.5%,20.4%,CSUN -3.93,3.9,120,267,UC Riverside 3-1
2026-04-10,Bellarmine,Eastern Ky.,Away,57.4%,42.6%,Bellarmine -1.08,3.8,235,274,Bellarmine 10-5
2026-04-10,Sacred Heart,Iona,Home,50.5%,49.5%,Sacred Heart -0.2,3.7,265,286,Iona 7-6
2026-04-10,Merrimack,Northeastern,Away,14.8%,85.2%,Northeastern -5.09,3.7,256,144,Northeastern 11-10
2026-04-10,Canisius,Niagara,Away,43.0%,57.0%,Niagara -0.82,3.7,275,242,Canisius 4-3
2026-04-10,Florida A&M,Jackson St.,Away,67.5%,32.5%,Florida A&M -2.16,3.6,223,268,Jackson St. 5-4
2026-04-10,Queens (NC),Stetson,Away,19.7%,80.3%,Stetson -4.06,3.6,261,164,Queens (NC) 2-0
2026-04-10,Winthrop,Presbyterian,Home,87.0%,13.0%,Winthrop -5.62,3.6,77,297,Winthrop 4-2
2026-04-10,La Salle,Rhode Island,Away,21.0%,79.0%,Rhode Island -3.92,3.6,240,213,Rhode Island 7-6
2026-04-10,Akron,Ball St.,Away,20.0%,80.0%,Ball St. -3.97,3.5,262,176,Ball St. 13-8
2026-04-10,Siena,Manhattan,Home,51.7%,48.3%,Siena -0.28,3.5,271,290,Siena 5-3
2026-04-10,St. Bonaventure,Davidson,Home,29.6%,70.4%,Davidson -2.66,3.5,285,188,Davidson 6-5
2026-04-10,UAlbany,Bryant,Home,17.2%,82.8%,Bryant -4.57,3.4,282,149,Bryant 15-5
2026-04-10,Saint Louis,George Washington,Home,63.3%,36.7%,Saint Louis -1.68,3.4,241,279,Saint Louis 3-0
2026-04-10,Western Ill.,Lindenwood,Home,35.2%,64.8%,Lindenwood -1.92,3.4,289,215,Lindenwood 5-2
2026-04-10,NJIT,UMass Lowell,Away,37.1%,62.9%,UMass Lowell -1.35,3.3,283,250,UMass Lowell 11-2
2026-04-10,Southern U.,Grambling,Home,61.6%,38.4%,Southern U. -1.29,3.3,273,277,Southern U. 7-5
2026-04-10,Ohio,Miami (OH),Home,8.2%,91.8%,Miami (OH) -6.86,3.3,293,92,Ohio 7-6
2026-04-10,Wright St.,Youngstown St.,Away,89.5%,10.5%,Wright St. -6.26,3.3,101,292,Wright St. 15-4
2026-04-10,Army West Point,Lehigh,Away,73.1%,26.9%,Army West Point -2.94,3.2,187,300,Army West Point 20-5
2026-04-10,N.C. A&T,Col. of Charleston,Home,14.5%,85.5%,Col. of Charleston -5.15,3.1,280,169,Col. of Charleston 6-5
2026-04-10,Lafayette,Navy,Away,19.9%,80.1%,Navy -3.93,3.1,281,200,Navy 9-1
2026-04-10,Bethune-Cookman,Mississippi Val.,Away,93.8%,6.2%,Bethune-Cookman -7.64,3.1,122,284,Mississippi Val. 8-6
2026-04-10,North Dakota St.,Northern Colo.,Away,65.7%,34.3%,North Dakota St. -1.93,2.9,264,298,North Dakota St. 4-3
2026-04-10,Massachusetts,Eastern Mich.,Home,30.5%,69.5%,Eastern Mich. -2.3,2.9,291,260,Massachusetts 4-2
2026-04-10,Bradley,Valparaiso,Away,31.3%,68.7%,Valparaiso -2.25,2.8,299,253,Valparaiso 9-2
2026-04-10,UMES,Delaware St.,Home,59.7%,40.3%,UMES -1.1,2.6,305,308,Delaware St. 5-4
2026-04-10,LIU,New Haven,Away,70.5%,29.5%,LIU -2.73,2.6,272,301,LIU 2-1
2026-04-10,Ark.-Pine Bluff,Prairie View,Away,77.8%,22.2%,Ark.-Pine Bluff -3.69,2.4,254,302,SCH
2026-04-10,Norfolk St.,Wagner,Away,18.8%,81.2%,Wagner -4.03,2.4,294,258,Wagner 15-2
2026-04-10,Alabama St.,Alabama A&M,Home,91.5%,8.5%,Alabama St. -6.8,2.1,216,304,Alabama St. 10-0
2026-04-10,Saint Peter's,Mount St. Mary's,Home,10.0%,90.0%,Mount St. Mary's -6.3,1.9,307,246,Mount St. Mary's 15-3
2026-04-10,Central Conn. St.,Coppin St.,Away,83.9%,16.1%,Central Conn. St. -4.73,1.8,295,303,Central Conn. St. 17-4
