Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-05-06,Virginia Tech,Liberty,Home,39.8%,60.2%,Liberty -1.26,8.8,40,33,Virginia Tech 8-4
2026-05-06,Winthrop,North Carolina,Home,10.5%,89.5%,North Carolina -7.48,6.5,131,5,Winthrop 0-0
2026-05-06,Grand Canyon,Oregon,Away,16.5%,83.5%,Oregon -5.71,6.4,148,18,Grand Canyon 0-0
2026-05-06,Western Mich.,Michigan St.,Home,31.6%,68.4%,Michigan St. -2.69,6.1,163,99,Michigan St. 8-3
2026-05-06,Mercer,Ga. Southern,Home,71.1%,28.9%,Mercer -3.4,5.9,45,198,Mercer 10-7
2026-05-06,San Francisco,Stanford,Away,22.5%,77.5%,Stanford -4.31,5.9,174,61,Stanford 12-5
2026-05-06,FGCU,FIU,Away,60.5%,39.5%,FGCU -1.57,5.6,119,210,FGCU 9-8
2026-05-06,Austin Peay,Southeast Mo. St.,Away,28.7%,71.3%,Southeast Mo. St. -3.33,5.6,202,77,Southeast Mo. St. 7-5
2026-05-06,Omaha,Kansas St.,Home,13.8%,86.2%,Kansas St. -6.23,5.5,186,47,Omaha 0-0
2026-05-06,Rider,Rutgers,Away,28.8%,71.2%,Rutgers -2.77,5.5,185,116,Rider 0-0
2026-05-06,Wofford,Gardner-Webb,Home,67.0%,33.0%,Wofford -2.56,5.4,120,203,Wofford 0-0
2026-05-06,New Mexico St.,Arizona,Home,22.3%,77.7%,Arizona -4.27,5.1,188,128,Arizona 8-6
2026-05-06,Milwaukee,UIC,Away,33.5%,66.5%,UIC -2.23,4.9,200,194,Milwaukee 12-6
2026-05-06,UT Martin,Murray St.,Home,24.3%,75.7%,Murray St. -3.74,4.4,224,159,UT Martin 5-1
2026-05-06,Towson,Villanova,Away,46.1%,53.9%,Villanova -0.52,4.3,247,242,Villanova 14-1
2026-05-06,Butler,Toledo,Away,24.0%,76.0%,Toledo -3.92,4.2,233,173,Toledo 12-1
2026-05-06,FDU,Monmouth,Away,23.5%,76.5%,Monmouth -3.89,4.0,241,171,FDU 0-0
2026-05-06,Eastern Mich.,Youngstown St.,Away,54.5%,45.5%,Eastern Mich. -0.67,3.9,240,270,Eastern Mich. 15-5
2026-05-06,Eastern Ky.,Western Ky.,Away,14.5%,85.5%,Western Ky. -5.99,3.9,260,108,Eastern Ky. 5-3
2026-05-06,Western Ill.,Indiana St.,Home,24.1%,75.9%,Indiana St. -3.92,3.8,277,137,Western Ill. 13-3
2026-05-06,Saint Louis,Lindenwood,Home,28.9%,71.1%,Lindenwood -3.07,3.7,266,190,Lindenwood 10-1
2026-05-06,Morehead St.,Ohio,Away,73.0%,27.0%,Morehead St. -3.72,3.5,156,294,Morehead St. 5-1
2026-05-06,Bradley,Illinois,Away,8.9%,91.1%,Illinois -7.92,3.4,288,93,Illinois 10-2
2026-05-06,Iona,Yale,Away,15.7%,84.3%,Yale -5.81,3.0,290,167,Yale 12-1
2026-05-06,Hofstra,New Haven,Away,80.3%,19.7%,Hofstra -5.03,2.9,179,302,Hofstra 0-0
