Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-17,Georgia Tech,North Carolina,Away,54.4%,45.6%,Georgia Tech -0.48,9.8,3,4,North Carolina 5-2
2026-04-17,Auburn,Florida,Away,49.2%,50.8%,Florida -0.07,9.8,6,7,Auburn 5-3
2026-04-17,Southern California,Nebraska,Home,50.5%,49.5%,Nebraska -0.09,9.6,16,15,Nebraska 8-7
2026-04-17,Ole Miss,Tennessee,Away,50.8%,49.2%,Ole Miss -0.24,9.5,8,31,Ole Miss 7-4
2026-04-17,Georgia,Arkansas,Home,57.9%,42.1%,Georgia -0.95,9.3,9,22,Georgia 5-3
2026-04-17,Alabama,Texas,Away,34.6%,65.4%,Texas -1.92,9.2,14,2,Texas 10-2
2026-04-17,Clemson,Virginia,Away,46.3%,53.7%,Virginia -0.36,9.1,37,32,Clemson 5-1
2026-04-17,NC State,Wake Forest,Away,47.0%,53.0%,Wake Forest -0.36,9.1,38,26,Wake Forest 22-1
2026-04-17,TCU,Baylor,Home,53.2%,46.8%,TCU -0.41,9.0,36,41,Baylor 11-4
2026-04-17,Vanderbilt,Kentucky,Home,43.9%,56.1%,Kentucky -0.85,8.9,50,18,Kentucky 5-2
2026-04-17,Cincinnati,UCF,Away,45.2%,54.8%,UCF -0.61,8.9,43,34,UCF 7-1
2026-04-17,Pittsburgh,Virginia Tech,Away,50.9%,49.1%,Pittsburgh -0.03,8.8,52,55,Virginia Tech 11-6
2026-04-17,Texas A&M,LSU,Home,65.5%,34.5%,Texas A&M -1.98,8.7,5,44,Texas A&M 10-4
2026-04-17,Liberty,DBU,Home,48.9%,51.1%,Liberty -0.13,8.7,23,72,Liberty 17-3
2026-04-17,UAB,South Fla.,Home,37.5%,62.5%,South Fla. -1.37,8.5,45,46,UAB 8-4
2026-04-17,Texas Tech,Utah,Away,52.5%,47.5%,Texas Tech -0.18,8.5,66,54,Utah 10-3
2026-04-17,Louisville,California,Home,52.5%,47.5%,Louisville -0.34,8.4,71,57,California 8-5
2026-04-17,Texas St.,Southern Miss.,Home,32.5%,67.5%,Southern Miss. -2.04,8.4,49,27,Southern Miss. 8-2
2026-04-17,Notre Dame,Florida St.,Home,28.4%,71.6%,Florida St. -2.8,8.3,53,12,Florida St. 11-0
2026-04-17,Duke,Boston College,Home,37.4%,62.6%,Boston College -1.66,8.3,68,29,Boston College 11-1
2026-04-17,Arizona St.,BYU,Away,67.1%,32.9%,Arizona St. -1.96,8.3,25,56,Arizona St. 13-0
2026-04-17,California Baptist,Tarleton St.,Away,63.7%,36.4%,California Baptist -1.68,8.1,35,73,California Baptist 12-1
2026-04-17,Louisiana,Troy,Away,45.8%,54.2%,Troy -0.54,8.1,64,84,Troy 7-6
2026-04-17,Gonzaga,Saint Mary's (CA),Away,42.1%,57.9%,Saint Mary's (CA) -0.66,7.9,62,91,Gonzaga 7-2
2026-04-17,Mississippi St.,South Carolina,Away,76.0%,24.0%,Mississippi St. -3.44,7.9,10,70,Mississippi St. 5-3
2026-04-17,Cal Poly,UC San Diego,Away,58.6%,41.4%,Cal Poly -1.01,7.8,74,87,Cal Poly 11-3
2026-04-17,Western Ky.,Missouri St.,Home,40.1%,59.9%,Missouri St. -1.37,7.7,113,33,Missouri St. 15-10
2026-04-17,Miami (FL),Stanford,Away,73.9%,26.1%,Miami (FL) -3.11,7.7,20,83,Miami (FL) 6-3
2026-04-17,Ohio St.,Purdue,Away,34.8%,65.2%,Purdue -1.94,7.7,93,48,Purdue 10-9
2026-04-17,Louisiana Tech,Kennesaw St.,Home,54.0%,46.0%,Louisiana Tech -0.59,7.7,85,99,Louisiana Tech 6-3
2026-04-17,Houston,West Virginia,Away,21.5%,78.5%,West Virginia -3.78,7.6,81,17,Houston 10-7
2026-04-17,Missouri,Oklahoma,Away,19.2%,80.8%,Oklahoma -4.22,7.6,77,13,Oklahoma 9-6
2026-04-17,UC Santa Barbara,UC Irvine,Home,65.9%,34.1%,UC Santa Barbara -2.14,7.6,28,109,UC Santa Barbara 7-3
2026-04-17,Oregon,Illinois,Home,72.4%,27.6%,Oregon -2.91,7.5,24,98,Oregon 16-6
2026-04-17,Minnesota,UCLA,Away,12.7%,87.3%,UCLA -5.78,7.5,69,1,UCLA 4-2
2026-04-17,Kansas St.,Arizona,Home,60.3%,39.7%,Kansas St. -1.26,7.4,39,129,Kansas St. 2-1
2026-04-17,Charlotte,UTSA,Away,29.8%,70.2%,UTSA -2.57,7.4,105,40,UTSA 11-5
2026-04-17,Cal St. Fullerton,Oregon St.,Away,19.5%,80.5%,Oregon St. -4.21,7.4,90,11,Cal St. Fullerton 2-1
2026-04-17,Wichita St.,East Carolina,Home,28.6%,71.4%,East Carolina -2.74,7.3,101,51,East Carolina 7-1
2026-04-17,Nevada,New Mexico,Away,47.5%,52.5%,New Mexico -0.25,7.3,106,118,Nevada 3-2
2026-04-17,Western Caro.,VMI,Home,58.2%,41.8%,Western Caro. -1.08,7.3,95,110,VMI 10-8
2026-04-17,Marshall,South Alabama,Away,45.2%,54.8%,South Alabama -0.55,7.2,137,82,Marshall 6-2
2026-04-17,Northwestern St.,Lamar University,Home,54.1%,45.9%,Northwestern St. -0.39,7.2,116,115,Lamar University 5-0
2026-04-17,USC Upstate,Winthrop,Away,44.4%,55.6%,Winthrop -0.64,7.2,133,80,Winthrop 3-1
2026-04-17,The Citadel,ETSU,Home,34.9%,65.1%,ETSU -1.64,7.2,100,92,The Citadel 11-8
2026-04-17,High Point,Charleston So.,Home,61.0%,39.0%,High Point -1.5,7.0,63,140,High Point 14-11
2026-04-17,UC Davis,CSUN,Home,47.0%,53.0%,CSUN -0.13,7.0,117,132,UC Davis 11-3
2026-04-17,Washington St.,UNLV,Home,35.6%,64.4%,UNLV -1.46,6.9,88,127,Washington St. 13-2
2026-04-17,Northwestern,Michigan,Home,25.6%,74.4%,Michigan -3.17,6.8,124,47,Michigan 7-6
2026-04-17,Abilene Christian,Indiana,Away,38.3%,61.7%,Indiana -1.38,6.8,138,89,Indiana 13-3
2026-04-17,Southeastern La.,UTRGV,Away,53.5%,46.5%,Southeastern La. -0.5,6.8,104,154,UTRGV 8-6
2026-04-17,Indiana St.,Wright St.,Away,44.7%,55.3%,Wright St. -0.65,6.7,146,123,Indiana St. 8-7
2026-04-17,Tulane,Fla. Atlantic,Home,43.5%,56.5%,Fla. Atlantic -0.55,6.7,128,135,Fla. Atlantic 11-3
2026-04-17,App State,James Madison,Away,54.4%,45.6%,App State -0.65,6.6,122,156,App State 10-0
2026-04-17,Arkansas St.,ULM,Away,69.0%,31.0%,Arkansas St. -2.41,6.6,59,152,Arkansas St. 3-2
2026-04-17,St. John's (NY),UConn,Away,35.1%,64.9%,UConn -1.61,6.5,136,111,St. John's (NY) 4-0
2026-04-17,Eastern Ill.,Little Rock,Away,41.0%,59.0%,Little Rock -0.86,6.5,131,141,Little Rock 7-6
2026-04-17,Georgia St.,Coastal Carolina,Home,13.2%,86.8%,Coastal Carolina -5.5,6.4,139,19,Coastal Carolina 15-7
2026-04-17,Sacramento St.,UT Arlington,Away,48.9%,51.1%,UT Arlington -0.08,6.2,166,160,Sacramento St. 2-1
2026-04-17,Nicholls,SFA,Away,56.7%,43.3%,Nicholls -0.79,6.2,145,161,Nicholls 9-4
2026-04-17,George Mason,Saint Joseph's,Away,40.0%,60.0%,Saint Joseph's -1.25,6.1,185,103,George Mason 9-6
2026-04-17,Michigan St.,Washington,Away,38.0%,62.0%,Washington -1.23,6.1,142,159,Michigan St. 6-4
2026-04-17,Bryant,Binghamton,Home,55.1%,44.9%,Bryant -0.37,6.1,176,144,Binghamton 4-2
2026-04-17,Sam Houston,New Mexico St.,Home,49.5%,50.5%,New Mexico St. -0.17,6.1,170,172,Sam Houston 8-7
2026-04-17,Ball St.,Kent St.,Away,27.2%,72.8%,Kent St. -2.94,6.0,180,58,Ball St. 11-3
2026-04-17,Memphis,Rice,Away,32.2%,67.8%,Rice -2.32,6.0,192,60,Memphis 4-1
2026-04-17,San Francisco,Portland,Home,28.5%,71.5%,Portland -2.69,5.9,178,76,Portland 5-3
2026-04-17,Stetson,North Florida,Home,41.4%,58.6%,North Florida -1.14,5.9,186,130,North Florida 3-1
2026-04-17,Air Force,Grand Canyon,Away,50.8%,49.2%,Air Force -0.2,5.9,149,198,Grand Canyon 8-1
2026-04-17,Samford,UNC Greensboro,Away,61.3%,38.7%,Samford -1.56,5.7,125,195,Samford 11-5
2026-04-17,Ga. Southern,Old Dominion,Away,43.6%,56.4%,Old Dominion -0.8,5.7,196,151,Old Dominion 8-3
2026-04-17,FIU,Jacksonville St.,Away,20.0%,80.0%,Jacksonville St. -4.2,5.6,205,30,Jacksonville St. 4-2
2026-04-17,Dayton,Richmond,Away,42.7%,57.3%,Richmond -0.76,5.5,182,187,Dayton 10-2
2026-04-17,Hawaii,CSU Bakersfield,Home,70.3%,29.7%,Hawaii -2.56,5.5,112,194,CSU Bakersfield 2-0
2026-04-17,Miami (OH),Toledo,Away,68.6%,31.4%,Miami (OH) -2.52,5.4,78,219,Miami (OH) 7-2
2026-04-17,Monmouth,Stony Brook,Away,55.3%,44.7%,Monmouth -0.74,5.3,158,222,Monmouth 8-4
2026-04-17,Utah Tech,Utah Valley,Away,57.3%,42.7%,Utah Tech -1.12,5.2,126,237,Utah Tech 7-4
2026-04-17,Lindenwood,Morehead St.,Away,58.4%,41.6%,Lindenwood -1.01,5.2,193,200,Lindenwood 5-4
2026-04-17,Lipscomb,North Ala.,Away,43.0%,57.0%,North Ala. -0.83,5.2,202,188,Lipscomb 6-4
2026-04-17,Rutgers,Penn St.,Home,66.9%,33.1%,Rutgers -2.13,5.1,120,225,Rutgers 13-11
2026-04-17,New Orleans,Houston Christian,Home,40.1%,59.9%,Houston Christian -1.19,5.1,218,163,Houston Christian 15-1
2026-04-17,Bucknell,Army West Point,Home,33.4%,66.6%,Army West Point -1.85,5.1,197,173,Army West Point 14-3
2026-04-17,McNeese,A&M-Corpus Christi,Home,66.7%,33.3%,McNeese -2.07,5.1,143,208,McNeese 9-4
2026-04-17,Gardner-Webb,Radford,Away,39.9%,60.1%,Radford -1.4,5.1,213,175,Radford 8-4
2026-04-17,Elon,Campbell,Home,18.5%,81.5%,Campbell -4.37,5.0,220,61,Elon 10-6
2026-04-17,Evansville,Belmont,Home,46.9%,53.1%,Belmont -0.19,5.0,174,241,Evansville 11-2
2026-04-17,San Jose St.,Fresno St.,Home,58.2%,41.8%,San Jose St. -1.12,5.0,167,230,San Jose St. 6-3
2026-04-17,Col. of Charleston,William & Mary,Away,68.8%,31.2%,Col. of Charleston -2.45,5.0,150,210,Col. of Charleston 16-10
2026-04-17,Penn,Princeton,Away,55.5%,44.5%,Penn -0.73,4.9,199,224,Princeton 8-6
2026-04-17,Oral Roberts,South Dakota St.,Away,76.0%,24.0%,Oral Roberts -3.5,4.9,96,223,Oral Roberts 8-4
2026-04-17,Pepperdine,LMU (CA),Home,50.3%,49.7%,Pepperdine -0.09,4.8,226,232,Pepperdine 14-3
2026-04-17,UT Martin,Southern Ind.,Home,38.7%,61.3%,Southern Ind. -1.2,4.8,216,201,UT Martin 10-1
2026-04-17,Navy,Holy Cross,Home,59.9%,40.1%,Navy -1.16,4.7,171,244,Navy 10-4
2026-04-17,Davidson,Saint Louis,Away,48.1%,51.9%,Davidson -0.15,4.7,181,259,Davidson 9-5
2026-04-17,Georgetown,Butler,Home,54.1%,45.9%,Georgetown -0.54,4.7,190,246,Georgetown 12-11
2026-04-17,Navy,Holy Cross,Home,59.9%,40.1%,Navy -1.16,4.7,171,244,Navy 3-2
2026-04-17,Xavier,Seton Hall,Home,71.9%,28.1%,Xavier -2.82,4.7,119,239,Xavier 10-1
2026-04-17,Marist,Niagara,Away,47.2%,52.8%,Niagara -0.3,4.6,242,221,Niagara 10-6
2026-04-17,Hofstra,UNCW,Away,17.0%,83.0%,UNCW -4.46,4.6,214,121,Hofstra 10-1
2026-04-17,Southeast Mo. St.,Tennessee Tech,Away,80.8%,19.2%,Southeast Mo. St. -4.29,4.6,65,248,Southeast Mo. St. 13-11
2026-04-17,Santa Clara,Pacific,Home,65.1%,34.9%,Santa Clara -1.78,4.5,183,233,Pacific 3-1
2026-04-17,NIU,Akron,Home,73.4%,26.6%,NIU -3.12,4.4,107,260,NIU 10-8
2026-04-17,Towson,Mercer,Home,15.8%,84.2%,Mercer -4.88,4.4,250,67,Mercer 9-1
2026-04-17,FGCU,Queens (NC),Away,75.8%,24.2%,FGCU -3.39,4.4,102,254,Queens (NC) 6-5
2026-04-17,Texas Southern,Ark.-Pine Bluff,Home,42.1%,57.9%,Ark.-Pine Bluff -0.86,4.4,229,235,Ark.-Pine Bluff 6-4
2026-04-17,FDU,Le Moyne,Away,50.8%,49.2%,FDU -0.19,4.3,211,269,Le Moyne 4-3
2026-04-17,Bellarmine,Austin Peay,Home,27.5%,72.5%,Austin Peay -2.73,4.3,238,165,Austin Peay 16-6
2026-04-17,Bellarmine,Austin Peay,Home,27.5%,72.5%,Austin Peay -2.73,4.3,238,165,Austin Peay 5-2
2026-04-17,UMass Lowell,UMBC,Home,42.5%,57.5%,UMBC -0.96,4.3,252,209,UMBC 13-0
2026-04-17,Wofford,UNC Asheville,Home,83.2%,16.8%,Wofford -4.77,4.3,79,253,Wofford 16-1
2026-04-17,Seattle U,San Diego,Home,33.1%,66.9%,San Diego -1.92,4.3,243,177,Seattle U 7-4
2026-04-17,George Washington,VCU,Away,25.3%,74.7%,VCU -3.19,4.2,267,114,George Washington 4-3
2026-04-17,Creighton,Villanova,Away,80.9%,19.1%,Creighton -4.35,4.2,86,263,Creighton 9-4
2026-04-17,Omaha,North Dakota St.,Home,59.4%,40.6%,Omaha -1.29,4.1,189,275,
2026-04-17,West Ga.,Jacksonville,Home,26.3%,73.7%,Jacksonville -3.08,4.0,264,148,Jacksonville 13-7
2026-04-17,Fordham,La Salle,Away,63.7%,36.3%,Fordham -1.63,4.0,234,245,Fordham 9-7
2026-04-17,Delaware,Middle Tenn.,Away,28.6%,71.4%,Middle Tenn. -2.7,4.0,262,168,Middle Tenn. 8-7
2026-04-17,Western Mich.,Eastern Mich.,Home,67.5%,32.5%,Western Mich. -2.19,3.9,179,268,Eastern Mich. 4-3
2026-04-17,Merrimack,Sacred Heart,Away,49.1%,50.9%,Sacred Heart -0.3,3.9,270,258,Sacred Heart 6-1
2026-04-17,Merrimack,Sacred Heart,Away,49.1%,50.9%,Sacred Heart -0.3,3.9,270,258,Sacred Heart 3-2
2026-04-17,Mount St. Mary's,Fairfield,Home,28.4%,71.6%,Fairfield -2.71,3.9,247,206,Fairfield 2-1
2026-04-17,Eastern Ky.,Central Ark.,Home,28.7%,71.3%,Central Ark. -2.79,3.7,283,162,Central Ark. 12-2
2026-04-17,UC Riverside,Long Beach St.,Home,30.9%,69.1%,Long Beach St. -2.21,3.7,256,217,UC Riverside 5-3
2026-04-17,Maine,NJIT,Away,58.4%,41.6%,Maine -1.06,3.7,236,279,Maine 5-3
2026-04-17,Presbyterian,Longwood,Home,29.3%,70.7%,Longwood -2.49,3.6,278,184,Presbyterian 3-2
2026-04-17,Northeastern,N.C. A&T,Home,79.4%,20.6%,Northeastern -4.04,3.5,147,280,Northeastern 15-0
