Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-05-13,California Baptist,UC Davis,Away,60.4%,39.6%,California Baptist -1.59,7.5,52,113,California Baptist 6-3
2026-05-13,CSUN,Hawaii,Away,33.4%,66.6%,Hawaii -2.37,6.4,142,108,Hawaii 4-0
2026-05-13,Omaha,South Dakota St.,Away,45.0%,55.0%,South Dakota St. -0.57,5.2,186,209,South Dakota St. 5-0
2026-05-13,Mount St. Mary's,Niagara,Away,44.1%,55.9%,Niagara -0.98,3.8,282,233,Mount St. Mary's 15-4
2026-05-13,Siena,Canisius,Home,37.5%,62.5%,Canisius -1.75,3.2,281,275,Canisius 15-2
