Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-05-24,North Carolina,Georgia Tech,Neutral,38.1%,61.9%,Georgia Tech -1.71,9.4,6,2,Georgia Tech 13-6
2026-05-24,Arkansas,Georgia,Neutral,38.0%,62.0%,Georgia -1.78,9.3,16,4,Georgia 11-1
2026-05-24,Liberty,Jacksonville St.,Neutral,45.1%,54.9%,Jacksonville St. -0.81,9.1,34,26,Jacksonville St. 10-0
2026-05-24,Oregon,UCLA,Neutral,30.5%,69.5%,UCLA -2.96,9.0,19,1,UCLA 3-2
2026-05-24,East Carolina,UTSA,Neutral,48.6%,51.4%,UTSA -0.07,8.9,49,48,East Carolina 1-0
2026-05-24,Missouri St.,Liberty,Neutral,41.8%,58.2%,Liberty -1.13,8.9,36,34,Liberty 7-5
2026-05-24,Louisiana,Southern Miss.,Neutral,32.9%,67.1%,Southern Miss. -2.42,8.6,41,21,Southern Miss. 11-7
2026-05-24,Troy,Southern Miss.,Neutral,34.5%,65.5%,Southern Miss. -2.27,8.3,64,21,Southern Miss. 6-2
2026-05-24,Washington St.,San Diego St.,Neutral,43.4%,56.6%,San Diego St. -0.88,8.0,81,75,San Diego St. 9-2
2026-05-24,Washington St.,San Diego St.,Neutral,43.4%,56.6%,San Diego St. -0.88,8.0,81,75,Washington St. 14-4
2026-05-24,UC San Diego,Cal Poly,Neutral,40.0%,60.0%,Cal Poly -1.5,7.9,85,60,Cal Poly 4-3
2026-05-24,Campbell,Northeastern,Neutral,53.6%,46.4%,Campbell -0.51,7.8,57,110,Northeastern 3-2
2026-05-24,Creighton,St. John's (NY),Neutral,55.5%,44.5%,Creighton -0.55,7.3,96,115,St. John's (NY) 5-3
2026-05-24,Little Rock,Eastern Ill.,Neutral,56.4%,43.6%,Little Rock -0.91,6.6,136,141,Little Rock 10-6
2026-05-24,Longwood,USC Upstate,Neutral,38.5%,61.5%,USC Upstate -1.68,6.4,156,109,Longwood 4-1
2026-05-24,Longwood,USC Upstate,Neutral,38.5%,61.5%,USC Upstate -1.68,6.4,156,109,USC Upstate 8-1
2026-05-24,Rhode Island,VCU,Neutral,36.9%,63.1%,VCU -1.93,5.3,214,127,VCU 9-1
2026-05-24,Southern Ill.,UIC,Neutral,47.5%,52.5%,UIC -0.43,5.2,215,188,UIC 7-2
2026-05-24,Alabama St.,Florida A&M,Neutral,51.7%,48.3%,Alabama St. -0.31,4.9,206,231,Alabama St. 8-6
2026-05-24,FDU,LIU,Neutral,35.7%,64.3%,LIU -2.0,3.8,251,248,LIU 22-8
