Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-18,Louisiana,Houston,Home,59.5%,40.5%,Louisiana -1.19,8.4,19,75,Louisiana 6-3
2026-03-18,Virginia,Liberty,Home,68.6%,31.4%,Virginia -2.39,8.3,15,56,Virginia 14-12
2026-03-18,Missouri,Kansas,Home,41.5%,58.5%,Kansas -1.06,8.2,66,62,Kansas 10-0
2026-03-18,Nebraska,Wichita St.,Away,66.7%,33.3%,Nebraska -2.24,7.9,20,91,Nebraska 10-1
2026-03-18,USC Upstate,Charlotte,Home,37.0%,63.0%,Charlotte -1.5,7.6,92,68,USC Upstate 11-10
2026-03-18,Coastal Carolina,Campbell,Home,72.0%,28.0%,Coastal Carolina -2.93,7.4,39,94,Campbell 4-3
2026-03-18,VCU,Virginia Tech,Away,25.7%,74.3%,Virginia Tech -3.15,7.3,98,44,Virginia Tech 11-8
2026-03-18,UConn,Santa Clara,Home,57.9%,42.1%,UConn -1.05,7.1,103,121,UConn 12-5
2026-03-18,Marshall,Kentucky,Home,15.8%,84.2%,Kentucky -4.82,6.8,122,12,
2026-03-18,Clemson,The Citadel,Away,83.3%,16.7%,Clemson -4.68,6.8,29,115,Clemson 9-3
2026-03-18,Michigan St.,Michigan,Home,31.4%,68.6%,Michigan -2.41,6.8,144,48,Michigan 2-0
2026-03-18,Ohio St.,Xavier,Away,44.3%,55.7%,Xavier -0.75,6.6,141,142,Ohio St. 8-4
2026-03-18,Lamar University,Sam Houston,Away,57.0%,43.0%,Lamar University -1.0,6.5,125,150,
2026-03-18,Oral Roberts,Little Rock,Home,58.3%,41.7%,Oral Roberts -0.99,6.4,114,160,Oral Roberts 11-1
2026-03-18,Northwestern St.,Tulane,Away,44.9%,55.1%,Tulane -0.51,6.4,146,152,Tulane 2-0
2026-03-18,Illinois,Indiana St.,Away,60.2%,39.8%,Illinois -1.47,6.2,73,189,Indiana St. 4-3
2026-03-18,UNC Greensboro,North Carolina,Home,9.9%,90.1%,North Carolina -6.46,6.2,151,6,North Carolina 8-2
2026-03-18,Gardner-Webb,Western Caro.,Away,29.7%,70.3%,Western Caro. -2.63,6.2,155,93,Western Caro. 8-4
2026-03-18,Dayton,Miami (OH),Away,29.3%,70.7%,Miami (OH) -2.64,6.0,165,95,Miami (OH) 13-7
2026-03-18,CSU Bakersfield,Southern California,Away,7.0%,93.0%,Southern California -7.45,5.5,192,3,Southern California 4-3
2026-03-18,Southeast Mo. St.,Evansville,Home,71.7%,28.3%,Southeast Mo. St. -2.96,5.5,64,214,Southeast Mo. St. 9-1
2026-03-18,UIW,Abilene Christian,Home,31.5%,68.5%,Abilene Christian -2.25,5.5,170,158,UIW 9-8
2026-03-18,Omaha,Creighton,Home,26.7%,73.3%,Creighton -3.16,5.4,188,112,Creighton 8-2
2026-03-18,Northern Ky.,Louisville,Home,10.6%,89.4%,Louisville -6.22,5.4,184,49,Louisville 16-1
2026-03-18,Saint Joseph's,Delaware,Home,42.8%,57.2%,Delaware -0.79,5.3,207,177,Delaware 18-0
2026-03-18,SIUE,Illinois St.,Home,30.1%,69.9%,Illinois St. -2.44,5.1,225,107,Illinois St. 6-5
2026-03-18,UMass Lowell,Boston College,Home,12.4%,87.6%,Boston College -5.71,4.9,217,51,Boston College 12-2
2026-03-18,Western Ky.,Belmont,Home,72.8%,27.2%,Western Ky. -3.07,4.9,81,239,Western Ky. 7-2
2026-03-18,Miami (FL),FIU,Home,85.4%,14.6%,Miami (FL) -5.21,4.9,38,234,Miami (FL) 10-3
2026-03-18,New Orleans,ULM,Away,36.9%,63.1%,ULM -1.52,4.6,243,164,ULM 17-12
2026-03-18,Iowa,UIC,Away,80.1%,19.9%,Iowa -4.15,4.3,77,267,
2026-03-18,South Dakota St.,Oklahoma St.,Home,8.0%,92.0%,Oklahoma St. -7.04,4.3,246,58,Oklahoma St. 12-11
2026-03-18,Hofstra,Fairfield,Home,37.4%,62.6%,Fairfield -1.57,4.3,220,231,Hofstra 5-3
2026-03-18,George Washington,James Madison,Away,21.4%,78.6%,James Madison -3.71,4.2,254,119,James Madison 12-7
2026-03-18,Yale,Quinnipiac,Neutral,58.6%,41.4%,Yale -1.15,4.2,216,255,Quinnipiac 15-9
2026-03-18,Youngstown St.,Pittsburgh,Home,5.0%,95.0%,Pittsburgh -8.38,4.1,252,50,
2026-03-18,Northeastern,Brown,Home,82.9%,17.1%,Northeastern -4.69,4.1,120,250,Northeastern 7-3
2026-03-18,Southern Ind.,Bellarmine,Home,72.0%,28.0%,Southern Ind. -2.75,4.1,147,264,Bellarmine 3-2
2026-03-18,Eastern Ill.,Ark.-Pine Bluff,Home,78.0%,22.0%,Eastern Ill. -3.64,4.0,171,241,Eastern Ill. 13-3
2026-03-18,Northern Colo.,Arkansas,Home,3.5%,96.5%,Arkansas -9.47,3.9,280,24,Arkansas 9-4
2026-03-18,Marist,Fordham,Home,25.7%,74.3%,Fordham -3.0,3.9,253,174,Fordham 10-5
2026-03-18,UT Martin,Southern Ill.,Home,25.9%,74.1%,Southern Ill. -3.03,3.8,235,221,UT Martin 7-6
2026-03-18,Mount St. Mary's,George Mason,Home,16.8%,83.2%,George Mason -4.44,3.8,232,183,Mount St. Mary's 9-8
2026-03-18,Eastern Mich.,Oakland,Away,47.1%,52.9%,Oakland -0.25,3.8,276,249,
2026-03-18,Maine,Navy,Away,28.1%,71.9%,Navy -2.86,3.8,279,153,Navy 9-8
2026-03-18,Dartmouth,Bryant,Home,15.5%,84.5%,Bryant -5.0,3.7,270,124,Bryant 10-6
2026-03-18,Queens (NC),Radford,Away,29.3%,70.7%,Radford -2.71,3.7,260,205,
2026-03-18,La Salle,Lafayette,Away,43.5%,56.5%,Lafayette -0.43,3.7,212,293,La Salle 5-3
2026-03-18,Jacksonville St.,Alabama A&M,Home,98.5%,1.5%,Jacksonville St. -11.65,3.5,36,292,Jacksonville St. 12-7
2026-03-18,Lehigh,Penn,Away,19.5%,80.5%,Penn -3.97,3.2,273,200,Penn 15-2
2026-03-18,UAlbany,Army West Point,Home,25.1%,74.9%,Army West Point -3.15,3.2,286,206,Army West Point 12-2
2026-03-18,Butler,Ball St.,Home,15.3%,84.7%,Ball St. -4.95,3.2,281,162,Butler 14-10
2026-03-18,Ohio,Morehead St.,Home,27.2%,72.8%,Morehead St. -2.85,3.0,299,218,
2026-03-18,Prairie View,McNeese,Home,5.7%,94.3%,McNeese -7.97,2.8,297,135,McNeese 16-1
2026-03-18,Prairie View,McNeese,Home,5.7%,94.3%,McNeese -7.97,2.8,297,135,McNeese 16-1
2026-03-18,Norfolk St.,Old Dominion,Away,2.3%,97.7%,Old Dominion -10.39,2.5,304,145,Old Dominion 16-4
2026-03-18,Stonehill,Rhode Island,Home,18.8%,81.2%,Rhode Island -4.26,2.4,291,259,Rhode Island 8-6
2026-03-18,Saint Peter's,FDU,Home,12.6%,87.4%,FDU -5.48,2.3,307,213,FDU 13-3
2026-03-18,UMBC,Delaware St.,Home,96.5%,3.5%,UMBC -9.22,1.9,210,308,
2026-03-18,UMES,Towson,Home,7.3%,92.7%,Towson -6.98,1.7,306,263,Towson 8-3
