Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-12,Georgia Tech,Clemson,Home,61.9%,38.1%,Georgia Tech -1.57,8.9,12,37,Georgia Tech 10-0
2026-03-12,Cincinnati,BYU,Home,67.6%,32.4%,Cincinnati -2.29,7.2,26,131,BYU 5-2
2026-03-12,Morehead St.,Western Caro.,Away,21.9%,78.1%,Western Caro. -3.76,5.4,186,91,Morehead St. 8-5
2026-03-12,UMass Lowell,Pepperdine,Home,56.3%,43.7%,UMass Lowell -0.85,4.2,219,255,UMass Lowell 7-6
2026-03-12,Butler,Wichita St.,Away,11.3%,88.7%,Wichita St. -5.94,3.5,286,94,Wichita St. 27-3
2026-03-12,Western Ill.,Illinois St.,Home,17.2%,82.8%,Illinois St. -4.6,3.3,289,144,Illinois St. 7-6
