Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-19,Georgia Tech,North Carolina,Away,50.9%,49.1%,Georgia Tech -0.11,9.9,2,5,Georgia Tech 5-2
2026-04-19,Southern California,Nebraska,Home,44.5%,55.5%,Nebraska -0.84,9.5,17,9,Nebraska 16-6
2026-04-19,Ole Miss,Tennessee,Away,51.4%,48.6%,Ole Miss -0.27,9.5,10,27,Tennessee 13-5
2026-04-19,Vanderbilt,Kentucky,Home,49.7%,50.3%,Kentucky -0.05,9.3,37,25,Vanderbilt 13-6
2026-04-19,NC State,Wake Forest,Away,49.2%,50.8%,Wake Forest -0.11,9.3,35,23,NC State 6-5
2026-04-19,Alabama,Texas,Away,36.6%,63.4%,Texas -1.64,9.2,15,3,Alabama 2-1
2026-04-19,Kansas,Oklahoma St.,Away,54.7%,45.3%,Kansas -0.81,9.1,18,41,Kansas 9-6
2026-04-19,Cincinnati,UCF,Away,53.2%,46.8%,Cincinnati -0.39,9.0,36,39,Cincinnati 11-9
2026-04-19,TCU,Baylor,Home,54.6%,45.4%,TCU -0.7,8.9,33,48,TCU 10-2
2026-04-19,TCU,Baylor,Home,54.6%,45.4%,TCU -0.7,8.9,33,48,TCU 5-4
2026-04-19,Pittsburgh,Virginia Tech,Away,52.0%,48.0%,Pittsburgh -0.16,8.7,52,57,Virginia Tech 6-5
2026-04-19,Liberty,DBU,Home,48.1%,51.9%,Liberty -0.01,8.7,31,68,Liberty 9-8
2026-04-19,Texas A&M,LSU,Home,69.6%,30.4%,Texas A&M -2.56,8.6,4,44,Texas A&M 5-2
2026-04-19,California Baptist,Tarleton St.,Away,59.4%,40.6%,California Baptist -1.02,8.4,43,63,Tarleton St. 7-6
2026-04-19,Louisville,California,Home,54.0%,46.0%,Louisville -0.49,8.4,69,56,Louisville 8-5
2026-04-19,Texas St.,Southern Miss.,Home,29.5%,70.5%,Southern Miss. -2.54,8.3,51,20,Southern Miss. 5-4
2026-04-19,Texas Tech,Utah,Away,55.8%,44.2%,Texas Tech -0.39,8.3,77,50,Utah 6-3
2026-04-19,UAB,South Fla.,Home,34.1%,65.9%,South Fla. -1.76,8.3,47,49,South Fla. 1-0
2026-04-19,Notre Dame,Florida St.,Home,23.2%,76.8%,Florida St. -3.58,8.0,58,13,Florida St. 6-4
2026-04-19,Miami (FL),Stanford,Away,68.5%,31.5%,Miami (FL) -2.36,8.0,19,78,Stanford 14-6
2026-04-19,Louisiana,Troy,Away,43.5%,56.5%,Troy -0.77,7.9,64,89,Troy 15-11
2026-04-19,Gonzaga,Saint Mary's (CA),Away,48.9%,51.1%,Gonzaga -0.17,7.9,54,109,Gonzaga 6-5
2026-04-19,Mississippi St.,South Carolina,Away,79.2%,20.8%,Mississippi St. -3.97,7.7,8,74,Mississippi St. 4-3
2026-04-19,Cal Poly,UC San Diego,Away,60.6%,39.4%,Cal Poly -1.19,7.7,80,88,UC San Diego 16-15
2026-04-19,UC Santa Barbara,UC Irvine,Home,64.4%,35.6%,UC Santa Barbara -1.9,7.7,32,99,UC Santa Barbara 8-4
2026-04-19,Oregon,Illinois,Home,72.2%,27.9%,Oregon -2.82,7.6,26,93,Oregon 11-5
2026-04-19,Western Ky.,Missouri St.,Home,37.3%,62.7%,Missouri St. -1.62,7.6,115,34,Western Ky. 10-5
2026-04-19,Kansas St.,Arizona,Home,59.6%,40.4%,Kansas St. -1.15,7.6,40,119,Arizona 11-7
2026-04-19,Minnesota,UCLA,Away,11.5%,88.5%,UCLA -6.07,7.5,67,1,UCLA 5-2
2026-04-19,Louisiana Tech,Kennesaw St.,Home,56.4%,43.6%,Louisiana Tech -0.82,7.5,90,102,Louisiana Tech 4-3
2026-04-19,Missouri,Oklahoma,Away,17.8%,82.2%,Oklahoma -4.51,7.4,82,12,Oklahoma 8-4
2026-04-19,Ohio St.,Purdue,Away,31.6%,68.4%,Purdue -2.4,7.4,105,45,Purdue 6-2
2026-04-19,Houston,West Virginia,Away,20.4%,79.6%,West Virginia -4.02,7.4,91,16,West Virginia 7-3
2026-04-19,Wichita St.,East Carolina,Home,30.0%,70.0%,East Carolina -2.51,7.4,98,53,Wichita St. 13-1
2026-04-19,Charlotte,UTSA,Away,31.5%,68.5%,UTSA -2.3,7.4,103,46,Charlotte 7-5
2026-04-19,Maryland,Iowa,Home,36.9%,63.1%,Iowa -1.47,7.4,100,73,Maryland 16-5
2026-04-19,Cal St. Fullerton,Oregon St.,Away,19.0%,81.0%,Oregon St. -4.34,7.3,96,11,Oregon St. 10-2
2026-04-19,Northwestern St.,Lamar University,Home,45.7%,54.3%,Lamar University -0.64,7.2,126,101,Lamar University 4-3
2026-04-19,Northwestern St.,Lamar University,Home,45.7%,54.3%,Lamar University -0.64,7.2,126,101,Lamar University 3-1
2026-04-19,Western Caro.,VMI,Home,58.6%,41.4%,Western Caro. -1.24,7.2,85,120,Western Caro. 4-3
2026-04-19,Nevada,New Mexico,Away,43.3%,56.7%,New Mexico -0.7,7.2,104,118,New Mexico 9-7
2026-04-19,USC Upstate,Winthrop,Away,40.1%,59.9%,Winthrop -1.24,6.9,145,70,Winthrop 6-5
2026-04-19,Washington St.,UNLV,Home,37.7%,62.3%,UNLV -1.24,6.9,97,125,Washington St. 9-8
2026-04-19,The Citadel,ETSU,Home,32.7%,67.3%,ETSU -2.05,6.9,116,84,ETSU 12-1
2026-04-19,Indiana St.,Wright St.,Away,45.1%,54.9%,Wright St. -0.43,6.8,130,136,Indiana St. 11-8
2026-04-19,UC Davis,CSUN,Home,44.2%,55.8%,CSUN -0.62,6.8,134,122,CSUN 5-3
2026-04-19,Abilene Christian,Indiana,Away,39.0%,61.0%,Indiana -1.29,6.8,138,95,Indiana 5-4
2026-04-19,High Point,Charleston So.,Home,68.2%,31.8%,High Point -2.27,6.7,60,141,Charleston So. 4-3
2026-04-19,Northwestern,Michigan,Home,23.2%,76.8%,Michigan -3.58,6.7,132,42,Michigan 2-1
2026-04-19,Marshall,South Alabama,Away,37.3%,62.7%,South Alabama -1.55,6.7,152,75,South Alabama 4-1
2026-04-19,Tulane,Fla. Atlantic,Home,43.3%,56.7%,Fla. Atlantic -0.58,6.6,124,144,Tulane 12-4
2026-04-19,Arkansas St.,ULM,Away,68.5%,31.4%,Arkansas St. -2.32,6.6,62,151,Arkansas St. 4-1
2026-04-19,Memphis,Rice,Away,37.7%,62.3%,Rice -1.49,6.4,174,71,Memphis 6-5
2026-04-19,Eastern Ill.,Little Rock,Away,39.8%,60.2%,Little Rock -1.16,6.4,148,129,Little Rock 11-1
2026-04-19,Memphis,Rice,Away,37.7%,62.3%,Rice -1.49,6.4,174,71,Memphis 10-6
2026-04-19,Illinois St.,Murray St.,Away,43.3%,56.7%,Murray St. -0.91,6.3,153,146,Murray St. 6-5
2026-04-19,Georgia St.,Coastal Carolina,Home,12.5%,87.5%,Coastal Carolina -5.61,6.2,139,29,Georgia St. 11-5
2026-04-19,San Francisco,Portland,Home,32.4%,67.6%,Portland -2.17,6.2,170,79,Portland 11-0
2026-04-19,Ball St.,Kent St.,Away,31.5%,68.5%,Kent St. -2.47,6.1,185,55,Kent St. 8-5
2026-04-19,Nicholls,SFA,Away,57.6%,42.4%,Nicholls -1.03,6.1,133,175,Nicholls 5-0
2026-04-19,Michigan St.,Washington,Away,39.5%,60.5%,Washington -1.07,6.1,143,159,Washington 8-5
2026-04-19,Stetson,North Florida,Home,41.1%,58.9%,North Florida -1.12,6.0,182,127,Stetson 7-3
2026-04-19,App State,James Madison,Away,64.0%,36.0%,App State -1.81,6.0,111,172,App State 14-10
2026-04-19,Sam Houston,New Mexico St.,Home,49.7%,50.3%,Sam Houston -0.03,5.9,162,190,Sam Houston 12-10
2026-04-19,Sacramento St.,UT Arlington,Away,58.7%,41.3%,Sacramento St. -0.93,5.9,166,164,UT Arlington 8-6
2026-04-19,Air Force,Grand Canyon,Away,49.6%,50.4%,Air Force -0.05,5.9,149,195,Grand Canyon 16-12
2026-04-19,Ga. Southern,Old Dominion,Away,46.3%,53.7%,Old Dominion -0.65,5.7,207,142,Old Dominion 6-3
2026-04-19,Miami (OH),Toledo,Away,65.1%,34.9%,Miami (OH) -2.03,5.6,83,216,Toledo 20-4
2026-04-19,Lipscomb,North Ala.,Away,47.4%,52.6%,North Ala. -0.34,5.6,194,183,Lipscomb 6-0
2026-04-19,Samford,UNC Greensboro,Away,66.5%,33.5%,Samford -2.22,5.5,112,203,Samford 14-1
2026-04-19,McNeese,A&M-Corpus Christi,Home,62.7%,37.3%,McNeese -1.41,5.4,158,193,A&M-Corpus Christi 9-5
2026-04-19,Hawaii,CSU Bakersfield,Home,71.6%,28.4%,Hawaii -2.81,5.4,94,202,Hawaii 14-5
2026-04-19,FIU,Jacksonville St.,Away,14.8%,85.2%,Jacksonville St. -5.18,5.3,211,24,Jacksonville St. 7-2
2026-04-19,Elon,Campbell,Home,23.7%,76.3%,Campbell -3.48,5.3,215,65,Elon 10-5
2026-04-19,Utah Tech,Utah Valley,Away,55.9%,44.1%,Utah Tech -1.05,5.3,110,245,Utah Tech 13-10
2026-04-19,Dayton,Richmond,Away,37.1%,62.9%,Richmond -1.52,5.3,196,168,Richmond 11-9
2026-04-19,Rutgers,Penn St.,Home,64.7%,35.3%,Rutgers -1.82,5.2,121,222,Penn St. 14-13
2026-04-19,New Orleans,Houston Christian,Home,43.5%,56.5%,Houston Christian -0.8,5.2,219,167,New Orleans 11-7
2026-04-19,Evansville,Belmont,Home,49.6%,50.4%,Evansville -0.08,5.1,177,235,Evansville 6-1
2026-04-19,Gardner-Webb,Radford,Away,37.6%,62.4%,Radford -1.6,5.0,208,180,Radford 3-0
2026-04-19,Col. of Charleston,William & Mary,Away,69.5%,30.5%,Col. of Charleston -2.48,5.0,150,206,Col. of Charleston 4-0
2026-04-19,Columbia,Brown,Home,51.3%,48.7%,Columbia -0.09,5.0,230,191,Columbia 0-0
2026-04-19,Bucknell,Army West Point,Home,30.8%,69.2%,Army West Point -2.21,4.9,200,171,Bucknell 8-0
2026-04-19,Santa Clara,Pacific,Home,57.0%,43.0%,Santa Clara -0.71,4.9,199,221,Pacific 7-1
2026-04-19,Oral Roberts,South Dakota St.,Away,78.7%,21.3%,Oral Roberts -3.95,4.8,86,232,Oral Roberts 10-2
2026-04-19,Lindenwood,Morehead St.,Away,65.4%,34.6%,Lindenwood -1.92,4.8,176,214,Lindenwood 18-13
2026-04-19,Southeast Mo. St.,Tennessee Tech,Away,78.1%,21.9%,Southeast Mo. St. -3.79,4.8,66,240,Southeast Mo. St. 9-7
2026-04-19,Hofstra,UNCW,Away,17.3%,82.7%,UNCW -4.34,4.7,205,123,Hofstra 6-5
2026-04-19,Pepperdine,LMU (CA),Home,47.7%,52.3%,LMU (CA) -0.19,4.6,224,236,LMU (CA) 13-6
2026-04-19,UT Martin,Southern Ind.,Home,34.0%,66.0%,Southern Ind. -1.89,4.6,226,186,Southern Ind. 10-3
2026-04-19,George Washington,VCU,Away,33.6%,66.4%,VCU -1.94,4.5,254,137,George Washington 9-3
2026-04-19,Xavier,Seton Hall,Home,73.8%,26.2%,Xavier -3.15,4.5,107,253,Xavier 3-1
2026-04-19,Georgetown,Butler,Home,60.4%,39.6%,Georgetown -1.2,4.5,188,246,Georgetown 14-5
2026-04-19,Towson,Mercer,Home,14.1%,85.9%,Mercer -5.27,4.4,255,61,Mercer 8-6
2026-04-19,Davidson,Saint Louis,Away,40.5%,59.5%,Saint Louis -0.71,4.4,184,258,Saint Louis 7-2
2026-04-19,FGCU,Queens (NC),Away,76.1%,23.9%,FGCU -3.38,4.4,114,250,Queens (NC) 6-5
2026-04-19,FDU,Le Moyne,Away,49.9%,50.1%,FDU -0.08,4.4,212,268,Le Moyne 10-3
2026-04-19,UMass Lowell,UMBC,Home,43.4%,56.6%,UMBC -0.83,4.4,249,210,UMBC 12-11
2026-04-19,Texas Southern,Ark.-Pine Bluff,Home,40.3%,59.7%,Ark.-Pine Bluff -1.05,4.3,231,239,Texas Southern 11-10
2026-04-19,NIU,Akron,Home,75.3%,24.7%,NIU -3.33,4.3,117,257,Akron 4-3
2026-04-19,Texas Southern,Ark.-Pine Bluff,Home,40.3%,59.7%,Ark.-Pine Bluff -1.05,4.3,231,239,Ark.-Pine Bluff 5-4
2026-04-19,Seattle U,San Diego,Home,30.6%,69.4%,San Diego -2.21,4.3,238,178,San Diego 13-12
2026-04-19,Omaha,North Dakota St.,Home,59.0%,41.0%,Omaha -1.2,4.2,187,272,Omaha 6-5
2026-04-19,Omaha,North Dakota St.,Home,59.0%,41.0%,Omaha -1.2,4.2,187,272,North Dakota St. 6-1
2026-04-19,Marist,Niagara,Away,41.4%,58.6%,Niagara -1.06,4.2,256,213,Niagara 11-6
2026-04-19,Bellarmine,Austin Peay,Home,23.3%,76.7%,Austin Peay -3.36,4.1,243,160,Austin Peay 10-5
2026-04-19,Western Mich.,Eastern Mich.,Home,69.0%,31.0%,Western Mich. -2.46,4.0,163,270,Western Mich. 12-3
2026-04-19,UNC Asheville,Wofford,Away,11.3%,88.7%,Wofford -6.0,4.0,261,76,Wofford 20-9
2026-04-19,Delaware,Middle Tenn.,Away,26.8%,73.2%,Middle Tenn. -3.03,3.9,266,157,Middle Tenn. 4-0
2026-04-19,UC Riverside,Long Beach St.,Home,32.0%,68.0%,Long Beach St. -1.89,3.9,241,229,UC Riverside 7-2
2026-04-19,West Ga.,Jacksonville,Home,23.4%,76.6%,Jacksonville -3.55,3.9,267,140,Jacksonville 9-8
2026-04-19,Wagner,Stonehill,Home,54.8%,45.2%,Wagner -0.7,3.8,242,276,Wagner 8-4
