Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-22,Oregon,Oregon St.,Away,40.2%,59.8%,Oregon St. -1.42,9.3,20,6,Oregon 7-3
2026-04-22,Liberty,Virginia,Away,35.3%,64.7%,Virginia -1.91,8.9,22,25,Virginia 5-4
2026-04-22,Lamar University,South Alabama,Away,44.0%,56.0%,South Alabama -0.87,7.5,117,69,South Alabama 6-1
2026-04-22,Texas Tech,Abilene Christian,Home,54.9%,45.1%,Texas Tech -0.77,7.2,71,142,Texas Tech 9-1
2026-04-22,Notre Dame,Michigan St.,Home,57.9%,42.1%,Notre Dame -1.31,7.2,57,140,Notre Dame 3-2
2026-04-22,Miami (FL),Fla. Atlantic,Home,71.3%,28.7%,Miami (FL) -3.39,6.8,23,152,Miami (FL) 5-4
2026-04-22,Sacramento St.,UC Davis,Away,47.1%,52.9%,UC Davis -0.3,6.6,153,130,Sacramento St. 7-1
2026-04-22,UTRGV,Little Rock,Home,42.5%,57.5%,Little Rock -1.11,6.4,161,118,Little Rock 15-10
2026-04-22,Creighton,Omaha,Away,67.4%,32.6%,Creighton -2.78,6.0,73,187,Creighton 15-10
2026-04-22,San Francisco,California,Home,24.4%,75.6%,California -4.01,5.9,180,55,California 4-3
2026-04-22,Austin Peay,Western Ky.,Away,28.3%,71.7%,Western Ky. -3.18,5.9,164,108,Western Ky. 6-4
2026-04-22,The Citadel,Ga. Southern,Home,55.4%,44.6%,The Citadel -0.98,5.8,99,215,The Citadel 10-3
2026-04-22,Nicholls,A&M-Corpus Christi,Home,55.2%,44.8%,Nicholls -0.87,5.8,135,199,Nicholls 6-1
2026-04-22,Evansville,Southern Ind.,Away,42.3%,57.7%,Southern Ind. -1.02,5.6,181,177,Southern Ind. 14-4
2026-04-22,New Mexico St.,Arizona St.,Home,10.6%,89.4%,Arizona St. -7.14,5.6,175,31,New Mexico St. 10-9
2026-04-22,Bowling Green,Michigan,Away,16.5%,83.5%,Michigan -5.7,5.2,211,46,Michigan 9-6
2026-04-22,UIC,Iowa,Home,20.8%,79.2%,Iowa -4.58,5.0,226,67,Iowa 6-4
2026-04-22,North Ala.,Tennessee Tech,Away,53.7%,46.3%,North Ala. -0.65,4.9,178,243,North Ala. 10-7
2026-04-22,Morehead St.,Marshall,Home,22.9%,77.1%,Marshall -4.0,4.8,192,165,Morehead St. 11-2
2026-04-22,Stony Brook,Columbia,Home,42.5%,57.5%,Columbia -0.94,4.7,217,224,Columbia 8-4
2026-04-22,Delaware,Saint Joseph's,Away,25.3%,74.7%,Saint Joseph's -3.9,4.6,257,80,Delaware 15-6
2026-04-22,Fairfield,FDU,Home,65.2%,34.8%,Fairfield -2.36,4.4,197,232,Fairfield 0-0
2026-04-22,George Washington,Georgetown,Away,40.8%,59.3%,Georgetown -1.13,4.4,247,201,George Washington 9-7
2026-04-22,Seton Hall,Monmouth,Home,35.0%,65.0%,Monmouth -2.26,4.4,254,162,Monmouth 6-5
2026-04-22,Northwestern St.,Southern U.,Away,77.1%,22.9%,Northwestern St. -4.06,4.2,129,253,SCH
2026-04-22,Yale,Sacred Heart,Home,73.3%,26.7%,Yale -3.55,4.0,150,267,Yale 14-5
2026-04-22,Ark.-Pine Bluff,Central Ark.,Away,20.3%,79.7%,Central Ark. -4.55,3.9,249,155,Central Ark. 10-9
2026-04-22,Saint Louis,Western Ill.,Away,48.2%,51.8%,Western Ill. -0.2,3.9,260,271,Western Ill. 8-6
2026-04-22,Wagner,Princeton,Home,28.8%,71.2%,Princeton -2.69,3.8,240,222,Wagner 16-11
2026-04-22,Texas Southern,Houston Christian,Home,18.5%,81.5%,Houston Christian -5.02,3.7,252,169,Texas Southern 0-0
2026-04-22,St. Thomas (MN),Northwestern,Home,19.2%,80.8%,Northwestern -5.01,3.7,280,123,Northwestern 15-5
2026-04-22,Merrimack,UMass Lowell,Away,37.4%,62.6%,UMass Lowell -1.66,3.6,269,239,UMass Lowell 10-8
2026-04-22,Mercyhurst,Kent St.,Home,5.5%,94.5%,Kent St. -9.54,3.5,292,56,Kent St. 13-2
2026-04-22,Fordham,Iona,Away,64.3%,35.7%,Fordham -2.04,3.4,229,286,Fordham 6-5
2026-04-22,Toledo,Youngstown St.,Away,71.9%,28.1%,Toledo -3.28,3.2,216,283,Toledo 21-0
2026-04-22,Stonehill,Massachusetts,Home,33.0%,67.0%,Massachusetts -2.19,3.1,278,272,Stonehill 12-5
2026-04-22,Alcorn,Southeastern La.,Away,1.2%,98.8%,Southeastern La. -14.5,2.7,305,109,Southeastern La. 11-1
2026-04-22,Central Conn. St.,Quinnipiac,Away,17.3%,82.7%,Quinnipiac -5.16,2.4,299,242,Quinnipiac 10-3
2026-04-22,UMES,Navy,Home,3.7%,96.3%,Navy -10.89,2.3,306,174,Navy 7-3
2026-04-22,Lehigh,Saint Peter's,Away,79.5%,20.5%,Lehigh -4.69,2.0,293,307,Lehigh 11-5
