Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-02-19,Wichita St.,Hawaii,Home,48.3%,51.7%,Hawaii -0.37,9.1,41,37,Hawaii 7-6
2026-02-19,Cincinnati,UAB,Away,65.0%,35.0%,Cincinnati -1.99,8.5,38,40,UAB 12-11
2026-02-19,Utah,UC San Diego,Home,52.8%,47.2%,Utah -0.27,8.2,47,94,
2026-02-19,Omaha,San Diego St.,Away,46.5%,53.5%,San Diego St. -0.52,7.6,106,93,
2026-02-19,Oklahoma St.,Grand Canyon,Home,62.7%,37.3%,Oklahoma St. -1.75,7.1,19,156,Grand Canyon 12-8
2026-02-19,Omaha,BYU,Neutral,38.3%,61.7%,BYU -1.67,7.1,106,111,
2026-02-19,Utah Tech,Pacific,Home,57.5%,42.5%,Utah Tech -1.05,6.6,48,187,Pacific 4-3
2026-02-19,UConn,Arizona,Home,44.3%,55.7%,Arizona -0.51,5.3,122,242,UConn 6-4
2026-02-19,Youngstown St.,Oregon,Home,2.0%,98.0%,Oregon -10.96,5.2,179,28,Oregon 18-1
2026-02-19,Seattle U,California Baptist,Home,11.5%,88.5%,California Baptist -5.84,4.5,241,54,California Baptist 13-6
2026-02-19,Saint Joseph's,Sacramento St.,Home,29.8%,70.2%,Sacramento St. -2.28,4.1,234,213,Sacramento St. 4-1
2026-02-19,Oakland,Southern Ind.,Away,26.4%,73.6%,Southern Ind. -3.06,3.5,288,162,Southern Ind. 18-9
