Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-15,Texas A&M,Oklahoma,Home,43.7%,56.3%,Oklahoma -0.7,9.5,12,6,Oklahoma 12-11
2026-03-15,Florida St.,Wake Forest,Away,56.6%,43.4%,Florida St. -0.95,9.3,7,30,Florida St. 12-6
2026-03-15,Alabama,Kentucky,Away,40.6%,59.4%,Kentucky -1.26,9.1,34,11,Kentucky 6-4
2026-03-15,Tennessee,Georgia,Home,42.8%,57.2%,Georgia -0.83,9.1,26,31,Georgia 8-7
2026-03-15,Oklahoma St.,UCF,Away,51.0%,49.0%,Oklahoma St. -0.0,8.9,56,37,UCF 6-5
2026-03-15,Notre Dame,Louisville,Home,48.0%,52.0%,Louisville -0.44,8.9,35,52,Louisville 21-12
2026-03-15,Ole Miss,Texas,Away,26.5%,73.5%,Texas -3.11,8.9,13,1,Texas 8-2
2026-03-15,Southern Miss.,Arkansas St.,Home,67.5%,32.5%,Southern Miss. -2.2,8.7,5,39,Arkansas St. 5-2
2026-03-15,TCU,Arizona St.,Home,36.6%,63.4%,Arizona St. -1.38,8.7,41,17,Arizona St. 4-0
2026-03-15,Missouri St.,Liberty,Home,43.9%,56.1%,Liberty -0.69,8.7,45,48,Liberty 9-3
2026-03-15,Miami (FL),Duke,Home,47.2%,52.8%,Duke -0.2,8.6,42,69,Duke 20-10
2026-03-15,Purdue,Maryland,Home,50.7%,49.3%,Purdue -0.18,8.5,43,77,Maryland 10-9
2026-03-15,Kansas St.,Houston,Home,62.0%,38.0%,Kansas St. -1.42,8.5,21,62,Houston 16-6
2026-03-15,North Carolina,California,Home,70.3%,29.7%,North Carolina -2.69,8.5,10,44,North Carolina 10-2
2026-03-15,LSU,Vanderbilt,Away,48.1%,51.9%,LSU -0.02,8.4,49,76,LSU 16-9
2026-03-15,West Virginia,Baylor,Home,66.9%,33.1%,West Virginia -2.05,8.3,25,57,West Virginia 8-0
2026-03-15,Virginia Tech,Virginia,Home,29.1%,70.9%,Virginia -2.56,8.1,60,20,Virginia Tech 6-3
2026-03-15,Kansas,Texas Tech,Away,38.1%,61.9%,Texas Tech -1.29,8.0,75,55,Kansas 18-7
2026-03-15,UC Santa Barbara,UC Davis,Home,71.7%,28.3%,UC Santa Barbara -2.75,7.9,15,79,UC Davis 10-6
2026-03-15,Boston College,NC State,Away,33.6%,66.4%,NC State -2.02,7.9,70,50,NC State 5-1
2026-03-15,South Alabama,Louisiana,Home,25.8%,74.2%,Louisiana -3.0,7.9,67,19,Louisiana 3-1
2026-03-15,Michigan,UCLA,Away,16.5%,83.5%,UCLA -4.87,7.7,64,2,UCLA 7-2
2026-03-15,UC Irvine,Cal St. Fullerton,Home,54.4%,45.6%,UC Irvine -0.34,7.6,99,93,Cal St. Fullerton 8-6
2026-03-15,South Carolina,Florida,Home,23.0%,77.0%,Florida -3.7,7.6,90,8,Florida 13-3
2026-03-15,High Point,USC Upstate,Away,50.6%,49.4%,High Point -0.09,7.6,103,108,High Point 7-5
2026-03-15,Rice,Saint Mary's (CA),Neutral,46.1%,53.9%,Saint Mary's (CA) -0.51,7.5,85,111,Saint Mary's (CA) 11-8
2026-03-15,UC San Diego,CSUN,Home,50.0%,50.0%,UC San Diego -0.22,7.5,83,129,UC San Diego 12-4
2026-03-15,UConn,Portland,Home,49.1%,50.9%,UConn -0.0,7.4,121,96,Portland 5-3
2026-03-15,Arizona,Utah,Away,46.3%,53.7%,Utah -0.44,7.4,143,47,Utah 8-7
2026-03-15,Southeast Mo. St.,Wright St.,Away,51.8%,48.2%,Southeast Mo. St. -0.38,7.3,71,144,Southeast Mo. St. 3-2
2026-03-15,Pittsburgh,Stanford,Away,63.0%,37.0%,Pittsburgh -1.64,7.2,51,130,Pittsburgh 10-5
2026-03-15,Oregon St.,San Diego,Away,78.8%,21.2%,Oregon St. -4.01,7.2,9,107,Oregon St. 10-3
2026-03-15,Longwood,Gardner-Webb,Home,51.8%,48.2%,Longwood -0.2,7.2,119,124,Gardner-Webb 9-4
2026-03-15,Indiana,Oregon,Away,18.5%,81.5%,Oregon -4.3,7.1,104,16,Oregon 7-6
2026-03-15,Utah Tech,Santa Clara,Home,32.3%,67.7%,Santa Clara -2.09,6.9,117,84,Santa Clara 5-4
2026-03-15,Houston Christian,Tarleton St.,Away,42.9%,57.1%,Tarleton St. -0.71,6.9,140,101,Houston Christian 9-5
2026-03-15,Washington St.,San Diego St.,Home,43.0%,57.0%,San Diego St. -0.91,6.9,132,115,San Diego St. 15-10
2026-03-15,Kennesaw St.,Middle Tenn.,Away,57.6%,42.4%,Kennesaw St. -1.05,6.9,80,145,Middle Tenn. 4-3
2026-03-15,UTRGV,Nicholls,Home,56.9%,43.1%,UTRGV -1.03,6.7,116,141,UTRGV 7-4
2026-03-15,Saint Mary's (CA),Grand Canyon,Home,52.3%,47.7%,Saint Mary's (CA) -0.46,6.7,111,157,Grand Canyon 6-3
2026-03-15,Nevada,Fresno St.,Home,56.2%,43.8%,Nevada -0.95,6.6,61,185,Nevada 9-4
2026-03-15,Creighton,Tulane,Away,52.2%,47.8%,Creighton -0.49,6.6,113,163,Creighton 5-4
2026-03-15,UT Arlington,UTSA,Away,17.9%,82.0%,UTSA -4.41,6.4,137,36,UTSA 15-8
2026-03-15,Michigan St.,Rutgers,Away,36.5%,63.5%,Rutgers -1.73,6.4,152,100,Rutgers 8-6
2026-03-15,McNeese,Lamar University,Home,40.4%,59.6%,Lamar University -1.24,6.4,168,95,Lamar University 11-10
2026-03-15,Coastal Carolina,App State,Home,79.9%,20.1%,Coastal Carolina -4.28,6.4,32,146,Coastal Carolina 8-7
2026-03-15,St. John's (NY),Charlotte,Home,23.5%,76.5%,Charlotte -3.46,6.3,154,53,Charlotte 10-9
2026-03-15,Gonzaga,Indiana St.,Away,51.1%,48.9%,Gonzaga -0.37,6.3,109,192,Gonzaga 23-16
2026-03-15,Texas St.,ULM,Away,67.9%,32.1%,Texas St. -2.12,6.2,87,165,ULM 16-5
2026-03-15,New Mexico St.,DBU,Home,21.8%,78.2%,DBU -3.67,6.1,149,81,DBU 20-2
2026-03-15,Jacksonville St.,Sam Houston,Away,77.8%,22.2%,Jacksonville St. -3.9,6.1,28,177,Jacksonville St. 4-3
2026-03-15,Princeton,Wofford,Away,38.6%,61.4%,Wofford -1.51,5.9,167,148,Wofford 5-2
2026-03-15,Columbia,South Fla.,Away,14.6%,85.4%,South Fla. -4.98,5.9,174,24,Columbia 0-0
2026-03-15,Old Dominion,Troy,Away,32.4%,67.6%,Troy -2.08,5.9,170,112,Troy 9-4
2026-03-15,Georgia St.,Marshall,Away,34.1%,65.9%,Marshall -2.08,5.9,164,136,Marshall 13-7
2026-03-15,LMU (CA),Abilene Christian,Home,40.4%,59.6%,Abilene Christian -1.16,5.8,173,155,Abilene Christian 22-11
2026-03-15,Bowling Green,Miami (OH),Away,30.1%,69.9%,Miami (OH) -2.51,5.8,184,91,Miami (OH) 13-7
2026-03-15,Elon,UNCW,Away,22.6%,77.4%,UNCW -3.71,5.8,176,63,UNCW 11-0
2026-03-15,Mercer,Tennessee Tech,Away,77.1%,22.9%,Mercer -3.63,5.8,40,190,Tennessee Tech 16-10
2026-03-15,New Mexico,San Jose St.,Away,54.9%,45.1%,New Mexico -0.57,5.7,131,209,San Jose St. 3-0
2026-03-15,Ohio St.,Washington,Away,39.0%,61.0%,Washington -1.46,5.6,166,179,Washington 5-4
2026-03-15,Central Mich.,Kent St.,Away,14.9%,85.1%,Kent St. -5.18,5.6,188,29,Kent St. 6-4
2026-03-15,Ga. Southern,James Madison,Away,38.0%,62.0%,James Madison -1.42,5.5,211,122,James Madison 12-6
2026-03-15,Murray St.,Lindenwood,Home,59.8%,40.2%,Murray St. -1.28,5.5,156,196,Lindenwood 4-0
2026-03-15,NIU,Toledo,Away,37.9%,62.1%,Toledo -1.51,5.5,162,187,Toledo 17-2
2026-03-15,SFA,Southeastern La.,Away,23.3%,76.7%,Southeastern La. -3.37,5.5,159,135,SFA 3-2
2026-03-15,Little Rock,Samford,Away,41.7%,58.3%,Samford -0.92,5.5,180,183,Little Rock 12-2
2026-03-15,Fordham,Davidson,Home,46.5%,53.5%,Davidson -0.49,5.4,198,199,Fordham 26-3
2026-03-15,North Florida,Stetson,Away,28.9%,71.0%,Stetson -2.59,5.4,181,142,North Florida 4-1
2026-03-15,Belmont,UAB,Away,33.1%,67.0%,UAB -2.15,5.4,233,65,UAB 12-2
2026-03-15,Hawaii,Long Beach St.,Away,67.1%,32.9%,Hawaii -2.06,5.3,126,207,Long Beach St. 2-1
2026-03-15,CSU Bakersfield,Cal Poly,Away,16.7%,83.3%,Cal Poly -4.78,5.3,200,58,Cal Poly 6-3
2026-03-15,Evansville,Xavier,Away,30.6%,69.4%,Xavier -2.39,5.3,195,139,Evansville 5-1
2026-03-15,William & Mary,Georgetown,Home,43.1%,56.9%,Georgetown -0.79,5.2,221,161,William & Mary 7-3
2026-03-15,Radford,Winthrop,Away,24.5%,75.5%,Winthrop -3.27,5.2,217,74,Winthrop 9-7
2026-03-15,North Ala.,Lipscomb,Home,41.5%,58.5%,Lipscomb -0.87,5.2,197,193,North Ala. 13-7
2026-03-15,Delaware,Louisiana Tech,Away,19.9%,80.1%,Louisiana Tech -4.01,5.2,204,78,Louisiana Tech 17-4
2026-03-15,Morehead St.,Western Caro.,Away,20.1%,79.9%,Western Caro. -4.11,5.1,202,88,Western Caro. 8-7
2026-03-15,Iowa,Penn St.,Away,77.5%,22.5%,Iowa -3.57,5.1,59,229,Iowa 12-4
2026-03-15,Saint Joseph's,Richmond,Home,40.8%,59.2%,Richmond -0.85,5.0,203,205,Saint Joseph's 5-1
2026-03-15,FIU,Western Ky.,Away,23.3%,76.7%,Western Ky. -3.56,5.0,224,82,Western Ky. 9-3
2026-03-15,UIW,New Orleans,Home,49.8%,50.2%,New Orleans -0.04,5.0,171,248,New Orleans 11-7
2026-03-15,A&M-Corpus Christi,Northwestern St.,Away,25.0%,75.0%,Northwestern St. -3.24,5.0,215,106,Northwestern St. 4-3
2026-03-15,Sacramento St.,Pacific,Home,57.6%,42.4%,Sacramento St. -0.94,5.0,206,208,Sacramento St. 18-6
2026-03-15,Central Ark.,Eastern Ky.,Away,63.6%,36.4%,Central Ark. -1.59,4.9,147,230,Eastern Ky. 6-5
2026-03-15,Penn,East Carolina,Home,14.1%,85.9%,East Carolina -5.26,4.9,214,66,East Carolina 8-7
2026-03-15,Binghamton,Bryant,Away,33.6%,66.4%,Bryant -2.05,4.9,223,150,Bryant 8-4
2026-03-15,UMBC,Fla. Atlantic,Home,13.1%,86.9%,Fla. Atlantic -5.47,4.8,212,73,Fla. Atlantic 4-3
2026-03-15,The Citadel,UT Martin,Away,74.8%,25.2%,The Citadel -3.36,4.7,94,246,The Citadel 8-4
2026-03-15,Milwaukee,Northern Ky.,Away,37.1%,62.9%,Northern Ky. -1.57,4.7,228,182,Milwaukee 16-10
2026-03-15,Eastern Ill.,Memphis,Away,51.2%,48.9%,Eastern Ill. -0.34,4.6,201,252,Eastern Ill. 25-14
2026-03-15,Hofstra,Monmouth,Away,39.2%,60.8%,Monmouth -1.27,4.5,232,213,Monmouth 19-9
