Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-02-26,Omaha,Wichita St.,Away,24.9%,75.1%,Wichita St. -3.23,7.1,106,41,Wichita St. 3-2
2026-02-26,Southern California,Cal Poly,Home,73.1%,26.9%,Southern California -2.86,6.8,6,151,Southern California 4-0
2026-02-26,BYU,Washington St.,Neutral,70.4%,29.6%,BYU -2.73,6.8,111,101,BYU 6-4
2026-02-26,California Baptist,San Francisco,Away,69.8%,30.2%,California Baptist -2.39,6.7,54,145,California Baptist 16-2
2026-02-26,Ball St.,Hawaii,Away,27.5%,72.5%,Hawaii -2.85,6.3,173,37,Hawaii 6-1
2026-02-26,Oral Roberts,DBU,Home,16.1%,83.9%,DBU -4.71,5.1,206,73,DBU 6-5
