Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-14,Coastal Carolina,Wake Forest,Away,47.5%,52.5%,Wake Forest -0.09,9.4,19,28,Wake Forest 10-5
2026-04-14,Southern Miss.,Ole Miss,Neutral,41.0%,59.0%,Ole Miss -1.26,9.1,31,13,Ole Miss 10-3
2026-04-14,Oregon,Oregon St.,Away,37.8%,62.2%,Oregon St. -1.61,9.1,25,6,Oregon 0-0
2026-04-14,UTSA,Baylor,Home,55.8%,44.2%,UTSA -0.65,8.8,42,44,Baylor 10-9
2026-04-14,Oklahoma St.,Oklahoma,Neutral,38.0%,62.0%,Oklahoma -1.42,8.8,40,14,Oklahoma St. 7-3
2026-04-14,Liberty,Duke,Home,49.7%,50.3%,Liberty -0.18,8.8,27,67,Liberty 17-7
2026-04-14,NC State,East Carolina,Home,60.0%,40.0%,NC State -1.25,8.6,35,50,NC State 10-3
2026-04-14,UC Santa Barbara,UCLA,Away,18.4%,81.7%,UCLA -4.43,8.4,26,1,UC Santa Barbara 4-0
2026-04-14,Alabama,UAB,Neutral,75.0%,24.9%,Alabama -3.28,8.2,12,51,Alabama 12-6
2026-04-14,Miami (OH),Purdue,Away,38.4%,61.6%,Purdue -1.33,7.9,87,52,Miami (OH) 5-3
2026-04-14,Mercer,Kennesaw St.,Home,57.5%,42.5%,Mercer -0.84,7.9,70,88,Kennesaw St. 12-9
2026-04-14,Tarleton St.,TCU,Home,24.7%,75.3%,TCU -3.25,7.7,72,34,TCU 12-5
2026-04-14,Clemson,Charlotte,Home,65.8%,34.2%,Clemson -2.07,7.6,37,103,Clemson 7-3
2026-04-14,Creighton,Nebraska,Away,25.4%,74.6%,Nebraska -3.19,7.6,91,17,Nebraska 5-4
2026-04-14,UC San Diego,San Diego St.,Home,48.2%,51.8%,San Diego St. -0.01,7.6,81,112,San Diego St. 9-1
2026-04-14,ETSU,Georgia,Away,17.8%,82.2%,Georgia -4.52,7.4,86,9,Georgia 12-10
2026-04-14,Wichita St.,Kansas,Home,24.9%,75.1%,Kansas -3.44,7.3,102,22,Kansas 5-2
2026-04-14,Southeastern La.,Tulane,Away,47.9%,52.1%,Tulane -0.18,7.3,105,120,Tulane 8-4
2026-04-14,FGCU,Fla. Atlantic,Away,47.5%,52.5%,Fla. Atlantic -0.11,7.1,99,138,FGCU 8-6
2026-04-14,UNCW,North Carolina,Home,16.4%,83.6%,North Carolina -4.89,7.1,108,4,North Carolina 14-5
2026-04-14,Houston,Texas A&M,Away,14.6%,85.4%,Texas A&M -5.2,7.1,98,5,Texas A&M 10-2
2026-04-14,Western Ky.,Louisville,Home,33.6%,66.4%,Louisville -2.06,7.1,118,65,Louisville 7-3
2026-04-14,Virginia,VCU,Home,80.1%,19.9%,Virginia -4.01,7.0,29,110,VCU 6-2
2026-04-14,Texas Tech,Abilene Christian,Home,65.1%,34.8%,Texas Tech -1.81,7.0,58,132,Texas Tech 0-0
2026-04-14,Xavier,Cincinnati,Home,26.0%,74.0%,Cincinnati -3.05,6.9,123,38,Cincinnati 15-5
2026-04-14,App State,Western Caro.,Away,38.4%,61.6%,Western Caro. -1.47,6.9,129,89,Western Caro. 14-4
2026-04-14,NIU,Illinois St.,Home,45.9%,54.1%,Illinois St. -0.32,6.9,117,134,NIU 0-0
2026-04-14,The Citadel,Charleston So.,Home,44.6%,55.4%,Charleston So. -0.41,6.9,113,135,The Citadel 15-5
2026-04-14,Northwestern St.,LSU,Home,23.6%,76.4%,LSU -3.43,6.8,121,43,LSU 4-2
2026-04-14,Bethune-Cookman,Florida,Away,8.9%,91.1%,Florida -6.54,6.8,106,7,Bethune-Cookman 13-7
2026-04-14,Northeastern,Boston College,Home,26.3%,73.7%,Boston College -3.14,6.7,145,32,Boston College 3-1
2026-04-14,Mississippi St.,Samford,Away,85.8%,14.2%,Mississippi St. -5.21,6.6,10,130,Mississippi St. 11-1
2026-04-14,USC Upstate,Col. of Charleston,Home,46.7%,53.3%,Col. of Charleston -0.43,6.6,128,150,Col. of Charleston 6-0
2026-04-14,UNLV,Utah Tech,Away,61.9%,38.1%,UNLV -1.42,6.6,119,136,UNLV 8-6
2026-04-14,Richmond,James Madison,Home,49.6%,50.4%,Richmond -0.03,6.5,163,142,Richmond 10-2
2026-04-14,Indiana,Indiana St.,Away,58.4%,41.6%,Indiana -1.12,6.5,111,154,Indiana 17-12
2026-04-14,Southeast Mo. St.,Murray St.,Home,61.5%,38.5%,Southeast Mo. St. -1.54,6.5,69,170,Southeast Mo. St. 12-1
2026-04-14,Jacksonville,UCF,Away,20.8%,79.2%,UCF -3.86,6.5,143,36,Jacksonville 5-4
2026-04-14,Nicholls,South Alabama,Away,31.0%,69.0%,South Alabama -2.32,6.4,153,75,South Alabama 4-3
2026-04-14,San Diego,Cal St. Fullerton,Home,33.6%,66.4%,Cal St. Fullerton -2.01,6.3,156,100,Cal St. Fullerton 13-0
2026-04-14,Little Rock,Louisiana Tech,Away,30.6%,69.4%,Louisiana Tech -2.42,6.2,152,96,Louisiana Tech 9-3
2026-04-14,New Mexico,New Mexico St.,Away,65.1%,34.9%,New Mexico -1.72,6.2,109,157,New Mexico St. 6-1
2026-04-14,UT Arlington,DBU,Home,19.3%,80.7%,DBU -4.08,6.1,148,64,DBU 10-5
2026-04-14,Campbell,UNC Greensboro,Away,71.2%,28.8%,Campbell -2.85,6.0,54,184,Campbell 11-8
2026-04-14,Houston Christian,Texas St.,Away,21.9%,78.1%,Texas St. -3.69,6.0,173,45,Texas St. 4-3
2026-04-14,UTRGV,Sam Houston,Home,55.1%,44.9%,UTRGV -0.76,6.0,160,172,UTRGV 8-5
2026-04-14,SIUE,Illinois,Home,28.9%,71.1%,Illinois -2.52,5.9,171,93,Illinois 16-4
2026-04-14,Central Ark.,Oral Roberts,Away,25.3%,74.7%,Oral Roberts -3.11,5.8,164,107,Central Ark. 5-3
2026-04-14,Stetson,Florida St.,Home,12.0%,88.0%,Florida St. -5.83,5.8,177,15,Florida St. 9-2
