Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-09,Xavier,Oregon St.,Home,21.1%,78.9%,Oregon St. -3.98,7.2,110,6,Oregon St. 7-2
2026-03-09,Grand Canyon,Utah,Away,39.3%,60.7%,Utah -1.44,6.9,157,44,Utah 7-2
2026-03-09,South Fla.,Jacksonville,Home,73.9%,26.1%,South Fla. -3.06,6.8,33,138,South Fla. 11-6
2026-03-09,Stetson,Arkansas,Home,19.6%,80.4%,Arkansas -4.09,6.6,131,38,Stetson 6-4
2026-03-09,Pepperdine,CSUN,Home,20.1%,79.9%,CSUN -4.08,4.7,232,85,CSUN 12-1
2026-03-09,UMass Lowell,San Francisco,Home,22.7%,77.3%,San Francisco -3.56,3.6,265,182,San Francisco 8-2
2026-03-09,Northern Colo.,Utah Valley,Away,19.8%,80.2%,Utah Valley -4.1,3.0,288,195,Utah Valley 5-1
2026-03-09,UMES,Central Conn. St.,Home,5.9%,94.1%,Central Conn. St. -7.78,2.1,308,207,Central Conn. St. 13-6
2026-03-09,Le Moyne,Delaware St.,Home,90.5%,9.5%,Le Moyne -6.1,1.6,278,307,Le Moyne 24-19
