Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-02-23,Washington St.,Cal Poly,Home,24.0%,76.0%,Cal Poly -3.51,5.9,101,151,Washington St. 5-4
2026-02-23,TCU,LMU (CA),Home,73.1%,26.9%,TCU -3.18,5.7,60,197,TCU 17-7
2026-02-23,Air Force,Col. of Charleston,Away,45.0%,55.0%,Col. of Charleston -1.0,5.4,210,161,
2026-02-23,Marshall,Winthrop,Away,34.3%,65.7%,Winthrop -1.67,5.1,247,88,Winthrop 11-7
2026-02-23,Pepperdine,Fresno St.,Home,20.1%,79.9%,Fresno St. -4.12,4.5,203,168,Fresno St. 11-3
2026-02-23,BYU,UC Riverside,Away,82.6%,17.4%,BYU -4.63,4.3,111,240,BYU 11-3
