Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-04,LSU,Louisiana,Away,63.4%,36.6%,LSU -1.81,8.9,32,12,Louisiana 7-2
2026-03-04,Virginia,Charlotte,Neutral,58.7%,41.3%,Virginia -0.97,8.7,49,28,Virginia 8-1
2026-03-04,Mercer,Florida St.,Home,25.0%,75.0%,Florida St. -3.17,8.4,37,10,Florida St. 22-4
2026-03-04,Arkansas St.,Louisiana Tech,Away,53.6%,46.4%,Arkansas St. -0.53,8.2,42,90,Arkansas St. 8-2
2026-03-04,FGCU,UCF,Away,40.8%,59.2%,UCF -0.9,7.9,60,85,UCF 12-5
2026-03-04,Charleston So.,South Carolina,Away,32.8%,67.2%,South Carolina -1.97,7.7,72,73,South Carolina 4-1
2026-03-04,Western Caro.,Georgia,Home,18.4%,81.6%,Georgia -4.2,7.5,58,50,Western Caro. 10-9
2026-03-04,East Carolina,UNCW,Away,54.3%,45.7%,East Carolina -0.6,7.5,59,127,East Carolina 5-3
2026-03-04,Rice,Lamar University,Home,36.8%,63.2%,Lamar University -1.71,7.2,107,93,Rice 4-1
2026-03-04,Troy,Vanderbilt,Away,31.4%,68.5%,Vanderbilt -2.14,7.0,98,104,Vanderbilt 4-1
2026-03-04,Xavier,Ohio St.,Home,61.3%,38.7%,Xavier -1.59,7.0,82,130,Xavier 13-4
2026-03-04,Michigan St.,Clemson,Neutral,14.7%,85.3%,Clemson -5.2,6.6,134,8,Clemson 12-1
2026-03-04,Nicholls,Southern Miss.,Away,11.4%,88.6%,Southern Miss. -6.02,6.6,129,1,Nicholls 3-2
2026-03-04,Wake Forest,App State,Home,85.6%,14.4%,Wake Forest -5.28,6.3,22,148,Wake Forest 9-8
2026-03-04,Bethune-Cookman,Miami (FL),Away,11.0%,89.0%,Miami (FL) -5.85,6.0,151,35,Miami (FL) 5-2
2026-03-04,Old Dominion,VCU,Away,60.2%,39.8%,Old Dominion -1.41,6.0,165,152,Old Dominion 12-10
2026-03-04,CSU Bakersfield,California,Away,20.5%,79.5%,California -4.08,6.0,180,26,California 15-6
2026-03-04,Boston College,FIU,Away,67.6%,32.4%,Boston College -2.09,5.9,114,169,Boston College 9-4
2026-03-04,Ga. Southern,The Citadel,Away,37.1%,62.9%,The Citadel -1.72,5.9,199,87,The Citadel 7-1
2026-03-04,Long Beach St.,San Diego St.,Away,42.7%,57.3%,San Diego St. -0.86,5.8,220,91,San Diego St. 13-10
2026-03-04,North Ala.,Ole Miss,Away,8.3%,91.7%,Ole Miss -6.84,5.8,171,11,Ole Miss 8-5
2026-03-04,Maryland,Delaware,Home,71.4%,28.6%,Maryland -2.61,5.7,77,191,Maryland 7-3
2026-03-04,West Virginia,Marshall,Home,83.1%,16.9%,West Virginia -4.49,5.7,19,197,West Virginia 0-0
2026-03-04,Milwaukee,Minnesota,Away,13.5%,86.5%,Minnesota -5.43,5.4,196,33,Minnesota 6-2
2026-03-04,Southeastern La.,ULM,Away,63.8%,36.2%,Southeastern La. -1.86,5.2,159,204,Southeastern La. 16-6
2026-03-04,South Dakota St.,Nebraska,Home,10.0%,90.0%,Nebraska -6.41,5.2,194,41,Nebraska 5-4
2026-03-04,SFA,Abilene Christian,Home,22.3%,77.8%,Abilene Christian -3.56,5.1,186,135,Abilene Christian 20-10
2026-03-04,Alabama,Alabama St.,Away,91.5%,8.5%,Alabama -6.81,5.1,29,205,Alabama 13-4
2026-03-04,Belmont,Middle Tenn.,Away,41.2%,58.8%,Middle Tenn. -1.14,5.1,230,149,Belmont 8-7
2026-03-04,Stony Brook,Rutgers,Home,18.8%,81.2%,Rutgers -4.26,5.1,203,80,Rutgers 5-1
2026-03-04,Villanova,North Florida,Home,36.9%,63.1%,North Florida -1.56,4.8,212,193,Villanova 4-0
