Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-02-25,Kansas St.,Louisiana,Away,51.2%,48.8%,Kansas St. -0.17,9.5,21,15,Louisiana 3-2
2026-02-25,Arizona St.,Oklahoma,Away,35.0%,65.0%,Oklahoma -1.71,9.3,4,5,Oklahoma 4-3
2026-02-25,Kansas,Minnesota,Away,47.1%,52.9%,Minnesota -0.02,8.9,34,53,Kansas 8-7
2026-02-25,App State,ETSU,Away,50.3%,49.7%,ETSU -0.28,8.1,44,105,App State 8-5
2026-02-25,California,UC Davis,Away,66.4%,33.6%,California -1.96,7.7,42,89,California 7-2
2026-02-25,Arkansas St.,Arkansas,Home,15.7%,84.3%,Arkansas -4.91,7.6,62,17,Arkansas 1-0
2026-02-25,Kent St.,Wright St.,Away,62.7%,37.3%,Kent St. -1.51,7.6,22,119,Wright St. 8-1
2026-02-25,Tulane,South Alabama,Home,47.3%,52.7%,South Alabama -0.21,7.5,115,85,Tulane 15-2
2026-02-25,Troy,Georgia,Home,19.8%,80.2%,Georgia -3.96,7.4,67,56,Troy 6-5
2026-02-25,Indiana,Xavier,Away,55.3%,44.7%,Indiana -0.7,7.3,90,123,Indiana 10-4
2026-02-25,UNCW,Charleston So.,Home,47.4%,52.6%,Charleston So. -0.2,7.2,152,58,UNCW 11-10
2026-02-25,Miami (FL),Fla. Atlantic,Home,78.4%,21.6%,Miami (FL) -3.8,7.1,25,108,Miami (FL) 11-7
2026-02-25,Indiana St.,FGCU,Home,30.2%,69.8%,FGCU -2.62,7.0,124,55,Indiana St. 5-4
2026-02-25,Western Ky.,Kentucky,Home,27.8%,72.2%,Kentucky -2.69,6.9,110,82,Kentucky 13-9
2026-02-25,Grand Canyon,UC Irvine,Away,35.0%,65.0%,UC Irvine -1.95,6.7,156,57,Grand Canyon 9-4
2026-02-25,High Point,Liberty,Away,36.4%,63.6%,Liberty -1.54,6.6,172,46,Liberty 9-3
2026-02-25,USC Upstate,Stetson,Home,49.9%,50.1%,USC Upstate -0.05,6.6,96,183,USC Upstate 2-1
2026-02-25,VCU,North Carolina,Home,8.1%,91.9%,North Carolina -7.05,6.4,132,7,North Carolina 13-3
2026-02-25,FIU,Florida,Away,9.1%,90.9%,Florida -6.58,6.1,147,13,Florida 11-4
2026-02-25,Col. of Charleston,East Carolina,Neutral,29.7%,70.3%,East Carolina -2.41,5.9,161,114,East Carolina 8-7
2026-02-25,BYU,Long Beach St.,Away,61.0%,39.0%,BYU -1.44,5.7,111,205,Long Beach St. 10-7
2026-02-25,North Florida,Florida St.,Home,13.8%,86.2%,Florida St. -5.4,5.5,201,20,Florida St. 14-9
2026-02-25,Bowling Green,Cincinnati,Away,14.7%,85.3%,Cincinnati -5.08,5.5,192,38,Cincinnati 11-1
2026-02-25,Maine,Charlotte,Home,14.0%,86.0%,Charlotte -5.35,5.2,198,63,Charlotte 9-4
2026-02-25,Sacramento St.,Pacific,Home,45.5%,54.5%,Pacific -0.26,5.2,213,187,Pacific 8-7
2026-02-25,Lindenwood,Illinois,Home,33.1%,66.9%,Illinois -2.15,5.0,220,134,Illinois 13-9
2026-02-25,Western Mich.,UNLV,Home,16.8%,83.2%,UNLV -4.63,4.8,211,98,UNLV 16-1
2026-02-25,Queens (NC),South Carolina,Away,17.8%,82.2%,South Carolina -4.51,4.6,204,135,Queens (NC) 9-8
2026-02-25,Morehead St.,Northern Ky.,Away,31.4%,68.6%,Northern Ky. -2.36,4.5,223,186,Northern Ky. 21-6
2026-02-25,Miami (OH),Southern Ill.,Away,70.4%,29.6%,Miami (OH) -2.71,4.4,78,283,Miami (OH) 11-0
2026-02-25,Toledo,Dayton,Home,30.9%,69.1%,Dayton -2.02,4.2,270,133,Dayton 18-8
2026-02-25,West Ga.,Auburn,Home,5.0%,95.0%,Auburn -8.51,4.0,280,16,Auburn 4-3
2026-02-25,Akron,NC State,Away,4.3%,95.7%,NC State -8.82,4.0,264,35,NC State 18-3
2026-02-25,Ohio,West Virginia,Away,4.9%,95.1%,West Virginia -8.43,4.0,278,23,West Virginia 19-6
2026-02-25,Southern Ind.,Saint Louis,Home,63.6%,36.4%,Southern Ind. -1.58,4.0,162,286,Saint Louis 3-1
2026-02-25,Ark.-Pine Bluff,Missouri,Away,10.9%,89.1%,Missouri -5.86,3.9,237,138,Missouri 5-1
