Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-05-17,McNeese,Southeastern La.,Neutral,44.6%,55.4%,Southeastern La. -0.84,7.0,143,91,McNeese 8-5
2026-05-17,Lamar University,SFA,Neutral,68.4%,31.6%,Lamar University -2.8,5.9,95,175,Lamar University 11-0
2026-05-17,Columbia,Brown,Neutral,52.5%,47.5%,Columbia -0.34,4.9,222,213,Brown 4-2
2026-05-17,Brown,Yale,Neutral,33.2%,66.8%,Yale -2.49,4.8,213,173,Yale 7-5
2026-05-17,Eastern Ky.,Bellarmine,Home,46.0%,54.0%,Bellarmine -0.34,4.0,257,260,Eastern Ky. 9-4
