Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-02-24,Kansas St.,Louisiana,Away,51.2%,48.8%,Kansas St. -0.17,9.5,21,15,Louisiana 1-0
2026-02-24,Arizona St.,Oklahoma,Away,35.0%,65.0%,Oklahoma -1.71,9.3,4,5,Arizona St. 15-3
2026-02-24,Alabama,Southern Miss.,Away,44.4%,55.6%,Southern Miss. -0.84,8.7,72,1,Southern Miss. 14-4
2026-02-24,UTSA,Texas St.,Home,65.1%,34.8%,UTSA -1.96,8.3,10,69,Texas St. 7-2
2026-02-24,UCF,Jacksonville,Home,47.1%,52.9%,Jacksonville -0.33,7.9,95,79,UCF 0-0
2026-02-24,San Diego,UC San Diego,Away,66.4%,33.6%,San Diego -1.97,7.8,27,94,UC San Diego 8-7
2026-02-24,Arkansas St.,Arkansas,Home,15.7%,84.3%,Arkansas -4.91,7.6,62,17,Arkansas St. 12-4
2026-02-24,Georgia St.,Georgia Tech,Away,17.9%,82.0%,Georgia Tech -4.61,7.6,50,52,Georgia St. 9-4
2026-02-24,UC Davis,California,Home,28.7%,71.3%,California -2.56,7.5,89,42,UC Davis 0-0
2026-02-24,CSUN,California Baptist,Away,30.1%,69.9%,California Baptist -2.42,7.3,103,54,CSUN 7-5
2026-02-24,Indiana St.,FGCU,Home,30.2%,69.8%,FGCU -2.62,7.0,124,55,FGCU 17-1
2026-02-24,San Diego St.,UCLA,Away,14.0%,86.0%,UCLA -5.45,7.0,93,29,San Diego St. 4-3
2026-02-24,UTRGV,Texas,Home,9.1%,90.9%,Texas -6.61,6.8,107,3,Texas 14-0
2026-02-24,Central Ark.,Oklahoma St.,Away,19.5%,80.5%,Oklahoma St. -4.27,6.8,127,19,Oklahoma St. 14-3
2026-02-24,North Ala.,Samford,Away,49.8%,50.2%,Samford -0.2,6.7,139,148,Samford 6-5
2026-02-24,Lamar University,Texas A&M,Away,9.1%,90.9%,Texas A&M -6.37,6.7,109,8,Texas A&M 25-5
2026-02-24,Grand Canyon,UC Irvine,Away,35.0%,65.0%,UC Irvine -1.95,6.7,156,57,UC Irvine 3-0
2026-02-24,Northwestern St.,Louisiana Tech,Home,22.6%,77.4%,Louisiana Tech -3.45,6.7,143,18,Louisiana Tech 5-2
2026-02-24,Houston,Sam Houston,Away,65.9%,34.1%,Houston -2.26,6.6,43,167,Houston 5-4
2026-02-24,Duke,UNCW,Away,66.3%,33.7%,Duke -1.92,6.5,84,152,Duke 6-3
2026-02-24,Longwood,Elon,Home,44.3%,55.7%,Elon -0.63,6.4,65,195,Longwood 8-3
2026-02-24,Austin Peay,Mississippi St.,Away,11.1%,88.9%,Mississippi St. -6.02,6.4,125,26,Mississippi St. 16-3
2026-02-24,Alabama St.,UAB,Away,31.9%,68.0%,UAB -2.08,6.4,177,40,UAB 10-5
2026-02-24,Houston Christian,Rice,Away,48.1%,51.9%,Houston Christian -0.02,6.2,170,154,Houston Christian 11-8
2026-02-24,Virginia Tech,James Madison,Home,79.5%,20.4%,Virginia Tech -4.11,6.2,12,174,Virginia Tech 5-4
2026-02-24,FIU,Florida,Away,9.1%,90.9%,Florida -6.58,6.1,147,13,Florida 17-11
2026-02-24,USC Upstate,North Florida,Home,53.6%,46.4%,USC Upstate -0.75,6.1,96,201,USC Upstate 7-3
2026-02-24,McNeese,LSU,Home,7.7%,92.3%,LSU -7.13,6.1,146,14,McNeese 7-6
2026-02-24,Tennessee Tech,Middle Tenn.,Home,31.6%,68.4%,Middle Tenn. -1.87,6.1,113,158,Middle Tenn. 11-1
2026-02-24,Campbell,Coastal Carolina,Away,18.8%,81.2%,Coastal Carolina -4.42,6.0,136,92,Coastal Carolina 13-7
2026-02-24,South Fla.,Bethune-Cookman,Home,68.8%,31.2%,South Fla. -2.17,5.9,81,184,Bethune-Cookman 4-3
2026-02-24,Wake Forest,UNC Greensboro,Home,84.7%,15.3%,Wake Forest -5.06,5.8,36,175,Wake Forest 5-1
2026-02-24,UC Santa Barbara,LMU (CA),Home,81.1%,18.9%,UC Santa Barbara -4.22,5.8,11,197,UC Santa Barbara 5-3
2026-02-24,Richmond,NC State,Home,8.8%,91.2%,NC State -6.59,5.8,157,35,NC State 27-0
2026-02-24,Southeast Mo. St.,Ole Miss,Home,10.5%,89.5%,Ole Miss -6.2,5.7,185,2,Ole Miss 13-3
2026-02-24,Oral Roberts,Missouri St.,Home,26.2%,73.8%,Missouri St. -2.85,5.7,206,39,Missouri St. 13-1
2026-02-24,Davidson,Wofford,Away,39.1%,60.9%,Wofford -1.18,5.6,193,141,Wofford 12-8
2026-02-24,UIW,Tarleton St.,Home,34.7%,65.3%,Tarleton St. -1.84,5.5,169,176,Tarleton St. 17-5
2026-02-24,William & Mary,George Mason,Home,37.0%,63.0%,George Mason -1.74,5.5,202,129,William & Mary 0-0
2026-02-24,Memphis,Little Rock,Home,40.3%,59.7%,Little Rock -1.26,5.4,215,128,Memphis 24-5
2026-02-24,Saint Mary's (CA),CSU Bakersfield,Home,66.7%,33.3%,Saint Mary's (CA) -2.34,5.4,137,196,Saint Mary's (CA) 10-8
2026-02-24,Tulane,New Orleans,Home,68.9%,31.1%,Tulane -2.38,5.3,115,208,New Orleans 11-3
2026-02-24,South Alabama,Southeastern La.,Away,65.8%,34.2%,South Alabama -1.79,5.3,85,232,South Alabama 9-7
2026-02-24,SFA,Baylor,Home,17.6%,82.4%,Baylor -4.48,5.2,190,86,Baylor 9-8
2026-02-24,DBU,UT Arlington,Away,77.1%,22.9%,DBU -3.67,5.0,73,230,DBU 6-1
2026-02-24,Kennesaw St.,Ga. Southern,Home,66.6%,33.4%,Kennesaw St. -2.3,5.0,80,251,Kennesaw St. 7-5
2026-02-24,Rutgers,Saint Joseph's,Away,82.3%,17.7%,Rutgers -4.42,4.9,51,234,Rutgers 0-0
2026-02-24,Western Mich.,UNLV,Home,16.8%,83.2%,UNLV -4.63,4.8,211,98,UNLV 9-5
2026-02-24,N.C. A&T,North Carolina,Away,5.0%,95.0%,North Carolina -8.48,4.7,238,7,North Carolina 9-1
2026-02-24,Evansville,Vanderbilt,Away,6.4%,93.6%,Vanderbilt -7.65,4.5,221,66,Vanderbilt 15-3
2026-02-24,Rhode Island,Bryant,Home,28.2%,71.8%,Bryant -2.58,4.5,248,130,Rhode Island 0-0
2026-02-24,Delaware,Maryland,Away,15.6%,84.4%,Maryland -4.66,4.5,227,104,Maryland 15-14
2026-02-24,Bellarmine,Tennessee,Away,3.2%,96.8%,Tennessee -9.59,4.3,226,70,Tennessee 8-3
2026-02-24,Murray St.,UT Martin,Away,75.6%,24.4%,Murray St. -3.6,4.2,140,252,Murray St. 7-5
2026-02-24,Ark.-Pine Bluff,Missouri,Away,10.9%,89.1%,Missouri -5.86,3.9,237,138,Missouri 15-1
2026-02-24,Belmont,Lipscomb,Away,33.4%,66.6%,Lipscomb -1.91,3.9,274,180,Lipscomb 8-2
2026-02-24,Presbyterian,Clemson,Home,2.5%,97.5%,Clemson -10.32,3.8,290,9,Clemson 6-2
2026-02-24,Florida A&M,Mercer,Away,7.0%,93.0%,Mercer -7.3,3.8,292,32,Mercer 7-0
2026-02-24,Akron,Western Caro.,Away,15.7%,84.3%,Western Caro. -4.93,3.7,264,131,Western Caro. 12-2
2026-02-24,Navy,Coppin St.,Home,96.4%,3.6%,Navy -8.99,3.6,117,246,Navy 0-0
2026-02-24,Canisius,West Virginia,Away,2.6%,97.4%,West Virginia -10.16,3.6,299,23,Canisius 0-0
