Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-05,California Baptist,BYU,Home,54.9%,45.1%,California Baptist -0.6,7.6,53,121,California Baptist 13-11
2026-03-05,UC San Diego,Cincinnati,Home,28.9%,71.1%,Cincinnati -2.7,7.6,90,28,Cincinnati 9-5
2026-03-05,Austin Peay,Utah Tech,Away,42.7%,57.3%,Utah Tech -0.67,7.4,131,52,Utah Tech 15-11
2026-03-05,Washington St.,Texas St.,Home,24.9%,75.1%,Texas St. -3.38,7.1,110,33,Texas St. 13-11
2026-03-05,Santa Clara,Oklahoma,Home,15.5%,84.5%,Oklahoma -5.01,6.9,116,11,Oklahoma 2-1
2026-03-05,Lipscomb,Mississippi St.,Away,9.8%,90.3%,Mississippi St. -6.56,5.5,188,18,Mississippi St. 8-3
2026-03-05,UIC,Missouri,Home,27.1%,72.9%,Missouri -2.88,5.2,214,98,Missouri 9-8
2026-03-05,Michigan,Pepperdine,Away,86.7%,13.3%,Michigan -5.58,4.9,32,234,Michigan 17-4
2026-03-05,St. Thomas (MN),Kansas,Home,11.5%,88.5%,Kansas -5.89,4.3,260,47,Kansas 4-2
2026-03-05,Holy Cross,Portland,Away,21.5%,78.5%,Portland -3.45,3.9,259,144,Portland 15-3
