Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-26,Georgia,Ole Miss,Away,49.1%,50.9%,Georgia -0.03,9.7,10,12,Georgia 5-1
2026-04-26,Texas A&M,Florida,Home,57.3%,42.7%,Texas A&M -1.18,9.5,4,15,Texas A&M 5-1
2026-04-26,Oklahoma,Auburn,Home,39.8%,60.3%,Auburn -1.49,9.3,14,9,Auburn 14-4
2026-04-26,West Virginia,Cincinnati,Home,47.9%,52.1%,Cincinnati -0.2,9.3,19,34,Cincinnati 7-5
2026-04-26,Kansas,Kansas St.,Away,51.3%,48.7%,Kansas -0.62,9.3,8,40,Kansas 9-7
2026-04-26,Virginia,Pittsburgh,Home,48.3%,51.7%,Pittsburgh -0.26,9.1,36,37,Pittsburgh 7-3
2026-04-26,Texas,Vanderbilt,Away,57.0%,43.0%,Texas -1.23,9.1,3,43,Texas 4-3
2026-04-26,NC State,Virginia Tech,Away,57.1%,42.9%,NC State -0.98,8.7,42,49,Virginia Tech 5-4
2026-04-26,Clemson,Louisville,Away,46.7%,53.3%,Louisville -0.6,8.7,47,55,Louisville 7-5
2026-04-26,Boston College,Notre Dame,Away,47.0%,53.0%,Notre Dame -0.04,8.7,24,68,Boston College 7-6
2026-04-26,Wake Forest,Georgia Tech,Home,25.5%,74.5%,Georgia Tech -3.87,8.6,30,2,Georgia Tech 6-5
2026-04-26,Kentucky,South Carolina,Away,51.7%,48.3%,Kentucky -0.31,8.5,35,80,Kentucky 9-5
2026-04-26,Florida St.,Stanford,Away,64.0%,36.0%,Florida St. -1.97,8.4,17,66,Stanford 7-4
2026-04-26,Missouri St.,Louisiana Tech,Home,55.3%,44.7%,Missouri St. -0.57,8.4,38,76,Louisiana Tech 9-8
2026-04-26,South Fla.,East Carolina,Home,38.4%,61.6%,East Carolina -1.74,8.3,62,45,East Carolina 12-2
2026-04-26,LSU,Mississippi St.,Away,26.4%,73.6%,Mississippi St. -3.66,8.3,50,6,Mississippi St. 13-8
2026-04-26,Texas St.,Coastal Carolina,Home,30.1%,69.9%,Coastal Carolina -2.95,8.3,51,25,Texas St. 10-6
2026-04-26,Oklahoma St.,Texas Tech,Away,55.6%,44.4%,Oklahoma St. -1.1,8.3,33,86,Oklahoma St. 11-2
2026-04-26,Louisiana,Arkansas St.,Home,42.5%,57.5%,Arkansas St. -0.96,8.2,61,69,Arkansas St. 8-3
2026-04-26,California,Miami (FL),Away,25.8%,74.2%,Miami (FL) -3.6,8.1,56,20,Miami (FL) 4-1
2026-04-26,Southern Miss.,South Alabama,Home,65.9%,34.1%,Southern Miss. -2.33,8.1,18,77,South Alabama 4-3
2026-04-26,Purdue,Southern California,Away,24.7%,75.3%,Southern California -3.81,8.1,53,13,Southern California 11-4
2026-04-26,Baylor,Arizona St.,Home,27.0%,73.0%,Arizona St. -3.42,8.0,64,22,Arizona St. 11-4
2026-04-26,Nebraska,Illinois,Home,63.6%,36.4%,Nebraska -2.24,8.0,11,94,Nebraska 3-0
2026-04-26,Iowa,Indiana,Home,56.8%,43.3%,Iowa -1.09,7.8,52,107,Iowa 7-4
2026-04-26,ETSU,Western Caro.,Away,43.0%,57.0%,Western Caro. -1.01,7.7,97,75,Western Caro. 13-2
2026-04-26,Cal St. Fullerton,UC Santa Barbara,Away,28.9%,71.1%,UC Santa Barbara -3.05,7.7,85,32,Cal St. Fullerton 6-1
2026-04-26,Wofford,Mercer,Home,37.4%,62.6%,Mercer -1.79,7.7,92,59,Mercer 13-8
2026-04-26,UC Irvine,UC San Diego,Away,51.7%,48.3%,UC Irvine -0.21,7.6,112,89,UC Irvine 9-7
2026-04-26,Rice,Wichita St.,Away,44.7%,55.3%,Wichita St. -0.68,7.5,88,110,Wichita St. 13-3
2026-04-26,UTSA,Tulane,Home,60.5%,39.5%,UTSA -1.62,7.5,41,121,Tulane 12-7
2026-04-26,Utah Tech,California Baptist,Home,30.6%,69.4%,California Baptist -2.78,7.4,96,48,California Baptist 6-0
2026-04-26,Houston,TCU,Away,26.2%,73.8%,TCU -3.76,7.3,103,26,TCU 14-2
2026-04-26,New Mexico,Washington St.,Away,43.6%,56.4%,Washington St. -0.9,7.2,129,83,Washington St. 13-3
2026-04-26,Hawaii,Oregon St.,Away,20.4%,79.6%,Oregon St. -4.84,7.2,111,7,Oregon St. 3-1
2026-04-26,Maryland,Michigan St.,Away,46.3%,53.7%,Michigan St. -0.42,7.1,99,134,Michigan St. 13-1
2026-04-26,UNLV,Nevada,Home,41.1%,58.9%,Nevada -1.2,7.0,126,95,Nevada 9-1
2026-04-26,Ohio St.,Rutgers,Away,42.3%,57.7%,Rutgers -1.09,7.0,114,122,Rutgers 11-5
2026-04-26,Kennesaw St.,Western Ky.,Away,29.5%,70.5%,Western Ky. -2.82,6.9,104,98,Kennesaw St. 9-6
2026-04-26,Troy,Marshall,Home,55.3%,44.7%,Troy -0.94,6.8,84,161,Troy 1-0
2026-04-26,St. John's (NY),Xavier,Away,40.9%,59.1%,Xavier -1.03,6.8,127,118,Xavier 16-6
2026-04-26,Campbell,Col. of Charleston,Away,60.1%,39.9%,Campbell -1.57,6.8,57,158,Campbell 6-4
2026-04-26,Washington,Michigan,Home,31.9%,68.1%,Michigan -2.73,6.8,147,46,Washington 7-5
2026-04-26,Charlotte,Fla. Atlantic,Away,43.4%,56.6%,Fla. Atlantic -0.82,6.8,117,136,Charlotte 5-4
2026-04-26,CSUN,Cal Poly,Away,29.8%,70.2%,Cal Poly -3.03,6.6,138,73,Cal Poly 5-2
2026-04-26,Kent St.,Western Mich.,Away,64.5%,35.5%,Kent St. -2.24,6.6,60,159,Western Mich. 4-3
2026-04-26,Old Dominion,Georgia St.,Home,42.5%,57.5%,Georgia St. -1.02,6.5,150,130,Georgia St. 8-7
2026-04-26,Saint Mary's (CA),San Diego,Away,57.9%,42.1%,Saint Mary's (CA) -1.25,6.5,87,170,San Diego 16-6
2026-04-26,SIUE,Southeast Mo. St.,Away,31.2%,68.8%,Southeast Mo. St. -2.74,6.4,157,67,SIUE 9-2
2026-04-26,Sacramento St.,UCLA,Away,8.8%,91.2%,UCLA -8.04,6.4,135,1,Sacramento St. 9-6
2026-04-26,USC Upstate,Samford,Home,36.9%,63.1%,Samford -2.07,6.4,154,100,Samford 9-6
2026-04-26,North Florida,FGCU,Home,34.7%,65.3%,FGCU -2.05,6.4,143,109,FGCU 13-3
2026-04-26,Northwestern,Minnesota,Home,23.9%,76.1%,Minnesota -3.93,6.4,142,65,Minnesota 7-2
2026-04-26,UTRGV,McNeese,Home,45.9%,54.1%,McNeese -0.47,6.4,148,156,UTRGV 10-7
2026-04-26,Little Rock,Lindenwood,Home,51.2%,48.8%,Little Rock -0.19,6.4,125,172,Lindenwood 3-0
2026-04-26,Memphis,UAB,Away,27.1%,72.9%,UAB -3.44,6.3,165,44,UAB 11-2
2026-04-26,VMI,High Point,Home,22.4%,77.6%,High Point -4.35,6.2,151,63,High Point 5-2
2026-04-26,VMI,High Point,Home,22.4%,77.6%,High Point -4.35,6.2,151,63,High Point 12-6
2026-04-26,Portland,Santa Clara,Away,54.5%,45.5%,Portland -0.8,6.2,101,195,Portland 3-1
2026-04-26,Longwood,Binghamton,Home,41.9%,58.1%,Binghamton -1.13,6.1,160,155,Longwood 9-7
2026-04-26,Middle Tenn.,Sam Houston,Away,45.2%,54.8%,Sam Houston -0.7,6.1,173,145,Sam Houston 9-4
2026-04-26,VCU,Richmond,Home,41.2%,58.8%,Richmond -1.28,6.0,153,164,VCU 2-1
2026-04-26,San Jose St.,Air Force,Home,35.0%,65.0%,Air Force -2.12,6.0,167,120,Air Force 11-5
2026-04-26,New Mexico St.,Jacksonville St.,Home,14.7%,85.3%,Jacksonville St. -6.07,6.0,168,23,Jacksonville St. 10-0
2026-04-26,Austin Peay,Lipscomb,Away,52.6%,47.4%,Austin Peay -0.36,5.8,166,192,Austin Peay 6-2
2026-04-26,UT Arlington,Abilene Christian,Home,33.6%,66.4%,Abilene Christian -2.27,5.7,169,140,Abilene Christian 14-4
2026-04-26,DBU,FIU,Away,68.2%,31.8%,DBU -2.8,5.7,74,206,FIU 13-10
2026-04-26,A&M-Corpus Christi,UIW,Away,48.4%,51.6%,A&M-Corpus Christi -0.03,5.7,180,188,A&M-Corpus Christi 11-4
2026-04-26,James Madison,ULM,Away,38.2%,61.8%,ULM -1.61,5.7,175,152,James Madison 10-2
2026-04-26,Rider,Monmouth,Home,45.9%,54.1%,Monmouth -0.53,5.7,190,163,Monmouth 12-2
2026-04-26,Southern Ind.,Morehead St.,Home,49.5%,50.5%,Morehead St. -0.24,5.6,199,179,Morehead St. 17-13
2026-04-26,Houston Christian,Southeastern La.,Away,25.1%,74.9%,Southeastern La. -3.77,5.6,181,90,Southeastern La. 4-1
2026-04-26,Winthrop,Gardner-Webb,Home,66.8%,33.2%,Winthrop -2.46,5.6,102,200,Gardner-Webb 7-6
2026-04-26,Lamar University,New Orleans,Away,59.8%,40.2%,Lamar University -1.55,5.5,113,222,Lamar University 20-1
2026-04-26,San Diego St.,Fresno St.,Home,62.5%,37.5%,San Diego St. -2.09,5.4,79,239,San Diego St. 6-2
2026-04-26,Evansville,Indiana St.,Away,26.5%,73.5%,Indiana St. -3.46,5.4,185,116,Evansville 4-3
2026-04-26,UNC Greensboro,The Citadel,Home,29.4%,70.6%,The Citadel -3.09,5.4,201,106,UNC Greensboro 9-4
2026-04-26,Yale,Columbia,Home,52.6%,47.4%,Yale -0.33,5.3,174,221,Columbia 9-8
2026-04-26,Penn St.,Oregon,Home,13.4%,86.6%,Oregon -6.46,5.3,209,21,Oregon 5-0
2026-04-26,Murray St.,Southern Ill.,Away,50.9%,49.1%,Murray St. -0.38,5.3,146,236,Murray St. 7-5
2026-04-26,UNCW,Elon,Home,71.0%,29.0%,UNCW -3.21,5.3,91,213,UNCW 8-1
2026-04-26,SFA,Northwestern St.,Home,26.7%,73.3%,Northwestern St. -3.3,5.3,183,131,SFA 11-8
2026-04-26,Eastern Ill.,UT Martin,Away,55.9%,44.1%,Eastern Ill. -1.05,5.3,133,232,UT Martin 11-8
2026-04-26,Yale,Columbia,Home,52.6%,47.4%,Yale -0.33,5.3,174,221,Yale 15-15
2026-04-26,Bethune-Cookman,Florida A&M,Away,61.7%,38.3%,Bethune-Cookman -1.76,5.2,123,227,Florida A&M 15-13
2026-04-26,UConn,Georgetown,Home,74.7%,25.3%,UConn -3.89,5.1,82,224,UConn 3-2
