Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-01,Clemson,Wake Forest,Neutral,44.9%,55.1%,Wake Forest -0.63,9.0,43,27,Wake Forest 15-4
2026-04-01,UCF,Penn St.,Home,82.9%,17.1%,UCF -4.69,5.1,25,231,
2026-04-01,Rhode Island,Holy Cross,Home,55.8%,44.2%,Rhode Island -0.78,4.0,253,255,
2026-04-01,Iona,La Salle,Away,47.1%,52.9%,La Salle -0.51,3.7,299,226,La Salle 18-13
2026-04-01,Manhattan,Lafayette,Home,45.9%,54.1%,Lafayette -0.48,3.6,279,262,Lafayette 6-5
2026-04-01,Mississippi Val.,Alcorn,Home,70.8%,29.2%,Mississippi Val. -2.64,2.3,295,303,Mississippi Val. 6-5
2026-04-01,Mississippi Val.,Alcorn,Home,70.8%,29.2%,Mississippi Val. -2.64,2.3,295,303,Mississippi Val. 15-8
