Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-18,Georgia Tech,North Carolina,Away,50.9%,49.1%,Georgia Tech -0.11,9.9,2,5,North Carolina 14-4
2026-04-18,Auburn,Florida,Away,50.1%,49.9%,Auburn -0.1,9.8,6,14,Auburn 8-5
2026-04-18,Southern California,Nebraska,Home,44.5%,55.5%,Nebraska -0.84,9.5,17,9,Nebraska 12-2
2026-04-18,Ole Miss,Tennessee,Away,51.4%,48.6%,Ole Miss -0.27,9.5,10,27,Ole Miss 8-1
2026-04-18,Vanderbilt,Kentucky,Home,49.7%,50.3%,Kentucky -0.05,9.3,37,25,Vanderbilt 8-7
2026-04-18,NC State,Wake Forest,Away,49.2%,50.8%,Wake Forest -0.11,9.3,35,23,Wake Forest 18-7
2026-04-18,Clemson,Virginia,Away,48.8%,51.2%,Virginia -0.19,9.2,38,28,Virginia 5-4
2026-04-18,Alabama,Texas,Away,36.6%,63.4%,Texas -1.64,9.2,15,3,Texas 3-1
2026-04-18,Kansas,Oklahoma St.,Away,54.7%,45.3%,Kansas -0.81,9.1,18,41,Oklahoma St. 13-2
2026-04-18,Georgia,Arkansas,Home,60.3%,39.7%,Georgia -1.28,9.1,7,30,Georgia 26-14
2026-04-18,Kansas,Oklahoma St.,Away,54.7%,45.3%,Kansas -0.81,9.1,18,41,Kansas 13-3
2026-04-18,Cincinnati,UCF,Away,53.2%,46.8%,Cincinnati -0.39,9.0,36,39,Cincinnati 9-3
2026-04-18,Liberty,DBU,Home,48.1%,51.9%,Liberty -0.01,8.7,31,68,DBU 7-6
2026-04-18,Pittsburgh,Virginia Tech,Away,52.0%,48.0%,Pittsburgh -0.16,8.7,52,57,Pittsburgh 5-4
2026-04-18,Texas A&M,LSU,Home,69.6%,30.4%,Texas A&M -2.56,8.6,4,44,Texas A&M 7-2
2026-04-18,Louisville,California,Home,54.0%,46.0%,Louisville -0.49,8.4,69,56,California 6-5
2026-04-18,California Baptist,Tarleton St.,Away,59.4%,40.6%,California Baptist -1.02,8.4,43,63,Tarleton St. 3-2
2026-04-18,Texas St.,Southern Miss.,Home,29.5%,70.5%,Southern Miss. -2.54,8.3,51,20,Southern Miss. 6-3
2026-04-18,Texas Tech,Utah,Away,55.8%,44.2%,Texas Tech -0.39,8.3,77,50,Utah 12-2
