Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-02,Utah,LMU (CA),Home,53.6%,46.4%,Utah -0.52,6.9,80,157,Utah 13-4
2026-03-02,Nevada,Stanford,Away,38.3%,61.7%,Stanford -1.26,6.6,97,147,Nevada 9-6
2026-03-02,Northeastern,LSU,Home,15.5%,84.5%,LSU -4.94,6.1,161,19,Northeastern 13-10
2026-03-02,San Diego St.,Washington,Away,39.2%,60.8%,Washington -1.21,5.4,104,226,Washington 4-1
2026-03-02,Air Force,UT Arlington,Away,51.7%,48.3%,Air Force -0.02,5.4,205,190,Air Force 7-1
2026-03-02,Toledo,Lipscomb,Home,36.4%,63.6%,Lipscomb -1.37,4.3,244,194,Lipscomb 13-5
2026-03-02,Holy Cross,Seattle U,Away,51.1%,48.9%,Holy Cross -0.42,3.9,247,280,Holy Cross 7-3
