Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-11,Texas,Texas A&M,Away,50.9%,49.1%,Texas -0.21,9.9,3,5,Texas A&M 11-4
2026-04-11,Florida,Georgia,Away,38.0%,62.0%,Georgia -1.4,9.4,6,7,Georgia 5-1
2026-04-11,Kentucky,Auburn,Home,42.6%,57.4%,Auburn -0.86,9.4,19,9,Kentucky 5-4
2026-04-11,Nebraska,Oregon,Away,49.2%,50.8%,Nebraska -0.11,9.4,16,29,Nebraska 10-8
2026-04-11,Arkansas,Alabama,Home,43.0%,57.0%,Alabama -0.79,9.3,27,12,Arkansas 15-6
2026-04-11,Wake Forest,Miami (FL),Home,44.8%,55.2%,Miami (FL) -0.63,9.2,28,21,Wake Forest 3-1
2026-04-11,Tennessee,Mississippi St.,Home,38.1%,61.9%,Mississippi St. -1.43,9.1,26,10,Tennessee 6-2
2026-04-11,Jacksonville St.,Liberty,Away,56.5%,43.5%,Jacksonville St. -0.83,9.1,24,32,Liberty 7-6
2026-04-11,UCF,Kansas,Home,40.6%,59.4%,Kansas -1.22,9.0,31,23,Kansas 6-3
2026-04-11,Florida St.,Georgia Tech,Away,31.0%,69.0%,Georgia Tech -2.44,9.0,14,2,Georgia Tech 17-3
2026-04-11,UCF,Kansas,Home,40.6%,59.4%,Kansas -1.22,9.0,31,23,Kansas 3-1
2026-04-11,Oklahoma,Vanderbilt,Away,56.7%,43.3%,Oklahoma -0.9,8.9,13,49,Oklahoma 6-5
2026-04-11,Virginia,Notre Dame,Home,56.6%,43.4%,Virginia -0.85,8.8,25,50,Notre Dame 5-3
2026-04-11,LSU,Ole Miss,Away,40.0%,60.0%,Ole Miss -1.21,8.8,45,15,Ole Miss 12-2
2026-04-11,North Carolina,Clemson,Home,65.1%,34.8%,North Carolina -2.02,8.8,4,39,North Carolina 6-4
2026-04-11,Virginia Tech,Boston College,Home,39.6%,60.4%,Boston College -1.33,8.5,57,35,Boston College 8-7
2026-04-11,Oklahoma St.,Kansas St.,Home,38.8%,61.2%,Kansas St. -1.36,8.5,51,34,Kansas St. 13-9
2026-04-11,South Fla.,UTSA,Away,35.5%,64.5%,UTSA -1.67,8.4,48,40,UTSA 7-3
2026-04-11,South Fla.,UTSA,Away,35.5%,64.5%,UTSA -1.67,8.4,48,40,South Fla. 7-1
2026-04-11,West Virginia,Texas Tech,Home,67.2%,32.8%,West Virginia -2.16,8.4,18,55,Texas Tech 4-1
2026-04-11,Baylor,Cincinnati,Away,37.1%,62.9%,Cincinnati -1.49,8.4,54,38,Cincinnati 8-0
2026-04-11,Southern Miss.,Louisiana,Home,66.4%,33.6%,Southern Miss. -2.12,8.3,22,62,Louisiana 8-4
2026-04-11,Portland,Gonzaga,Home,47.1%,52.9%,Gonzaga -0.42,8.3,71,70,Gonzaga 11-3
2026-04-11,Troy,Texas St.,Home,44.2%,55.8%,Texas St. -0.65,8.2,83,47,Troy 12-11
2026-04-11,BYU,Houston,Away,50.8%,49.2%,BYU -0.29,8.2,64,90,BYU 6-1
2026-04-11,California,Pittsburgh,Away,35.9%,64.1%,Pittsburgh -1.6,8.2,59,46,California 14-6
2026-04-11,Troy,Texas St.,Home,44.2%,55.8%,Texas St. -0.65,8.2,83,47,Troy 15-2
2026-04-11,UNCW,Campbell,Home,50.1%,49.9%,Campbell -0.09,8.1,100,58,Campbell 7-3
2026-04-11,South Carolina,Missouri,Home,55.6%,44.4%,South Carolina -0.78,8.1,73,78,South Carolina 6-4
2026-04-11,Duke,NC State,Away,32.5%,67.5%,NC State -2.18,8.0,68,36,NC State 18-5
2026-04-11,Utah,Arizona St.,Home,22.5%,77.5%,Arizona St. -3.46,7.9,56,20,Arizona St. 14-13
2026-04-11,Coastal Carolina,Arkansas St.,Home,73.7%,26.3%,Coastal Carolina -3.25,7.9,17,72,Coastal Carolina 4-3
2026-04-11,UC San Diego,UC Santa Barbara,Away,27.8%,72.2%,UC Santa Barbara -2.69,7.9,67,37,UC Santa Barbara 11-10
2026-04-11,Stanford,Louisville,Home,35.5%,64.5%,Louisville -1.75,7.8,77,65,Louisville 10-0
2026-04-11,Wichita St.,UAB,Home,40.4%,59.6%,UAB -1.3,7.8,103,43,Wichita St. 5-4
2026-04-11,Iowa,Southern California,Away,24.8%,75.2%,Southern California -3.31,7.8,75,11,Southern California 6-3
2026-04-11,Rice,Charlotte,Home,38.6%,61.4%,Charlotte -1.08,7.8,60,85,Rice 6-2
2026-04-11,Mercer,Western Caro.,Away,60.2%,39.8%,Mercer -1.16,7.6,61,102,Western Caro. 17-9
2026-04-11,Indiana,Maryland,Away,50.0%,50.0%,Indiana -0.06,7.6,101,109,Maryland 14-4
2026-04-11,Cal Poly,Oregon St.,Away,17.5%,82.5%,Oregon St. -4.6,7.5,80,8,Oregon St. 11-6
2026-04-11,UC Irvine,Hawaii,Home,42.9%,57.1%,Hawaii -0.89,7.4,110,91,Hawaii 3-0
2026-04-11,Purdue,Northwestern,Home,62.6%,37.4%,Purdue -1.66,7.4,53,113,Purdue 3-2
2026-04-11,The Citadel,Wofford,Away,42.0%,58.0%,Wofford -0.93,7.4,106,96,Wofford 6-5
2026-04-11,San Diego St.,New Mexico,Home,45.0%,55.0%,New Mexico -0.65,7.3,114,107,New Mexico 11-3
2026-04-11,Abilene Christian,Tarleton St.,Away,42.9%,57.1%,Tarleton St. -0.89,7.3,129,69,Tarleton St. 10-9
2026-04-11,Arizona,TCU,Away,32.1%,67.9%,TCU -2.25,7.2,125,30,TCU 5-0
2026-04-11,East Carolina,Tulane,Away,62.1%,37.9%,East Carolina -1.67,7.2,41,136,East Carolina 9-6
2026-04-11,Arizona,TCU,Away,32.1%,67.9%,TCU -2.25,7.2,125,30,Arizona 3-2
2026-04-11,Kent St.,NIU,Away,69.9%,30.1%,Kent St. -2.55,7.0,52,126,Kent St. 9-8
2026-04-11,Michigan,Michigan St.,Away,68.1%,31.9%,Michigan -2.41,6.8,44,146,Michigan 6-4
2026-04-11,ULM,App State,Home,47.0%,53.0%,App State -0.33,6.8,142,123,ULM 14-9
2026-04-11,James Madison,Georgia St.,Home,50.7%,49.3%,James Madison -0.11,6.8,131,145,Georgia St. 10-0
2026-04-11,Lamar University,Nicholls,Away,54.3%,45.7%,Lamar University -0.49,6.8,121,140,Nicholls 11-10
2026-04-11,VMI,Samford,Home,39.0%,61.0%,Samford -1.33,6.7,118,130,Samford 8-3
2026-04-11,Charleston So.,USC Upstate,Away,41.5%,58.5%,USC Upstate -1.1,6.7,139,111,USC Upstate 15-9
2026-04-11,Indiana St.,Illinois St.,Home,47.4%,52.6%,Illinois St. -0.36,6.7,150,128,Illinois St. 6-4
2026-04-11,Washington,Minnesota,Home,36.1%,63.9%,Minnesota -1.59,6.7,147,76,Minnesota 5-4
2026-04-11,UCLA,Rutgers,Home,92.2%,7.8%,UCLA -7.22,6.6,1,116,UCLA 7-1
2026-04-11,UT Arlington,California Baptist,Home,22.0%,78.0%,California Baptist -3.6,6.5,143,42,California Baptist 6-4
2026-04-11,UT Arlington,California Baptist,Home,22.0%,78.0%,California Baptist -3.6,6.5,143,42,UT Arlington 19-1
2026-04-11,South Alabama,Ga. Southern,Home,60.0%,40.0%,South Alabama -1.21,6.4,79,176,South Alabama 13-5
2026-04-11,Little Rock,SIUE,Away,49.3%,50.7%,SIUE -0.03,6.3,141,174,SIUE 6-2
2026-04-11,Old Dominion,Marshall,Home,43.2%,56.8%,Marshall -0.68,6.2,154,158,Old Dominion 4-1
2026-04-11,Saint Joseph's,Dayton,Home,53.3%,46.7%,Saint Joseph's -0.77,6.2,95,197,Saint Joseph's 5-4
2026-04-11,Jacksonville,FGCU,Home,33.8%,66.2%,FGCU -1.78,6.2,155,115,Jacksonville 4-1
2026-04-11,San Diego,San Francisco,Away,56.5%,43.5%,San Diego -0.81,6.1,144,172,San Francisco 7-5
2026-04-11,DBU,Sam Houston,Away,77.9%,22.1%,DBU -3.75,6.0,74,156,DBU 14-3
2026-04-11,Saint Mary's (CA),Santa Clara,Away,64.0%,36.0%,Saint Mary's (CA) -1.87,6.0,105,180,Saint Mary's (CA) 8-4
2026-04-11,Radford,High Point,Home,20.3%,79.7%,High Point -3.88,5.9,166,63,High Point 6-2
2026-04-11,San Jose St.,Nevada,Home,37.6%,62.4%,Nevada -1.44,5.9,182,117,San Jose St. 12-6
2026-04-11,UNLV,Grand Canyon,Home,55.7%,44.3%,UNLV -0.79,5.9,135,194,Grand Canyon 6-1
2026-04-11,Middle Tenn.,Louisiana Tech,Home,31.4%,68.5%,Louisiana Tech -2.32,5.9,170,108,Louisiana Tech 8-2
2026-04-11,Southern Ind.,Eastern Ill.,Home,39.4%,60.6%,Eastern Ill. -1.42,5.8,183,137,Eastern Ill. 3-1
2026-04-11,UIW,McNeese,Home,35.8%,64.2%,McNeese -1.62,5.8,157,160,McNeese 8-3
2026-04-11,Kennesaw St.,FIU,Home,60.9%,39.1%,Kennesaw St. -1.42,5.8,84,209,FIU 4-3
2026-04-11,Houston Christian,Northwestern St.,Away,27.8%,72.2%,Northwestern St. -2.76,5.7,179,97,Northwestern St. 2-1
2026-04-11,UTRGV,SFA,Home,62.0%,38.0%,UTRGV -1.22,5.7,178,153,SFA 5-3
2026-04-11,Richmond,George Mason,Home,51.7%,48.3%,Richmond -0.32,5.6,169,204,Richmond 11-3
2026-04-11,Penn St.,Ohio St.,Home,35.4%,64.6%,Ohio St. -1.77,5.6,217,81,Ohio St. 3-2
2026-04-11,Toledo,Western Mich.,Away,49.8%,50.2%,Western Mich. -0.03,5.5,211,173,Western Mich. 8-6
2026-04-11,Rider,Fairfield,Home,47.1%,52.9%,Fairfield -0.34,5.5,192,195,Rider 6-3
2026-04-11,Central Ark.,Lipscomb,Away,48.1%,51.9%,Lipscomb -0.1,5.5,167,210,Central Ark. 10-5
2026-04-11,Cal St. Fullerton,Long Beach St.,Away,64.3%,35.7%,Cal St. Fullerton -1.81,5.5,112,206,Long Beach St. 4-3
2026-04-11,North Ala.,Austin Peay,Home,41.3%,58.7%,Austin Peay -0.92,5.5,187,175,North Ala. 13-12
2026-04-11,New Mexico St.,Western Ky.,Away,21.0%,79.0%,Western Ky. -3.8,5.4,184,92,Western Ky. 9-4
2026-04-11,Oral Roberts,Omaha,Home,73.1%,26.9%,Oral Roberts -3.12,5.3,82,214,Oral Roberts 13-1
2026-04-11,UMBC,Binghamton,Home,37.7%,62.3%,Binghamton -1.61,5.3,200,163,Binghamton 4-3
2026-04-11,A&M-Corpus Christi,Southeastern La.,Away,24.7%,75.3%,Southeastern La. -3.27,5.3,199,94,Southeastern La. 10-5
2026-04-11,Fla. Atlantic,Memphis,Away,69.1%,30.9%,Fla. Atlantic -2.38,5.2,122,208,Fla. Atlantic 6-4
2026-04-11,Gardner-Webb,Washington St.,Away,26.3%,73.7%,Washington St. -3.07,5.2,213,93,Washington St. 5-3
2026-04-11,UNC Greensboro,Northern Ky.,Home,63.4%,36.6%,UNC Greensboro -1.65,5.2,164,201,UNC Greensboro 17-6
2026-04-11,Holy Cross,Bucknell,Home,52.4%,47.6%,Holy Cross -0.27,5.1,226,189,Bucknell 5-4
2026-04-11,Morehead St.,Southeast Mo. St.,Away,15.8%,84.2%,Southeast Mo. St. -4.84,5.1,205,66,Southeast Mo. St. 10-8
2026-04-11,Holy Cross,Bucknell,Home,52.4%,47.6%,Holy Cross -0.27,5.1,226,189,Holy Cross 7-5
2026-04-11,Georgetown,St. John's (NY),Away,29.3%,70.7%,St. John's (NY) -2.75,5.0,212,138,St. John's (NY) 9-0
2026-04-11,Southern Ill.,Evansville,Home,49.7%,50.3%,Evansville -0.26,5.0,251,159,Evansville 7-3
2026-04-11,Seton Hall,Creighton,Home,24.7%,75.3%,Creighton -3.34,5.0,223,88,Creighton 9-1
2026-04-11,Fresno St.,Air Force,Home,41.7%,58.3%,Air Force -1.08,5.0,233,152,Air Force 15-13
2026-04-11,ETSU,Belmont,Home,75.4%,24.6%,ETSU -3.36,4.9,86,230,Belmont 10-8
2026-04-11,Towson,Monmouth,Home,41.0%,59.0%,Monmouth -1.19,4.9,237,162,Monmouth 6-5
2026-04-11,New Orleans,Illinois,Home,26.0%,74.0%,Illinois -3.09,4.9,234,89,Illinois 4-3
2026-04-11,ETSU,Belmont,Home,75.4%,24.6%,ETSU -3.36,4.9,86,230,ETSU 8-4
2026-04-11,William & Mary,Elon,Home,45.5%,54.5%,Elon -0.31,4.8,198,231,William & Mary 13-1
2026-04-11,VCU,Fordham,Home,68.5%,31.5%,VCU -2.31,4.8,124,236,VCU 13-1
2026-04-11,Stony Brook,Hofstra,Home,44.0%,56.0%,Hofstra -0.64,4.8,228,203,Stony Brook 5-0
2026-04-11,Murray St.,UIC,Away,65.1%,34.9%,Murray St. -1.81,4.7,149,239,UIC 8-2
2026-04-11,Central Mich.,Bowling Green,Home,34.2%,65.8%,Bowling Green -1.93,4.6,227,177,Central Mich. 5-0
2026-04-11,Utah Valley,Sacramento St.,Home,36.2%,63.8%,Sacramento St. -1.69,4.6,225,188,Sacramento St. 9-5
2026-04-11,Missouri St.,Delaware,Home,86.1%,13.9%,Missouri St. -5.4,4.6,33,254,Missouri St. 15-10
2026-04-11,Pacific,Pepperdine,Away,45.8%,54.2%,Pepperdine -0.58,4.4,249,222,Pepperdine 10-3
2026-04-11,Tennessee Tech,UT Martin,Away,42.8%,57.2%,UT Martin -0.88,4.4,242,215,UT Martin 8-4
2026-04-11,North Florida,West Ga.,Away,69.6%,30.4%,North Florida -2.59,4.4,132,255,North Florida 5-3
2026-04-11,UConn,Butler,Home,82.4%,17.6%,UConn -4.51,4.3,104,241,UConn 3-1
2026-04-11,CSUN,UC Riverside,Away,76.3%,23.7%,CSUN -3.34,4.2,127,256,UC Riverside 9-8
2026-04-11,LMU (CA),Seattle U,Away,56.1%,43.9%,LMU (CA) -0.66,4.2,216,258,Seattle U 8-6
2026-04-11,Princeton,Columbia,Home,38.9%,61.1%,Columbia -1.51,4.1,244,232,Princeton 11-7
2026-04-11,Princeton,Columbia,Home,38.9%,61.1%,Columbia -1.51,4.1,244,232,Columbia 8-6
2026-04-11,Maine,Northeastern,Away,19.7%,80.3%,Northeastern -4.07,4.1,240,148,Maine 5-0
2026-04-11,Quinnipiac,Marist,Home,54.4%,45.6%,Quinnipiac -0.33,4.1,257,243,Marist 9-2
2026-04-11,Harvard,Yale,Away,27.2%,72.8%,Yale -2.94,4.0,259,165,Yale 9-6
2026-04-11,Harvard,Yale,Away,27.2%,72.8%,Yale -2.94,4.0,259,165,Harvard 5-3
2026-04-11,Villanova,Xavier,Away,20.4%,79.6%,Xavier -4.04,4.0,263,119,Xavier 9-7
2026-04-11,South Dakota St.,St. Thomas (MN),Away,55.6%,44.4%,South Dakota St. -0.67,4.0,219,274,South Dakota St. 13-2
2026-04-11,Milwaukee,Oakland,Away,43.8%,56.2%,Oakland -0.84,4.0,270,221,Oakland 6-5
2026-04-11,UNC Asheville,Longwood,Home,24.0%,76.0%,Longwood -3.32,3.9,260,151,Longwood 9-2
2026-04-11,Bellarmine,Eastern Ky.,Away,59.6%,40.4%,Bellarmine -1.36,3.8,229,272,Bellarmine 14-10
2026-04-11,Stonehill,FDU,Home,34.8%,65.2%,FDU -1.83,3.8,271,196,FDU 6-5
2026-04-11,Queens (NC),Stetson,Away,23.8%,76.2%,Stetson -3.32,3.8,248,185,Queens (NC) 8-2
2026-04-11,Winthrop,Presbyterian,Home,83.5%,16.5%,Winthrop -4.81,3.8,87,286,Presbyterian 5-2
2026-04-11,Sacred Heart,Iona,Home,49.8%,50.2%,Sacred Heart -0.04,3.7,267,283,Iona 6-3
2026-04-11,La Salle,Rhode Island,Away,24.8%,75.2%,Rhode Island -3.26,3.7,238,224,La Salle 4-3
2026-04-11,Akron,Ball St.,Away,21.3%,78.7%,Ball St. -3.8,3.6,264,171,Ball St. 3-2
2026-04-11,Brown,Dartmouth,Away,66.0%,34.0%,Brown -2.06,3.6,202,284,Brown 13-3
2026-04-11,Siena,Manhattan,Home,50.4%,49.6%,Siena -0.05,3.6,273,285,Manhattan 8-5
2026-04-11,Merrimack,Northeastern,Away,14.6%,85.4%,Northeastern -5.11,3.6,262,148,Northeastern 9-2
2026-04-11,Brown,Dartmouth,Away,66.0%,34.0%,Brown -2.06,3.6,202,284,Dartmouth 4-0
2026-04-11,Florida A&M,Jackson St.,Away,68.6%,31.4%,Florida A&M -2.36,3.5,220,275,Florida A&M 8-7
2026-04-11,Canisius,Niagara,Away,38.0%,62.0%,Niagara -1.5,3.5,281,235,Niagara 6-4
2026-04-11,Saint Louis,George Washington,Home,60.7%,39.3%,Saint Louis -1.29,3.5,250,276,George Washington 13-4
2026-04-11,Canisius,Niagara,Away,38.0%,62.0%,Niagara -1.5,3.5,281,235,Niagara 6-5
2026-04-11,Southern U.,Grambling,Home,58.1%,41.9%,Southern U. -0.98,3.4,268,279,Southern U. 7-6
2026-04-11,UAlbany,Bryant,Home,19.7%,80.3%,Bryant -4.04,3.4,277,168,UAlbany 6-3
2026-04-11,Ohio,Miami (OH),Home,9.5%,90.5%,Miami (OH) -6.48,3.3,292,99,Miami (OH) 15-5
2026-04-11,Wright St.,Youngstown St.,Away,89.9%,10.1%,Wright St. -6.38,3.3,98,296,Wright St. 8-5
2026-04-11,St. Bonaventure,Davidson,Home,27.8%,72.2%,Davidson -2.92,3.3,291,190,Davidson 19-9
2026-04-11,N.C. A&T,Col. of Charleston,Home,15.7%,84.3%,Col. of Charleston -4.94,3.2,280,161,Col. of Charleston 6-4
2026-04-11,Massachusetts,Eastern Mich.,Home,37.3%,62.7%,Eastern Mich. -1.4,3.2,282,265,Massachusetts 10-0
2026-04-11,NJIT,UMass Lowell,Away,36.4%,63.6%,UMass Lowell -1.52,3.2,289,246,UMass Lowell 4-3
2026-04-11,Army West Point,Lehigh,Away,76.7%,23.3%,Army West Point -3.52,3.1,181,300,Army West Point 13-9
2026-04-11,North Dakota St.,Northern Colo.,Away,63.9%,36.1%,North Dakota St. -1.63,3.1,266,288,Northern Colo. 11-10
2026-04-11,Army West Point,Lehigh,Away,76.7%,23.3%,Army West Point -3.52,3.1,181,300,Army West Point 4-2
2026-04-11,Western Ill.,Lindenwood,Home,27.5%,72.5%,Lindenwood -2.9,3.1,294,207,Lindenwood 4-1
