Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-03-07,Virginia,North Carolina,Home,41.9%,58.1%,North Carolina -1.01,9.2,24,22,Virginia 9-2
2026-03-07,Virginia,North Carolina,Home,41.9%,58.1%,North Carolina -1.01,9.2,24,22,North Carolina 8-7
2026-03-07,Louisiana,DBU,Home,49.0%,51.0%,Louisiana -0.11,8.7,7,84,Louisiana 11-6
2026-03-07,Notre Dame,Duke,Home,46.7%,53.3%,Duke -0.32,8.6,33,69,Duke 6-5
2026-03-07,Oregon,Purdue,Away,69.5%,30.6%,Oregon -2.35,8.3,28,50,Purdue 2-1
2026-03-07,Louisiana Tech,South Alabama,Away,48.9%,51.1%,South Alabama -0.14,8.3,87,55,Louisiana Tech 6-2
2026-03-07,San Diego,California,Home,28.2%,71.8%,California -2.67,7.9,74,20,California 15-9
2026-03-07,San Diego,California,Home,28.2%,71.8%,California -2.67,7.9,74,20,California 9-1
2026-03-07,East Carolina,Coastal Carolina,Home,32.8%,67.2%,Coastal Carolina -2.22,7.8,77,45,Coastal Carolina 7-1
2026-03-07,Maryland,Troy,Away,44.7%,55.3%,Troy -0.58,7.8,72,99,Maryland 9-3
2026-03-07,Arkansas St.,Oral Roberts,Away,58.0%,42.0%,Arkansas St. -0.94,7.7,67,102,Oral Roberts 3-2
2026-03-07,Western Caro.,Charlotte,Home,28.1%,71.9%,Charlotte -2.7,7.7,83,34,Charlotte 4-0
2026-03-07,Charleston So.,Georgia St.,Away,57.7%,42.3%,Charleston So. -1.06,7.7,62,106,Georgia St. 5-2
2026-03-07,Charleston So.,Georgia St.,Away,57.7%,42.3%,Charleston So. -1.06,7.7,62,106,Charleston So. 10-1
2026-03-07,Arkansas St.,Oral Roberts,Away,58.0%,42.0%,Arkansas St. -0.94,7.7,67,102,Oral Roberts 3-2
2026-03-07,Austin Peay,Utah Tech,Away,48.6%,51.4%,Utah Tech -0.01,7.6,123,75,Utah Tech 7-6
2026-03-07,Boston College,Miami (FL),Away,29.7%,70.3%,Miami (FL) -2.56,7.6,89,39,Miami (FL) 5-3
2026-03-07,Virginia Tech,Georgia Tech,Home,19.6%,80.4%,Georgia Tech -4.24,7.6,71,17,Georgia Tech 14-5
2026-03-07,Illinois,Southern California,Away,15.2%,84.8%,Southern California -4.94,7.4,80,3,Southern California 4-0
2026-03-07,Cal Poly,Hawaii,Away,42.2%,57.8%,Hawaii -0.76,7.4,81,112,Cal Poly 10-7
2026-03-07,Winthrop,Auburn,Home,13.8%,86.2%,Auburn -5.4,7.4,78,8,Auburn 6-0
2026-03-07,Xavier,Oregon St.,Home,21.2%,78.8%,Oregon St. -3.92,7.4,93,10,Oregon St. 7-2
2026-03-07,Winthrop,Auburn,Home,13.8%,86.2%,Auburn -5.4,7.4,78,8,Auburn 8-1
2026-03-07,Saint Mary's (CA),San Diego St.,Away,60.0%,40.0%,Saint Mary's (CA) -1.39,7.3,107,94,Saint Mary's (CA) 12-9
2026-03-07,Tarleton St.,New Mexico,Home,43.2%,56.8%,New Mexico -0.67,7.2,95,120,Tarleton St. 15-10
2026-03-07,Tarleton St.,New Mexico,Home,43.2%,56.8%,New Mexico -0.67,7.2,95,120,Tarleton St. 7-3
2026-03-07,Grand Canyon,Utah,Away,40.3%,59.7%,Utah -1.22,7.2,134,60,Utah 1-0
2026-03-07,Wright St.,Tennessee,Home,17.0%,83.0%,Tennessee -4.63,7.1,100,21,Tennessee 5-4
2026-03-07,High Point,Florida,Home,19.1%,80.9%,Florida -4.23,7.0,113,16,High Point 6-2
2026-03-07,CSUN,UC Irvine,Away,23.8%,76.3%,UC Irvine -3.39,7.0,110,49,UC Irvine 4-2
2026-03-07,The Citadel,Kentucky,Home,15.9%,84.1%,Kentucky -4.79,7.0,90,43,Kentucky 12-7
2026-03-07,Gardner-Webb,Oklahoma St.,Away,14.3%,85.7%,Oklahoma St. -5.2,6.9,101,29,Oklahoma St. 4-2
2026-03-07,Indiana St.,Western Ky.,Away,38.6%,61.4%,Western Ky. -1.5,6.9,115,118,Indiana St. 11-6
2026-03-07,Rice,Abilene Christian,Home,49.8%,50.2%,Rice -0.01,6.9,76,168,Rice 8-6
2026-03-07,California Baptist,BYU,Home,60.0%,40.0%,California Baptist -1.29,6.9,42,159,California Baptist 11-7
2026-03-07,UNCW,Jacksonville,Home,64.2%,35.8%,UNCW -1.78,6.9,91,126,UNCW 9-4
2026-03-07,Samford,Kennesaw St.,Home,38.7%,61.3%,Kennesaw St. -1.48,6.7,167,58,Kennesaw St. 9-8
2026-03-07,Samford,Kennesaw St.,Home,38.7%,61.3%,Kennesaw St. -1.48,6.7,167,58,Kennesaw St. 8-3
2026-03-07,Michigan St.,Nebraska,Away,29.0%,71.0%,Nebraska -2.83,6.7,155,30,Nebraska 3-1
2026-03-07,Murray St.,UCF,Away,32.7%,67.3%,UCF -1.97,6.7,150,57,UCF 4-0
2026-03-07,Santa Clara,Oklahoma,Home,14.2%,85.8%,Oklahoma -5.29,6.7,127,9,Oklahoma 8-0
2026-03-07,Army West Point,VCU,Away,41.9%,58.1%,VCU -0.81,6.6,142,128,VCU 11-3
2026-03-07,Stanford,Wake Forest,Away,16.3%,83.7%,Wake Forest -4.82,6.5,144,12,Wake Forest 12-9
2026-03-07,Stanford,Wake Forest,Away,16.3%,83.7%,Wake Forest -4.82,6.5,144,12,Wake Forest 14-10
2026-03-07,Princeton,South Carolina,Away,15.8%,84.2%,South Carolina -4.97,6.4,122,63,South Carolina 4-3
2026-03-07,Princeton,South Carolina,Away,15.8%,84.2%,South Carolina -4.97,6.4,122,63,South Carolina 10-7
2026-03-07,Columbia,West Virginia,Away,12.4%,87.6%,West Virginia -5.33,6.4,124,35,West Virginia 9-5
2026-03-07,Northern Ky.,Florida St.,Home,8.2%,91.8%,Florida St. -6.97,6.3,133,13,Florida St. 13-3
2026-03-07,UCLA,Ohio St.,Home,91.1%,8.9%,UCLA -6.85,6.3,4,137,UCLA 19-6
2026-03-07,USC Upstate,Texas,Home,9.3%,90.7%,Texas -6.65,6.3,139,2,Texas 11-9
2026-03-07,ETSU,James Madison,Away,62.4%,37.6%,ETSU -1.62,6.3,143,135,James Madison 6-4
2026-03-07,ETSU,James Madison,Away,62.4%,37.6%,ETSU -1.62,6.3,143,135,James Madison 11-1
2026-03-07,Middle Tenn.,UAB,Away,32.1%,67.9%,UAB -2.22,6.3,177,53,UAB 9-8
2026-03-07,Middle Tenn.,UAB,Away,32.1%,67.9%,UAB -2.22,6.3,177,53,UAB 16-14
2026-03-07,Gonzaga,Creighton,Home,45.8%,54.2%,Creighton -0.61,6.3,105,185,Gonzaga 5-4
2026-03-07,Gonzaga,Creighton,Home,45.8%,54.2%,Creighton -0.61,6.3,105,185,Creighton 2-1
2026-03-07,UConn,Old Dominion,Home,61.8%,38.2%,UConn -1.5,6.2,82,186,UConn 14-3
2026-03-07,Fresno St.,Arizona,Home,31.4%,68.6%,Arizona -2.25,6.1,131,145,Arizona 9-5
2026-03-07,Longwood,Alabama St.,Home,56.4%,43.6%,Longwood -0.69,6.1,114,189,Alabama St. 9-3
2026-03-07,Houston Christian,McNeese,Away,40.1%,59.9%,McNeese -1.0,6.1,160,146,Houston Christian 12-4
2026-03-07,LMU (CA),Arizona St.,Home,16.7%,83.3%,Arizona St. -4.66,6.1,161,25,Arizona St. 9-1
2026-03-07,Longwood,Alabama St.,Home,56.4%,43.6%,Longwood -0.69,6.1,114,189,Alabama St. 9-3
2026-03-07,FGCU,Bethune-Cookman,Home,74.9%,25.1%,FGCU -3.12,6.1,54,171,FGCU 13-5
2026-03-07,Fla. Atlantic,FIU,Home,66.9%,33.1%,Fla. Atlantic -2.12,6.0,66,195,Fla. Atlantic 5-3
2026-03-07,Bryant,Rutgers,Away,24.7%,75.3%,Rutgers -3.15,6.0,172,65,Rutgers 14-0
2026-03-07,Bowling Green,Kent St.,Away,22.5%,77.5%,Kent St. -3.69,6.0,174,44,Bowling Green 7-2
2026-03-07,Omaha,Northwestern,Neutral,35.6%,64.4%,Northwestern -1.88,5.9,182,109,Northwestern 9-6
2026-03-07,North Ala.,Southern Miss.,Away,8.2%,91.8%,Southern Miss. -6.99,5.9,165,1,Southern Miss. 6-1
2026-03-07,Tennessee Tech,Ga. Southern,Home,50.1%,49.9%,Tennessee Tech -0.14,5.8,149,206,Ga. Southern 14-4
2026-03-07,Stetson,Arkansas,Home,14.0%,86.0%,Arkansas -5.33,5.8,181,19,Arkansas 13-1
2026-03-07,George Mason,Georgetown,Away,62.6%,37.4%,George Mason -1.73,5.7,132,187,George Mason 12-7
2026-03-07,Lamar University,SFA,Away,73.6%,26.4%,Lamar University -3.05,5.7,98,178,Lamar University 11-3
2026-03-07,Nicholls,A&M-Corpus Christi,Home,63.3%,36.7%,Nicholls -1.6,5.7,111,200,Nicholls 14-5
2026-03-07,Nicholls,A&M-Corpus Christi,Home,63.3%,36.7%,Nicholls -1.6,5.7,111,200,Nicholls 8-3
2026-03-07,UTSA,New Mexico St.,Home,87.3%,12.7%,UTSA -5.67,5.7,6,193,UTSA 13-0
2026-03-07,Cal St. Fullerton,CSU Bakersfield,Home,65.8%,34.2%,Cal St. Fullerton -2.01,5.6,156,175,CSU Bakersfield 9-3
2026-03-07,Lipscomb,Mississippi St.,Away,9.7%,90.3%,Mississippi St. -6.57,5.6,184,15,Mississippi St. 26-0
2026-03-07,Washington,Indiana,Home,34.2%,65.8%,Indiana -2.0,5.6,209,88,Washington 9-2
2026-03-07,Pacific,Nevada,Home,29.6%,70.4%,Nevada -2.7,5.6,199,79,Nevada 10-5
2026-03-07,La Salle,Clemson,Home,1.6%,98.4%,Clemson -11.43,5.5,169,18,Clemson 16-4
2026-03-07,South Dakota St.,Minnesota,Home,9.0%,91.0%,Minnesota -6.62,5.5,180,26,Minnesota 3-2
2026-03-07,Central Mich.,Ball St.,Home,32.7%,67.3%,Ball St. -2.13,5.5,166,170,Ball St. 11-6
