Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-04-04,Georgia,Mississippi St.,Away,44.7%,55.3%,Mississippi St. -0.53,9.6,5,9,Georgia 8-5
2026-04-04,Alabama,Oklahoma,Away,47.4%,52.6%,Oklahoma -0.03,9.6,10,16,Alabama 3-2
2026-04-04,Florida St.,Virginia,Away,55.0%,45.0%,Florida St. -0.74,9.5,6,19,Florida St. 9-3
2026-04-04,LSU,Tennessee,Away,50.7%,49.3%,LSU -0.19,9.2,37,31,Tennessee 4-1
2026-04-04,Wake Forest,Pittsburgh,Home,56.4%,43.6%,Wake Forest -0.87,9.1,22,36,Wake Forest 22-8
2026-04-04,Arkansas,Auburn,Away,41.3%,58.7%,Auburn -1.14,9.0,39,8,Auburn 8-3
2026-04-04,Ole Miss,Florida,Home,33.4%,66.6%,Florida -1.91,9.0,20,13,Ole Miss 5-2
2026-04-04,TCU,Kansas St.,Home,45.2%,54.8%,Kansas St. -0.27,9.0,28,38,TCU 9-3
2026-04-04,Southern California,UCLA,Away,27.2%,72.8%,UCLA -3.05,8.9,11,1,UCLA 9-8
2026-04-04,Cincinnati,Oklahoma St.,Away,45.3%,54.7%,Oklahoma St. -0.59,8.8,47,46,Oklahoma St. 11-3
2026-04-04,UCF,West Virginia,Away,32.0%,68.0%,West Virginia -2.08,8.8,25,15,West Virginia 11-10
2026-04-04,Louisville,Duke,Home,46.7%,53.3%,Duke -0.28,8.6,56,57,Louisville 9-4
2026-04-04,Notre Dame,NC State,Home,40.4%,59.6%,NC State -1.14,8.6,45,42,NC State 7-6
2026-04-04,Boston College,North Carolina,Away,22.4%,77.6%,North Carolina -3.61,8.5,29,4,North Carolina 8-7
2026-04-04,Charlotte,East Carolina,Away,43.9%,56.1%,East Carolina -0.85,8.4,68,41,East Carolina 15-5
2026-04-04,Utah,Kansas,Home,35.1%,64.9%,Kansas -1.92,8.2,66,34,Kansas 13-9
2026-04-04,UC Santa Barbara,Cal Poly,Home,58.6%,41.4%,UC Santa Barbara -1.13,8.2,32,82,UC Santa Barbara 12-4
2026-04-04,Oregon,Michigan,Home,71.0%,29.0%,Oregon -2.49,8.2,26,51,Michigan 4-3
2026-04-04,Minnesota,Iowa,Home,50.6%,49.4%,Iowa -0.05,8.1,84,77,Iowa 3-2
2026-04-04,Virginia Tech,Miami (FL),Home,28.0%,72.0%,Miami (FL) -2.87,8.1,60,18,Miami (FL) 8-6
2026-04-04,Liberty,Western Ky.,Away,50.5%,49.5%,Liberty -0.32,8.0,33,118,Liberty 6-5
2026-04-04,Clemson,Stanford,Away,65.3%,34.7%,Clemson -1.8,7.9,49,75,Stanford 5-4
2026-04-04,Houston,Texas Tech,Away,39.0%,61.0%,Texas Tech -1.21,7.9,81,63,Texas Tech 11-2
2026-04-04,DBU,Kennesaw St.,Away,62.2%,37.8%,DBU -1.34,7.8,79,65,Kennesaw St. 5-4
2026-04-04,Maryland,Ohio St.,Away,52.6%,47.4%,Maryland -0.21,7.8,107,73,Ohio St. 14-12
2026-04-04,Illinois,Purdue,Away,40.3%,59.7%,Purdue -1.13,7.8,95,58,Illinois 7-5
2026-04-04,South Alabama,Coastal Carolina,Home,23.2%,76.8%,Coastal Carolina -3.62,7.7,72,24,Coastal Carolina 8-7
2026-04-04,BYU,Baylor,Away,34.1%,65.9%,Baylor -1.88,7.7,85,53,Baylor 3-1
2026-04-04,Arkansas St.,Troy,Away,42.7%,57.3%,Troy -0.79,7.7,74,100,Troy 6-4
2026-04-04,UAB,Fla. Atlantic,Home,49.1%,50.9%,UAB -0.3,7.7,35,135,UAB 10-4
2026-04-04,UTSA,Rice,Home,71.0%,28.9%,UTSA -2.54,7.7,48,71,UTSA 13-0
2026-04-04,Western Caro.,Winthrop,Away,42.7%,57.3%,Winthrop -0.82,7.6,108,69,Western Caro. 7-6
2026-04-04,Georgia Tech,California,Home,81.8%,18.2%,Georgia Tech -4.56,7.6,3,78,Georgia Tech 9-3
2026-04-04,Hawaii,UC San Diego,Away,56.5%,43.5%,Hawaii -0.6,7.5,111,76,UC San Diego 8-0
2026-04-04,Missouri,Kentucky,Home,22.4%,77.6%,Kentucky -3.72,7.5,83,21,Kentucky 9-2
2026-04-04,Texas,South Carolina,Home,81.9%,18.1%,Texas -4.57,7.5,2,86,Texas 4-1
2026-04-04,Rutgers,Indiana,Home,49.5%,50.5%,Indiana -0.01,7.4,120,109,Rutgers 9-6
